"Family","Count"
"cyprinidae",14496
"characidae",7910
"centrarchidae",6053
"gobiidae",4623
"labridae",4169
"carangidae",3883
"muraenidae",3793
"percidae",3371
"pomacentridae",3367
"loricariidae",3256
"cichlidae",2953
"serranidae",2880
"fundulidae",2260
"catostomidae",2192
"apogonidae",2163
"ictaluridae",2154
"sciaenidae",2071
"clupeidae",1971
"tetraodontidae",1968
"poeciliidae",1924
"ophichthidae",1801
"labrisomidae",1780
"congridae",1728
"blenniidae",1552
"scaridae",1500
"doradidae",1387
"syngnathidae",1367
"engraulidae",1292
"pimelodidae",1285
"holocentridae",1269
"acanthuridae",1205
"atherinopsidae",1124
"monacanthidae",1086
"haemulidae",1060
"heptapteridae",1059
"apteronotidae",1033
"chaetodontidae",1002
"lutjanidae",959
"curimatidae",861
"mugilidae",841
"anostomidae",830
"gerreidae",780
"serrasalmidae",777
"scorpaenidae",771
"anguillidae",708
"balistidae",693
"sparidae",676
"synodontidae",667
"paralichthyidae",664
"moronidae",653
"crenuchidae",639
"auchenipteridae",638
"sternopygidae",638
"esocidae",627
"triglidae",625
"belonidae",621
"mullidae",614
"cottidae",610
"trichomycteridae",534
"chaenopsidae",530
"moringuidae",528
"lebiasinidae",527
"ophidiidae",510
"achiridae",507
"chlopsidae",497
"gobiesocidae",475
"erythrinidae",471
"salmonidae",464
"hemiodontidae",457
"ostraciidae",456
"eleotridae",446
"pomacanthidae",440
"bothidae",428
"callichthyidae",410
"diodontidae",404
"bythitidae",400
"iguanodectidae",383
"nettastomatidae",374
"dactyloscopidae",359
"tripterygiidae",354
"cyprinodontidae",352
"opistognathidae",336
"gasterosteidae",333
"rhamphichthyidae",328
"atherinidae",325
"hypopomidae",308
"pleuronectidae",299
"hemiramphidae",298
"acestrorhynchidae",291
"serrivomeridae",290
"batrachoididae",285
"triportheidae",281
"cobitidae",279
"aphredoderidae",278
"sphyraenidae",273
"nemichthyidae",268
"scombridae",268
"elassomatidae",266
"lepisosteidae",266
"grammatidae",260
"bryconidae",252
"ariidae",248
"cynoglossidae",236
"cirrhitidae",233
"phycidae",233
"antennariidae",228
"lethrinidae",226
"synaphobranchidae",218
"stromateidae",215
"priacanthidae",209
"siganidae",209
"exocoetidae",197
"polynemidae",195
"prochilodontidae",194
"gasteropelecidae",189
"aspredinidae",188
"callionymidae",187
"bagridae",186
"leiognathidae",186
"plesiopidae",167
"echeneidae",166
"rivulidae",166
"pseudopimelodidae",163
"scophthalmidae",160
"ambassidae",154
"pomatomidae",154
"umbridae",154
"carcharhinidae",147
"synbranchidae",147
"cetopsidae",146
"callorhinchidae",142
"chilodontidae",140
"nemipteridae",139
"gymnotidae",137
"petromyzontidae",133
"rajidae",133
"kyphosidae",131
"ephippidae",129
"gadidae",129
"cynodontidae",127
"clariidae",126
"soleidae",126
"nemacheilidae",125
"pseudochromidae",124
"albulidae",120
"elopidae",117
"pempheridae",117
"aplocheilidae",116
"kuhliidae",115
"liparidae",113
"ogcocephalidae",113
"aulostomidae",112
"embiotocidae",108
"pinguipedidae",105
"terapontidae",104
"channidae",103
"siluridae",103
"fistulariidae",102
"microdesmidae",100
"triakidae",100
"uranoscopidae",100
"ctenoluciidae",98
"caesionidae",97
"sebastidae",96
"platycephalidae",95
"astroblepidae",91
"osphronemidae",91
"clinidae",90
"pristigasteridae",89
"carapidae",88
"merlucciidae",88
"myctophidae",85
"potamotrygonidae",84
"balitoridae",82
"dasyatidae",82
"alestidae",81
"malacanthidae",81
"trichiuridae",81
"curculionidae",79
"acipenseridae",78
"centropomidae",77
"",75
"nothobranchiidae",75
"triacanthodidae",75
"stichaeidae",74
"ammodytidae",73
"dactylopteridae",73
"triacanthidae",73
"muraenesocidae",71
"amiidae",69
"anabantidae",69
"zanclidae",69
"mormyridae",68
"sillaginidae",68
"sisoridae",67
"cyclopteridae",65
"megalopidae",65
"parodontidae",65
"pholidae",65
"balitoridae: nemacheilinae",62
"chimaeridae",62
"chaunacidae",60
"pleuronectiform families",60
"hemiscylliidae",59
"plotosidae",57
"mastacembelidae",55
"macrouridae",54
"nomeidae",53
"scatophagidae",51
"mochokidae",49
"coryphaenidae",48
"peristediidae",47
"scyliorhinidae",45
"colocongridae",44
"osmeridae",44
"zoarcidae",44
"derichthyidae",42
"claroteidae",41
"synanceiidae",41
"pangasiidae",40
"amblyopsidae",39
"anablepidae",39
"centriscidae",39
"lotidae",39
"creediidae",38
"drepaneidae",38
"hiodontidae",38
"lophiidae",38
"squalidae",37
"zenarchopteridae",37
"apionidae",35
"sphyrnidae",35
"cepolidae",34
"distichodontidae",34
"schilbeidae",34
"hexagrammidae",33
"rhinobatidae",33
"dussumieriidae",32
"istiophoridae",32
"pristolepididae",31
"myliobatidae",29
"centrolophidae",27
"urolophidae",27
"osteoglossidae",26
"psettodidae",26
"hemitripteridae",25
"monodactylidae",25
"notopteridae",25
"agonidae",24
"pristidae",23
"stomiidae",23
"zeidae",23
"caproidae",22
"rachycentridae",22
"gempylidae",21
"latidae",21
"sternoptychidae",21
