"dwc.preparations","freq"
"alc-75% EtOH",150625
"alc-55% isopropanol",38632
"alc",7290
"",5430
"alc-75% EtOH; radiograph",2744
"C&S-GLYCERINE",2064
"alc-95% ETHYL",1713
"alc-75% EtOH; tissue",1545
"alc-50% isopropanol",961
"skeletal",927
"alc-75% EtOH; C&S-glycerine",793
"skeletal-DRY",411
"formalin-10% formalin",262
"skeletal-75% EtOH",177
"C&S-75% EtOH",128
"alc; tissue",125
"alc-75%/95% ETHYL; tissue",109
"alc-Ethyl",108
"dry-DRY",106
"alc-55% isopropanol; radiograph",96
"alc-55% isopropanol; C&S-glycerine",77
"alc-75%/95% ETHYL",75
"alc; radiograph",55
"alc-75% ETOH",45
"alc-75% EtOH; tissue-95% EtOH",41
"skeletal-SKELETON",38
"alc-75% EtOH; skeletal",36
"alc-75% EtOH; C&S-glycerine; radiograph",29
"alc-95% ETHYL; tissue",29
"C&S",18
"alc-70% ethyl",15
"alc-75% EtOH; radiograph; tissue",13
"tissue-95% ETHYL",13
"unknown",11
"alc-70% EtOH",10
"C&S-glycerine",10
"alc-75% EtOH; alc-75% EtOH; alc-75% EtOH; alc-75% EtOH",9
"skeletal-dry",8
"alc-70% ETHYL",7
"alc-75% EtOH; tissue-95% EtOH; alc-95% EtOH; alc-75% EtOH; tissue-95% EtOH; alc-95% EtOH",7
"alc-80% ETHYL",7
"alc-EtOH",7
"alc; alc; alc; alc",7
"alc-75% EtOH; skeletal; C&S-glycerine",6
"alc-90% ETHYL",6
"alc-75% EtOH; alc-95% EtOH; alc-75% EtOH; alc-95% EtOH",5
"alc-75% EtOH; skeletal-dry; dry-ETHYL/DRY",5
"alc-ethyl",5
"C&S; alc",5
"radiograph",5
"alc-55% isopropanol; tissue",4
"alc-75% EtOH; C&S-glycerine; tissue",4
"alc-75% EtOH; skeletal-75% EtOH",4
"alc-75% EtOH; skeletal-SKELETON",4
"alc-75% EtOH; tissue; tissue; alc-75% EtOH; tissue; tissue",4
"alc-ETHYL/DRY; dry-ETHYL/DRY",4
"alc-ETHYL/GLYCERINE",4
"C&S-ETHYL/GLYCERINE",4
"C&S-ETOH/GLYCERINE",4
"C&S-Glycerine",4
"formalin-EtOH",4
"formalin-FORMALIN",4
"skeletal-ETHYL/DRY",4
"tissue-75% EtOH",4
"alc-55% isopropanol; C&S-glycerine; radiograph",3
"alc-55% isopropanol; radiograph; C&S-glycerine",3
"alc-95% ETHYL; radiograph",3
"alc-95% EtOH",3
"alc-ETHYL",3
"alc-frozen",3
"C&S-55% isopropanol",3
"formalin-PBS formalin",3
"skeletal; alc",3
"tissue",3
"alc-40% ISO",2
"alc-50% isopropanol ?",2
"alc-50% isopropanol; 70% EtOH",2
"alc-75% ISO",2
"alc-live?",2
"C&S-DRY",2
"dry",2
"skeletal-DRY; dry-DRY",2
"alc-10% formalin",1
"alc-100% ETOH",1
"alc-100% ETOH; C&S-glycerine",1
"alc-37.5% ISO",1
"alc-50% isopropanol 70% EtOH",1
"alc-50% isopropanol, 70% EtOH",1
"alc-50% isopropanol?",1
"alc-55% ethyl",1
"alc-55% ethyl; radiograph",1
"alc-55% isopropanol; alc-75% EtOH; alc-55% isopropanol; alc-75% EtOH",1
"alc-55% isopropanol; radiograph; tissue",1
"alc-55% isopropanol; skeletal-SKELETON",1
"alc-55% isopropanol; skeletal; C&S-glycerine",1
"alc-70% Ethyl",1
"alc-70% EtOH, 50% isopropyl",1
"alc-75-96% ETHYL",1
"alc-75% EtOH; alc-75% EtOH",1
"alc-75% EtOH; C&S-glycerine; radiograph; radiograph",1
"alc-75% EtOH; C&S-glycerine; skeletal",1
"alc-75% ETOH; radiograph",1
"alc-75% EtOH; tissue-95% EtOH; tissue-95% EtOH; alc-75% EtOH; tissue-95% EtOH; tissue-95% EtOH",1
"alc-75% EtOH; tissue; tissue; tissue; alc-75% EtOH; tissue; tissue; tissue; alc-75% EtOH; tissue; tissue; tissue",1
"alc-75%/95% ETHYL; C&S-glycerine",1
"alc-95% Ethyl",1
"alc-95% ETHYL; C&S-glycerine",1
"alc-95% EtOH; alc-75% EtOH; alc-95% EtOH; alc-75% EtOH",1
"alc-95% EtOH; C&S-glycerine",1
"alc-95% EtOH; tissue-95% EtOH",1
"alc-ETHYL/DRY; dry-ETHYL/DRY; radiograph",1
"alc-ETHYL/GLYCERINE; radiograph",1
"alc-EtOH or frozen",1
"alc-Iso",1
"alc-ISO",1
"alc-live",1
"alc; skeletal",1
"alc; tissue-95% EtOH",1
"C&S-50% GLYCERINE",1
"C&S-DRY; dry-DRY",1
"C&S-GLYCERINE; radiograph",1
"dry-dry",1
"dry-DRY; radiograph",1
"dry-DRY; skeletal-DRY",1
"formalin-Formalin",1
"skeletal-55% isopropanol",1
"skeletal-DRY; radiograph",1
"skeletal-DRY; radiograph; alc-75% EtOH",1
"skeletal-DRY/EtOH",1
"skeletal-DRY/ETOH",1
"skeletal-ISO/DRY",1
"skeletal-ISO/GLYCERINE",1
"skeletal; C&S",1
"tissue-95% EtOH; alc-95% EtOH",1
