"Family","Count"
"gobiidae",11931
"cyprinidae",11574
"pomacentridae",7651
"labridae",7582
"myctophidae",6718
"apogonidae",6553
"cottidae",5078
"serranidae",4805
"characidae",4788
"carangidae",4279
"",3966
"blenniidae",3748
"scorpaenidae",3667
"chaetodontidae",3019
"muraenidae",3011
"cichlidae",2937
"holocentridae",2872
"acanthuridae",2659
"salmonidae",2558
"tetraodontidae",2287
"syngnathidae",2242
"sebastidae",2139
"stomiidae",1944
"clupeidae",1874
"sciaenidae",1789
"pleuronectidae",1763
"lutjanidae",1754
"macrouridae",1745
"gasterosteidae",1716
"catostomidae",1589
"mugilidae",1500
"engraulidae",1476
"scaridae",1463
"mullidae",1431
"haemulidae",1381
"ophichthidae",1328
"osmeridae",1300
"sternoptychidae",1297
"embiotocidae",1295
"synodontidae",1281
"paralichthyidae",1218
"loricariidae",1213
"gerreidae",1177
"eleotridae",1151
"poeciliidae",1139
"exocoetidae",1119
"balistidae",1104
"melamphaidae",1018
"pomacanthidae",992
"gobiesocidae",987
"atherinopsidae",980
"stichaeidae",965
"labrisomidae",952
"cirrhitidae",934
"centrarchidae",911
"zoarcidae",899
"nemipteridae",877
"hemiramphidae",868
"gonostomatidae",863
"liparidae",860
"siganidae",822
"ogcocephalidae",814
"monacanthidae",806
"pseudochromidae",789
"percidae",781
"cynoglossidae",749
"bathylagidae",712
"hexagrammidae",705
"clinidae",704
"curimatidae",695
"callionymidae",691
"agonidae",688
"atherinidae",664
"ophidiidae",631
"belonidae",629
"batrachoididae",628
"bothidae",627
"pholidae",621
"bagridae",620
"pimelodidae",620
"serrasalmidae",603
"triglidae",589
"tripterygiidae",586
"sparidae",584
"ariidae",580
"anostomidae",565
"ictaluridae",538
"lethrinidae",533
"leiognathidae",525
"scombridae",522
"bythitidae",521
"kyphosidae",521
"cobitidae",516
"heptapteridae",485
"congridae",475
"lebiasinidae",474
"cyprinodontidae",462
"ambassidae",456
"antennariidae",456
"rajidae",450
"soleidae",445
"paralepididae",433
"platycephalidae",430
"callichthyidae",428
"sisoridae",415
"trichomycteridae",400
"ostraciidae",399
"osphronemidae",393
"nototheniidae",392
"nemacheilidae",390
"fundulidae",383
"phosichthyidae",378
"polynemidae",376
"goodeidae",373
"alestidae",370
"petromyzontidae",368
"channidae",364
"synanceiidae",355
"mormyridae",348
"sphyraenidae",347
"pinguipedidae",345
"gadidae",343
"priacanthidae",340
"terapontidae",336
"carcharhinidae",325
"kuhliidae",325
"chaenopsidae",324
"erythrinidae",321
"doradidae",318
"mastacembelidae",317
"caesionidae",311
"bryconidae",309
"plesiopidae",298
"auchenipteridae",294
"siluridae",288
"anguillidae",275
"clariidae",267
"scyliorhinidae",267
"achiridae",261
"fistulariidae",261
"echeneidae",259
"diodontidae",255
"sternopygidae",250
"triakidae",240
"zenarchopteridae",238
"dasyatidae",237
"gempylidae",225
"mochokidae",222
"group 225 unidentified",221
"triportheidae",221
"moridae",220
"moronidae",218
"distichodontidae",216
"alepocephalidae",210
"iguanodectidae",207
"sillaginidae",203
"tetrarogidae",203
"crenuchidae",201
"plotosidae",201
"pristigasteridae",198
"uranoscopidae",196
"albulidae",195
"acestrorhynchidae",192
"microdesmidae",191
"moringuidae",187
"dactylopteridae",184
"dactyloscopidae",183
"rhinobatidae",181
"arhynchobatidae",179
"trichiuridae",179
"nothobranchiidae",178
"gasteropelecidae",176
"ephippidae",174
"prochilodontidae",171
"peristediidae",170
"balitoridae",168
"synbranchidae",167
"stromateidae",164
"anabantidae",161
"chlorophthalmidae",161
"hemiodontidae",159
"psychrolutidae",157
"centropomidae",153
"omosudidae",153
"astroblepidae",149
"myliobatidae",144
"zanclidae",144
"carapidae",143
"chlopsidae",143
"schilbeidae",142
"chimaeridae",138
"malacanthidae",138
"myxinidae",137
"merlucciidae",136
"centriscidae",135
"ammodytidae",132
"ceratiidae",129
"claroteidae",129
"nomeidae",128
"cynolebiidae",127
"adrianichthyidae",122
"group 147 unidentified",119
"pempheridae",119
"dussumieriidae",116
"oneirodidae",114
"scatophagidae",113
"cyclopteridae",110
"esocidae",109
"hemitripteridae",109
"acipenseridae",108
"galaxiidae",108
"acropomatidae",107
"lophiidae",105
"bregmacerotidae",104
"rivulidae",104
"chanidae",101
"setarchidae",101
"phallostethidae",100
"alepisauridae",99
"epigonidae",99
"narcinidae",98
"apteronotidae",97
"opistognathidae",97
"squalidae",97
"torpedinidae",97
"pangasiidae",96
"gymnotidae",95
"percophidae",92
"hypopomidae",90
"bathymasteridae",89
"aspredinidae",88
"argentinidae",87
"chilodontidae",87
"etmopteridae",87
"aplocheilidae",85
"grammicolepididae",85
"notopteridae",85
"gymnuridae",84
"champsodontidae",83
"scomberesocidae",83
"amphiliidae",82
"umbridae",81
"aphredoderidae",80
"sphyrnidae",80
"urotrygonidae",80
"aploactinidae",79
"group 138 unidentified",77
"lamnidae",76
"toxotidae",76
"chaunacidae",75
"group 239 unidentified",75
"hoplichthyidae",75
"percichthyidae",74
"elopidae",73
"aulostomidae",72
"coryphaenidae",72
"cynodontidae",72
"caproidae",71
"triacanthidae",71
"parodontidae",70
"monodactylidae",69
"megalopidae",68
"muraenesocidae",68
"group 194 unidentified",67
"apionidae",65
"apistidae",65
"cepolidae",65
"melanotaeniidae",65
"neoscopelidae",64
"triacanthodidae",64
"anarhichadidae",63
"nemichthyidae",62
"pristolepididae",62
"scopelarchidae",62
"hexanchidae",61
"melanonidae",61
"diceratiidae",60
"heterodontidae",60
"pegasidae",59
"trachichthyidae",59
"hemiscylliidae",58
"oreosomatidae",58
"percopsidae",58
"samaridae",57
"centrolophidae",55
"synaphobranchidae",55
"bramidae",54
"pseudopimelodidae",54
"branchiostomatidae",53
"centrophoridae",53
"creediidae",53
"ctenoluciidae",53
"ipnopidae",53
"trachipteridae",53
"zeidae",53
"anomalopidae",52
"nettastomatidae",52
"chiasmodontidae",51
"linophrynidae",51
"cetopsidae",50
"drepaneidae",49
"evermannellidae",49
"istiophoridae",48
"urolophidae",48
"serrivomeridae",46
"anablepidae",44
"anoplopomatidae",44
"badidae",44
"halosauridae",44
"trichodontidae",44
"pomatomidae",43
"amiidae",42
"phycidae",42
"cheilodactylidae",40
"lotidae",40
"nandidae",40
"polymixiidae",40
"potamotrygonidae",40
"zenionidae",40
"salangidae",39
"platytroctidae",38
"anoplogastridae",37
"protopteridae",37
"channichthyidae",36
"narkidae",36
"psettodidae",35
"lactariidae",34
"latidae",34
"parazenidae",34
"rachycentridae",33
"squatinidae",33
"aulorhynchidae",32
"chirocentridae",32
"polypteridae",32
"akysidae",31
"amblyopsidae",31
"hapalogenyidae",31
"lepisosteidae",31
"group 139 unidentified",30
"hepsetidae",30
"melanocetidae",30
"molidae",30
"pristidae",30
"psilorhynchidae",30
"xenisthmidae",30
"caristiidae",29
"gastromyzontidae",27
"lobotidae",26
"plecoglossidae",26
"polycentridae",26
"solenostomidae",26
"trachinidae",26
"erethistidae",25
"group 163 unidentified",25
"gyrinocheilidae",25
"oplegnathidae",25
"osteoglossidae",25
"rhamphichthyidae",25
"rhamphocottidae",25
"amblycipitidae",24
"himantolophidae",24
"lateolabracidae",24
"menidae",24
"somniosidae",24
"ateleopodidae",23
"cetomimidae",23
"notosudidae",23
"proscylliidae",23
"bathydraconidae",22
"ginglymostomatidae",22
"zaproridae",22
"alopiidae",21
"citharinidae",21
"congiopodidae",21
"arapaimidae",20
"cryptacanthodidae",20
"monocentridae",20
"odontobutidae",20
"datnioididae",19
"icosteidae",19
"opisthoproctidae",19
"scytalinidae",19
"ariommatidae",18
"danionidae",18
"elassomatidae",18
"emmelichthyidae",18
"lampridae",18
"procatopodidae",18
"ailiidae",17
"artedidraconidae",17
"citharidae",17
"kraemeriidae",17
"polyprionidae",17
"scophthalmidae",17
"aracanidae",16
"eurypharyngidae",16
"gonorynchidae",16
"heteropneustidae",16
"isonidae",16
"microstomatidae",16
"aulopidae",15
"centrogenyidae",15
"notacanthidae",15
"bembridae",14
"diplomystidae",14
"diretmidae",14
"nematistiidae",14
"perciliidae",14
"polyodontidae",14
"pristiophoridae",14
"bathyclupeidae",13
"gibberichthyidae",13
"harpagiferidae",13
"malapteruridae",13
"xiphiidae",13
"berycidae",12
"dalatiidae",12
"helostomatidae",12
"luvaridae",12
"neosebastidae",12
"normanichthyidae",12
"pentanchidae",12
"sinipercidae",12
"xenocyprididae",12
"gigantactinidae",11
"hemigaleidae",11
"hiodontidae",11
"parabembridae",11
"profundulidae",11
"symphysanodontidae",11
"trichonotidae",11
"callanthiidae",10
"kneriidae",10
"mordaciidae",10
"pentacerotidae",10
"pseudomugilidae",10
