"Continent","Count"
NA,15265
"AFG",2
"DZA",1
"ASM",677
"AGO",912
"AIA",1
"ATG",60
"ARG",291
"ABW",1
"AUS",1605
"AZE",1
"BHS",133
"BHR",15
"BGD",246
"BRB",160
"BLZ",27
"BMU",6553
"BTN",6
"BOL",440
"BWA",18
"BRA",8517
"IOT",115
"VGB",15
"BRN",20
"BGR",2
"BDI",5
"CPV",1
"KHM",335
"CMR",1562
"CAN",659
"CYM",9
"CAF",26
"CHL",539
"CHN",4217
"COL",2304
"COM",772
"COD",619
"COK",262
"CRI",1745
"CIV",7
"HRV",10
"CUB",681
"CUW",104
"CZE",2
"DNK",4
"DJI",69
"DMA",14
"DOM",18
"ECU",4278
"EGY",76
"SLV",93
"GNQ",24
"ERI",12
"ETH",1
"FLK",1
"FJI",7756
"FRA",135
"GUF",148
"PYF",4547
"ATF",3
"GAB",61
"GMB",8
"DEU",54
"GHA",1281
"GIB",1
"GRC",38
"GRL",43
"GRD",3
"GLP",6
"GUM",1204
"GTM",241
"GIN",112
"GNB",108
"GUY",1389
"HTI",50
"HND",185
"ISL",4
"IND",2528
"IDN",2506
"IRN",13
"ISR",111
"ITA",455
"JAM",300
"JPN",3864
"JOR",1
"KEN",115
"KIR",321
"LAO",423
"LBN",14
"LBR",33
"MKD",3
"MDG",84
"MWI",8
"MYS",1866
"MDV",326
"MLI",5
"MLT",1
"MHL",1144
"MTQ",1
"MRT",30
"MUS",25
"MYT",22
"MEX",12418
NA,10196
"MCO",3
"MNG",8
"MNE",1
"MSR",1
"MAR",17
"MOZ",110
"MMR",1507
"NAM",2
"NPL",355
"NLD",1
NA,7
"NCL",346
"NZL",170
"NIC",336
"NGA",54
"NIU",13
"PRK",36
"MNP",516
"NOR",42
"OMN",208
"PAK",172
"PLW",11096
"PAN",2483
"PNG",1677
"PRY",325
"PER",3921
"PHL",15557
"PCN",21
"POL",2
"PRT",23
"PRI",488
"ROU",150
"RUS",383
"SHN",4
"KNA",9
"LCA",81
"VCT",6
"WSM",384
"STP",426
"SAU",1288
"SEN",137
"SYC",292
"SLE",26
"SGP",865
"SXM",1
"SVK",1
"SVN",4
"SLB",928
"SOM",50
"ZAF",319
"SGS",4
"KOR",166
"ESP",130
"LKA",643
"SDN",36
"SUR",240
"SJM",3
"SWE",32
"SYR",2
"TWN",1402
"TZA",64
"THA",7972
"TLS",8
"TKL",2
"TON",40
"TTO",144
"TUR",9
"TCA",1
"TUV",3
"UMI",360
"UGA",204
"UKR",1
"ARE",2
"GBR",84
"USA",45509
"URY",30
"VUT",362
"VEN",3260
"VNM",1554
"VIR",45
"WLF",7
"YEM",94
NA,1
"ZMB",5
"ZWE",11
