"dwc.scientificName","freq"
"Chordata",3
"Etheostoma caeruleum",2
"Salvelinus namaycush",2
"Archosargus probatocephalus",1
"Atractosteus tristoechus",1
"Callichthys callichthys",1
"Campostoma anomalum",1
"Coregonus sp.",1
"Cottus bairdii",1
"Exocoetus sp.",1
"Ginglymostoma cirratum",1
"Lampetra lamottei",1
"Lepisosteus osseus",1
"Micropterus salmoides",1
"Morone americana",1
"Neogobius melanostomus",1
"Noturus",1
"Noturus miurus",1
"Percina caprodes",1
"Prionotus sp.",1
"Reniceps tiburo",1
"Roccus chrysops",1
"Salmo trutta",1
"Sciaenops ocellatus",1
"Sebastes norvegicus",1
