"dwc.preparations","freq"
"whole organism (isopropanol) - 1",20729
"whole organism (isopropanol) - 2",9970
"whole organism (isopropanol) - 3",6345
"whole organism (isopropanol) - 4",4561
"whole organism (isopropanol) - 5",3515
"whole organism (ethanol) - 1",2993
"whole organism (isopropanol) - 6",2755
"whole organism (isopropanol) - 7",2247
"whole organism (isopropanol) - 8",1838
"whole organism (isopropanol) - 10",1631
"whole organism (isopropanol) - 9",1567
"whole organism (isopropanol) - 11",1196
"skeleton (dry) - 1",1172
"whole organism (ethanol) - 2",1142
"whole organism (isopropanol) - 12",1102
"whole organism (isopropanol) - 13",943
"whole organism (isopropanol) - 15",922
"whole organism (isopropanol) - 14",867
"Unknown - 1",840
"whole organism (ethanol) - 3",704
"whole organism (isopropanol) - 17",692
"whole organism (isopropanol) - 16",689
"whole organism (isopropanol) - 20",662
"whole organism (isopropanol) - 0",627
"whole organism (ethanol) - 4",584
"whole organism (isopropanol) - 18",573
"whole organism (isopropanol) - 19",529
"whole organism (isopropanol) - 21",514
"whole organism (isopropanol) - 22",441
"whole organism (isopropanol) - 25",422
"whole organism (ethanol) - 5",403
"whole organism (isopropanol) - 23",371
"whole organism (C & S) - 1",362
"whole organism (isopropanol) - 24",355
"whole organism (isopropanol) - 26",344
"whole organism (ethanol) - 1; tissue (95% ethanol) - 1",342
"whole organism (isopropanol) - 30",334
"tissue (95% ethanol) - 1; whole organism (ethanol) - 1",316
"whole organism (isopropanol) - 27",311
"whole organism (isopropanol) - 28",268
"whole organism (isopropanol) - 29",254
"whole organism (ethanol) - 6",247
"whole organism (isopropanol) - 31",244
"whole organism (isopropanol) - 32",232
"whole organism (isopropanol) - 33",229
"whole organism (isopropanol) - 34",216
"whole organism (ethanol) - 1; EOD Recording - 1",210
"whole organism (isopropanol) - 35",205
"whole organism (isopropanol) - 40",201
"whole organism (isopropanol) - 36",193
"whole organism (isopropanol) - 37",186
"whole organism (isopropanol) - 38",184
"whole organism (isopropanol) - 50",176
"whole organism (ethanol) - 7",173
"whole organism (isopropanol) - 39",173
"whole organism (ethanol) - 8",158
"tissue (95% ethanol) - 10",154
"whole organism (isopropanol) - 44",147
"whole organism (isopropanol) - 42",146
"tissue (95% ethanol) - 10; whole organism (ethanol) - 1",143
"whole organism (isopropanol) - 43",136
"EOD Recording - 1; whole organism (ethanol) - 1",135
"whole organism (isopropanol) - 48",135
"whole organism (isopropanol) - 46",131
"whole organism (isopropanol) - 41",128
"whole organism (ethanol) - 9",123
"whole organism (isopropanol) - 47",123
"whole organism (ethanol) - 1; tissue (95% ethanol) - 10",120
"whole organism (isopropanol) - 45",120
"whole organism (isopropanol) - 49",114
"whole organism (isopropanol) - 51",114
"whole organism (ethanol) - 10",108
"whole organism (isopropanol) - 100",105
"whole organism (isopropanol) - 54",104
"whole organism (isopropanol) - 1; photograph - 1",102
"whole organism (isopropanol) - 52",98
"whole organism (isopropanol) - 58",97
"whole organism (isopropanol) - 55",95
"whole organism (ethanol) - 11",93
"whole organism (ethanol) - 1; tissue (95% ethanol) - 1; EOD Recording - 1",91
"whole organism (isopropanol) - 53",90
"whole organism (isopropanol) - 57",86
"whole organism (isopropanol) - 59",85
"whole organism (isopropanol) - 61",75
"tissue (95% ethanol) - 1",74
"whole organism (isopropanol) - 60",74
"whole organism (isopropanol) - 65",74
"whole organism (isopropanol) - 56",71
"whole organism (isopropanol) - 62",70
"whole organism (isopropanol) - 63",68
"whole organism (isopropanol) - 70",68
"whole organism (isopropanol) - 68",67
"jaws (dry) - 1",64
"whole organism (ethanol) - 2; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",60
"whole organism (isopropanol) - 72",60
"whole organism (ethanol) - 12",59
"whole organism (isopropanol) - 67",59
"skeletal element(s) (dry) - 1",58
"whole organism (isopropanol) - 64",55
"whole organism (ethanol) - 14",54
"whole organism (isopropanol) - 74",54
"whole organism (ethanol) - 13",52
"whole organism (isopropanol) - 75",52
"whole organism (isopropanol) - 69",51
"whole organism (C & S) - 2",50
"whole organism (isopropanol) - 73",50
"whole organism (isopropanol) - 76",50
"whole organism (isopropanol) - 85",50
"whole organism (ethanol) - 15",49
"whole organism (isopropanol) - 66",49
"whole organism (isopropanol) - 84",48
"whole organism (ethanol) - 19",47
"whole organism (isopropanol) - 80",47
"whole organism (isopropanol) - 79",46
"whole organism (isopropanol) - 77",43
"whole organism (isopropanol) - 78",43
"whole organism (isopropanol) - 81",43
"whole organism (isopropanol) - 82",43
"whole organism (isopropanol) - 71",42
"whole organism (ethanol) - 17",41
"whole organism (ethanol) - 18",41
"whole organism (ethanol) - 16",40
"whole organism (isopropanol) - 83",40
"whole organism (isopropanol) - 150",39
"whole organism (ethanol) - 2; tissue (95% ethanol) - 1",37
"whole organism (ethanol) - 2; tissue (95% ethanol) - 10",36
"whole organism (isopropanol) - 2; photograph - 1",35
"tissue (95% ethanol) - 1; whole organism (ethanol) - 2",34
"whole organism (isopropanol) - 87",34
"whole organism (isopropanol) - 91",34
"whole organism (ethanol) - 21",33
"whole organism (isopropanol) - 93",33
"tissue (95% ethanol) - 1; whole organism (ethanol) - 2; tissue (95% ethanol) - 1",32
"whole organism (isopropanol) - 101",32
"whole organism (isopropanol) - 200",32
"whole organism (ethanol) - 27",31
"whole organism (isopropanol) - 125",31
"whole organism (isopropanol) - 92",30
"whole organism (isopropanol) - 96",30
"whole organism (formalin) - 1",29
"whole organism (isopropanol) - 3; photograph - 1",29
"whole organism (isopropanol) - 95",29
"whole organism (isopropanol) - 97",29
"partial skeleton (dry) - 1",28
"whole organism (isopropanol) - 103",28
"whole organism (isopropanol) - 105",28
"whole organism (isopropanol) - 110",28
"whole organism (isopropanol) - 86",28
"whole organism (isopropanol) - 88",28
"whole organism (isopropanol) - 90",28
"whole organism (isopropanol) - 4; photograph - 1",27
"whole organism (isopropanol) - 98",27
"EOD Recording - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 1",26
"whole organism (C & S) - 3",26
"whole organism (isopropanol) - 300",26
"whole organism (isopropanol) - 99",26
"whole organism (ethanol) - 20",25
"whole organism (isopropanol) - 102",25
"whole organism (isopropanol) - 89",25
"skeleton (dry) - 1; tissue (DMSO/EDTA) - 1",24
