"Family","Count"
"cyprinidae",29676
"percidae",10773
"centrarchidae",7674
"catostomidae",5336
"mormyridae",3192
"ictaluridae",2728
"fundulidae",2463
"cottidae",1777
"poeciliidae",1612
"cichlidae",1435
"clupeidae",1346
"cyprinodontidae",1093
"moronidae",1036
"esocidae",1034
"atherinopsidae",1024
"salmonidae",924
"alestidae",735
"sciaenidae",697
"mochokidae",634
"petromyzontidae",489
"distichodontidae",459
"characidae",418
"carangidae",405
"aphredoderidae",386
"gobiidae",367
"gasterosteidae",345
"anguillidae",321
"amphiliidae",318
"syngnathidae",297
"",283
"umbridae",277
"sparidae",276
"percopsidae",264
"loricariidae",263
"pomatomidae",260
"claroteidae",256
"labridae",253
"clariidae",247
"belonidae",238
"serranidae",236
"engraulidae",233
"lepisosteidae",232
"schilbeidae",208
"pleuronectidae",204
"haemulidae",201
"mugilidae",199
"elassomatidae",198
"gerreidae",197
"paralichthyidae",189
"lutjanidae",184
"tetraodontidae",162
"batrachoididae",156
"nothobranchiidae",154
"mastacembelidae",141
"pomacentridae",137
"anabantidae",127
"monacanthidae",127
"triglidae",125
"osmeridae",121
"achiridae",115
"scaridae",106
"gadidae",101
"blenniidae",99
"apteronotidae",98
"carcharhinidae",95
"doradidae",95
"heptapteridae",93
"scombridae",93
"rajidae",92
"hypopomidae",90
"eleotridae",87
"bagridae",79
"sphyraenidae",79
"amiidae",73
"ariidae",73
"embiotocidae",72
"stromateidae",72
"lotidae",71
"synodontidae",71
"sebastidae",70
"pimelodidae",68
"callionymidae",66
"diodontidae",65
"phycidae",64
"labrisomidae",61
"polypteridae",61
"acipenseridae",60
"aspredinidae",60
"sternopygidae",60
"amblyopsidae",59
"serrasalmidae",59
"ostraciidae",58
"balistidae",57
"malapteruridae",56
"atherinidae",54
"anostomidae",49
"citharinidae",48
"ephippidae",48
"scorpaenidae",48
"chaetodontidae",47
"curimatidae",47
"callichthyidae",46
"channidae",46
"zoarcidae",46
"hemiramphidae",45
"acanthuridae",44
"crenuchidae",44
"dasyatidae",44
"gobiesocidae",44
"hemitripteridae",44
"elopidae",42
"sphyrnidae",39
"antennariidae",38
"cynoglossidae",38
"myctophidae",38
"notopteridae",38
"hepsetidae",37
"stichaeidae",37
"echeneidae",36
"triakidae",36
"trichomycteridae",36
"agonidae",34
"ammodytidae",34
"anarhichadidae",34
"exocoetidae",34
"squalidae",34
"trichiuridae",33
"auchenipteridae",31
"kneriidae",31
"merlucciidae",31
"erythrinidae",30
"muraenidae",30
"aplocheilidae",28
"chimaeridae",28
"cobitidae",28
"myxinidae",28
"ophidiidae",28
"holocentridae",27
"ogcocephalidae",27
"pomacanthidae",27
"hexagrammidae",26
"lophiidae",26
"coryphaenidae",25
"ophichthidae",25
"pristigasteridae",25
"prochilodontidae",25
"pseudopimelodidae",25
"hiodontidae",24
"pholidae",24
"polynemidae",24
"rhamphichthyidae",24
"potamotrygonidae",22
"priacanthidae",22
"scophthalmidae",22
"sternoptychidae",22
"stomiidae",22
"gonostomatidae",21
"gymnotidae",21
"osphronemidae",21
"parodontidae",21
"percophidae",21
"lebiasinidae",20
"latidae",19
"mullidae",19
"polyodontidae",19
"protopteridae",19
"zenarchopteridae",19
"apogonidae",18
"bryconidae",18
"kyphosidae",18
"lamnidae",18
"liparidae",18
"malacanthidae",17
"rhinobatidae",17
"uranoscopidae",17
"albulidae",16
"bothidae",16
"cyclopteridae",16
"gasteropelecidae",16
"megalopidae",16
"pantodontidae",16
"cetopsidae",15
"myliobatidae",15
"percichthyidae",15
"centropomidae",14
"gymnarchidae",14
"gymnuridae",14
"odontaspididae",14
"squatinidae",14
"synbranchidae",14
"telmatherinidae",14
"congridae",13
"heterodontidae",13
"rivulidae",13
"osteoglossidae",12
"psychrolutidae",12
"arapaimidae",11
"clinidae",11
"goodeidae",11
"lobotidae",11
"scomberesocidae",11
"triportheidae",11
"melamphaidae",10
"pristidae",10
"ambassidae",9
"bathylagidae",9
"centriscidae",9
"fistulariidae",9
"hemiodontidae",9
"peristediidae",9
"scyliorhinidae",9
"siluridae",9
"anomalopidae",8
"astroblepidae",8
"caproidae",8
"nomeidae",8
"torpedinidae",8
"zeidae",8
"anablepidae",7
"centrophoridae",7
"ginglymostomatidae",7
"melanotaeniidae",7
"polycentridae",7
"rajiformes",7
"acestrorhynchidae",6
"argentinidae",6
"ceratodontidae",6
"chaenopsidae",6
"cirrhitidae",6
"dussumieriidae",6
"etmopteridae",6
"iguanodectidae",6
"macrouridae",6
"nemacheilidae",6
"anoplopomatidae",5
"centrolophidae",5
"ctenoluciidae",5
"dactylopteridae",5
"gempylidae",5
"narcinidae",5
"opistognathidae",5
"platycephalidae",5
"plotosidae",5
"rachycentridae",5
"adrianichthyidae",4
"bregmacerotidae",4
"chlopsidae",4
"cryptacanthodidae",4
"cynodontidae",4
"erethistidae",4
"lepidosirenidae",4
"monocentridae",4
"moringuidae",4
"neoceratodontidae",4
"phosichthyidae",4
"pristiophoridae",4
"toxotidae",4
"trichodontidae",4
"alepisauridae",3
"anoplogastridae",3
"balitoridae",3
"bathymasteridae",3
"bythitidae",3
"carapidae",3
"chanidae",3
"channichthyidae",3
"galaxiidae",3
"hexanchidae",3
"istiophoridae",3
"nandidae",3
"noctuidae",3
"nototheniidae",3
"omosudidae",3
"polymixiidae",3
"serrivomeridae",3
"siganidae",3
"soleidae",3
"trachipteridae",3
"tripterygiidae",3
"alestiidae",2
"alopiidae",2
"aulopidae",2
"badidae",2
"banjosidae",2
"bramidae",2
"branchiostomatidae",2
"centracanthidae",2
"ceratiidae",2
"chacidae",2
"chaunacidae",2
"chilodontidae",2
"chlorophthalmidae",2
"dactyloscopidae",2
"drepaneidae",2
"gyrinocheilidae",2
"leiognathidae",2
"molidae",2
"monodactylidae",2
"moridae",2
"pangasiidae",2
"paralepididae",2
"pegasidae",2
"pempheridae",2
"pholididae",2
"pinguipedidae",2
"psettodidae",2
"regalecidae",2
"retropinnidae",2
"scopelarchidae",2
"tetrarogidae",2
"trachichthyidae",2
"triacanthodidae",2
"zenionidae",2
"akysidae",1
"amblycipitidae",1
"anotopteridae",1
"aulorhynchidae",1
"aulostomidae",1
"austroglanididae",1
"bedotiidae",1
"belontiidae",1
"callanthiidae",1
"callorhinchidae",1
