"dwc.scientificName","freq"
"Semotilus atromaculatus",1970
"Pimephales notatus",1689
"Campostoma anomalum",1662
"Luxilus cornutus",1599
"Etheostoma olmstedi",1553
"Hypentelium nigricans",1341
"Etheostoma flabellare",1197
"Catostomus commersoni",1071
"Rhinichthys atratulus",953
"Notropis rubellus",919
"Rhinichthys cataractae",907
"Lepomis macrochirus",901
"Etheostoma blennioides",849
"Ambloplites rupestris",832
"Lepomis gibbosus",826
"Notemigonus crysoleucas",801
"Cottus bairdii",763
"Micropterus salmoides",760
"Micropterus dolomieu",737
"Nocomis micropogon",656
"Cyprinella spiloptera",629
"Percina caprodes",615
"Luxilus chrysocephalus",613
"Exoglossum maxillingua",583
"Paramormyrops",580
"Notropis hudsonius",572
"Catostomus commersonii",554
"Lepomis auritus",527
"Perca flavescens",520
"Etheostoma caeruleum",505
"Fundulus diaphanus",503
"Etheostoma nigrum",489
"Esox americanus",462
"Cyprinella analostana",454
"Roccus saxatilis",449
"Gambusia affinis",426
"Nocomis leptocephalus",421
"Lepomis gulosus",415
"Semotilus corporalis",399
"Notropis volucellus",386
"Etheostoma zonale",382
"Notropis buccatus",381
"Lepomis megalotis",376
"Labidesthes sicculus",369
"Aphredoderus sayanus",366
"Esox niger",366
"Lepomis cyanellus",361
"Cyprinodon pecosensis",348
"Notropis atherinoides",345
"Cyprinodon variegatus",340
"Moxostoma erythrurum",337
"Clinostomus elongatus",334
"Cottus carolinae",327
"Rhinichthys atratulus atratulus",320
"Hybopsis amblops",310
"Anguilla rostrata",308
"Percina maculata",305
"Notropis photogenis",286
"Ictalurus nebulosus",280
"Morone americana",277
"Campostoma anomalum anomalum",275
"Notropis stramineus",271
"Percina nigrofasciata",269
"Ameiurus nebulosus",265
"Clinostomus funduloides",264
"Gambusia holbrooki",264
"Fundulus heteroclitus",260
"Percopsis omiscomaycus",259
"Pomatomus saltatrix",259
"Barbus",251
"Notropis ardens",247
"Enneacanthus gloriosus",234
"Cyprinella galactura",232
"Menidia beryllina",230
"Alosa",229
"Alosa pseudoharengus",227
"Micropterus punctulatus",227
"Menidia menidia",226
"Schilbeodes marginatus",223
"Notropis hybrid",219
"Ameiurus natalis",215
"Etheostoma fusiforme",215
"Noturus insignis",215
"Ictalurus punctatus",208
"Notropis",207
"Notropis bifrenatus",206
"Petromyzon marinus",203
"Etheostoma rufilineatum",202
"Notropis amoenus",202
"Paramormyrops kingsleyae",201
"Percina peltata",201
