"Continent","Count"
NA,3196
"ATA",7
"ARG",6
"AUS",109
"BHS",279
"BRB",1
"BLZ",7
"BEN",3
"BOL",57
"BWA",6
"BRA",433
"BDI",3
"CMR",695
"CAN",449
"CAF",624
"CHL",32
"CHN",22
"COL",112
"COG",1370
"COD",1212
"CRI",7
"CIV",45
"CUB",218
"DOM",164
"ECU",6
"GNQ",5
"ETH",178
"FSM",1
"FJI",1
"FRA",1
"GUF",10
"GAB",2830
"GMB",1
"DEU",1
"GHA",320
"GTM",5
"GIN",371
"GUY",26
"HTI",3
"ISL",1
"IND",90
"IDN",41
"IRN",28
"IRL",3
"ISR",15
"ITA",1
"JPN",45
"KEN",17
"LBR",10
"MDG",1
"MWI",57
"MLI",11
"MHL",66
"MUS",69
"MEX",185
"MNG",3
"NAM",11
"NLD",1
"NZL",3
"NIC",31
"NGA",7
"MNP",1
"PAN",59
"PNG",30
"PER",176
"PHL",62
"PRI",12
"ROU",129
"RUS",8
"RWA",1
"WSM",3
"STP",1
"SEN",31
"SLE",2
"SGP",1
"ZAF",35
"KOR",3
"ESP",1
"SDN",3
"SUR",18
"SWE",9
"CHE",2
"TZA",1182
"THA",56
"TGO",5
"TTO",85
"UGA",14
"GBR",45
"USA",73957
"URY",16
"VEN",1144
NA,6
"PSE",3
"ZMB",601
