"Family","Count"
"cyprinidae",10251
"characidae",7541
"cichlidae",4065
"labridae",3394
"pomacentridae",3283
"centrarchidae",2968
"gobiidae",2832
"serranidae",2588
"percidae",2509
"apogonidae",2430
"loricariidae",2393
"poeciliidae",2284
"clupeidae",1546
"holocentridae",1504
"catostomidae",1497
"carangidae",1388
"labrisomidae",1381
"sciaenidae",1274
"muraenidae",1256
"scorpaenidae",1071
"heptapteridae",1068
"chaetodontidae",1043
"tetraodontidae",1025
"pimelodidae",988
"curimatidae",978
"scaridae",978
"apteronotidae",964
"lutjanidae",937
"acanthuridae",914
"blenniidae",905
"haemulidae",901
"ictaluridae",895
"gonostomatidae",823
"cottidae",801
"myctophidae",800
"gerreidae",758
"doradidae",750
"mugilidae",730
"engraulidae",705
"eleotridae",702
"sternopygidae",700
"synodontidae",691
"fundulidae",690
"anostomidae",617
"paralichthyidae",617
"atherinopsidae",576
"syngnathidae",570
"monacanthidae",553
"salmonidae",553
"mullidae",552
"chaenopsidae",545
"serrasalmidae",509
"crenuchidae",504
"trichomycteridae",491
"erythrinidae",475
"lebiasinidae",473
"pomacanthidae",467
"balistidae",452
"callichthyidae",428
"stomiidae",420
"belonidae",417
"tripterygiidae",406
"ophichthidae",403
"ariidae",395
"sparidae",394
"iguanodectidae",392
"bryconidae",381
"triglidae",381
"pleuronectidae",367
"ogcocephalidae",357
"ophidiidae",354
"balitoridae",352
"macrouridae",340
"auchenipteridae",337
"esocidae",330
"gasterosteidae",328
"sternoptychidae",326
"pseudochromidae",312
"hemiramphidae",310
"phosichthyidae",308
"sebastidae",303
"hypopomidae",297
"goodeidae",294
"atherinidae",283
"bothidae",275
"",273
"achiridae",268
"curculionidae",267
"cyprinodontidae",266
"batrachoididae",265
"grammatidae",248
"lepisosteidae",246
"scopelarchidae",242
"rivulidae",240
"gasteropelecidae",230
"exocoetidae",221
"acestrorhynchidae",220
"umbridae",220
"antennariidae",219
"scombridae",219
"cynoglossidae",218
"synbranchidae",218
"hemiodontidae",215
"centropomidae",214
"ostraciidae",213
"leiognathidae",203
