"Continent","Count"
NA,11973
"AFG",2
"ALB",1
"ASM",5
NA,4
"AGO",335
NA,14
"ARG",98
"ABW",8
"AUS",660
"AUT",2
NA,294
"BHS",8
"BGD",11
"BRB",7
"BLZ",6461
"BMU",2861
"BOL",1546
NA,4
NA,2
NA,74
"BWA",95
"BRA",6387
NA,11
NA,1
"KEN",12
"BRN",6
"BGR",3
"MMR",1
"CPV",5
"CMR",23
"CMR",2
"CAN",685
NA,110
"CYM",16
NA,3
"CHL",333
"CHN",786
NA,18
"CCK",51
"COL",2002
"COM",30
"COG",10
"COD",220
"COK",1
"COK",121
"CRI",902
"CUB",189
"DJI",1
"DOM",9
NA,5
"ECU",5279
"EGY",188
"SLV",313
"GNQ",3
"ETH",8
NA,6
"FJI",400
"FRA",42
NA,6
"GUF",3
"CHN",4
"SDN",8
NA,80
"GAB",3
"DEU",8
"GHA",23
"GRC",2
"GRL",31
NA,3
"GTM",906
NA,2
"GUY",2411
"HTI",205
NA,1562
"HND",1746
"HKG",1
"IND",824
"IDN",456
"IRN",14
"IRQ",114
"IRL",1
"ISR",45
"ITA",77
"CIV",5
"JAM",323
"JPN",2140
NA,6
"KEN",9
"KIR",8
"KOR",176
"KGZ",57
"LAO",1
"LBN",48
"LBR",14
"LBY",1
"MDG",101
"MDG",2
"MWI",69
"MYS",2792
"MDV",1136
"MLI",2
NA,1
"MNP",141
NA,59
"MHL",846
"MRT",1
"MUS",101
"MEX",2630
"MNG",1
"MAR",2
"MOZ",11
"MMR",15
"NAM",1
"NPL",10
NA,15
"NCL",5
"PNG",144
"NZL",10
"NIC",239
"NER",1
"NGA",9
"PRK",55
"NOR",67
"OMN",2
"PAK",15
"PLW",3199
"PSE",2
"PAN",4671
"PNG",822
"PRY",732
"PER",1882
NA,1
"PHL",4464
"POL",26
"PRT",15
"PRI",1013
"TWN",1
"ROU",146
NA,4
"RUS",25
"WSM",183
"LCA",1
"SAU",2
NA,65
"SEN",6
"SYC",74
NA,9
"SLE",2
"SGP",320
NA,504
"SLB",1531
"SOM",4
"ZAF",94
"ESP",3
"LKA",333
"VCT",8
"SDN",25
"SUR",891
"SUR",58
"SYR",2
"TWN",914
"TJK",3
"TZA",43
"THA",431
"TTO",2
"TGO",1
"TON",110
"TTO",70
NA,1
"TUN",79
NA,1
"TUR",2
NA,1
NA,9
"UGA",1
"GBR",32
"USA",25564
"URY",211
NA,2
"VUT",190
"VEN",3394
"VNM",3
NA,9
"VGB",64
"VIR",95
NA,18
NA,1
"YEM",4
NA,6
"ZMB",5
