"Family","Count"
"cyprinidae",40104
"percidae",14745
"centrarchidae",12997
"catostomidae",8323
"ictaluridae",5158
"characidae",4710
"cichlidae",3052
"fundulidae",2839
"curimatidae",1408
"loricariidae",1390
"clupeidae",1279
"poeciliidae",1265
"cottidae",956
"esocidae",919
"anostomidae",779
"atherinopsidae",715
"sciaenidae",607
"petromyzontidae",589
"moronidae",579
"aphredoderidae",570
"lepisosteidae",553
"pimelodidae",538
"prochilodontidae",486
"triportheidae",460
"engraulidae",402
"erythrinidae",370
"umbridae",316
"",311
"gasterosteidae",275
"heptapteridae",269
"serrasalmidae",269
"callichthyidae",266
"doradidae",253
"salmonidae",250
"auchenipteridae",232
"lebiasinidae",211
"sternopygidae",209
"hemiodontidae",205
"hiodontidae",205
"tetraodontidae",144
"amiidae",143
"trichomycteridae",142
"gasteropelecidae",140
"gobiidae",135
"hypopomidae",115
"crenuchidae",110
"cynodontidae",107
"apteronotidae",106
"eleotridae",106
"iguanodectidae",103
"elassomatidae",95
"acestrorhynchidae",90
"anguillidae",89
"aspredinidae",88
"acipenseridae",77
"percopsidae",73
"amblyopsidae",70
"belonidae",58
"synbranchidae",53
"cyprinodontidae",52
"rhamphichthyidae",45
"achiridae",43
"ctenoluciidae",41
"mugilidae",40
"bagridae",39
"polyodontidae",39
"gymnotidae",36
"cetopsidae",32
"cobitidae",29
"gadidae",29
"osmeridae",27
"siluridae",27
"aplocheilidae",26
"paralichthyidae",26
"pristigasteridae",26
"characeae",25
"syngnathidae",25
"ariidae",24
"scorpaenidae",22
"ageneiosidae",20
"sisoridae",20
"pseudopimelodidae",19
"carangidae",18
"chilodontidae",18
"nemacheilidae",16
"dasyatidae",13
"triglidae",13
"mastacembelidae",12
"rivulidae",12
"serranidae",12
"clariidae",10
"nototheniidae",10
"osphronemidae",10
"synodontidae",10
"channidae",9
"gobiesocidae",9
"hexagrammidae",9
"nandidae",9
"pangasiidae",9
"pleuronectidae",9
"akysidae",8
"balitoridae",8
"embiotocidae",8
"gerreidae",8
"helogeneidae",8
"ophidiidae",8
"osteoglossidae",8
"sparidae",8
"ogcocephalidae",7
"potamotrygonidae",7
"stromateidae",7
"zoarcidae",7
"agonidae",6
"balistidae",6
"batrachoididae",6
"chandidae",6
"haemulidae",6
"lutjanidae",6
"phycidae",6
"rajidae",6
"anablepidae",5
"blenniidae",5
"bryconidae",5
"cynoglossidae",5
"goodeidae",5
"myctophidae",5
"pomacentridae",5
"albulidae",4
"carcharhinidae",4
"diodontidae",4
"hemitripteridae",4
"holocentridae",4
"labridae",4
"liparidae",4
"plotosidae",4
"schilbeidae",4
"scombridae",4
"sternoptychidae",4
"stichaeidae",4
"\\n",3
"amblycipitidae",3
"antennariidae",3
"astroblepidae",3
"centropomidae",3
"elopidae",3
"ephippidae",3
"exocoetidae",3
"gymnuridae",3
"kyphosidae",3
"labrisomidae",3
"lepidosirenidae",3
"notopteridae",3
"parodontidae",3
"polynemidae",3
"scaridae",3
"sphyraenidae",3
"urolophidae",3
"acropomatidae",2
"ammodytidae",2
"apogonidae",2
"atherinidae",2
"chacidae",2
"channichthyidae",2
"chimaeridae",2
"erethistidae",2
"macrouridae",2
"melamphaidae",2
"mullidae",2
"ophichthidae",2
"percophidae",2
"pholidae",2
"polycentridae",2
"polymixiidae",2
"pristolepididae",2
"psychrolutidae",2
"scoloplacidae",2
"sebastidae",2
"siganidae",2
"squalidae",2
"stomiidae",2
"toxotidae",2
"triakidae",2
"trichiuridae",2
"uranoscopidae",2
"acanthuridae",1
"alepocephalidae",1
"amphiliidae",1
"anabantidae",1
"argentinidae",1
"arripidae",1
"auchenoglanididae",1
"bathydraconidae",1
"bathylagidae",1
"belontiidae",1
"branchiostomatidae",1
"caesionidae",1
"callionymidae",1
"carapidae",1
"centriscidae",1
"chanidae",1
"chaudhuriidae",1
"chaunacidae",1
"chirodontidae",1
"cirrhitidae",1
"claroteidae",1
"clinidae",1
"colletidae",1
"cyclopteridae",1
"cylopteridae",1
"epigonidae",1
"etmopteridae",1
"fistulariidae",1
"galaxiidae",1
"gonostomatidae",1
"gyrinocheilidae",1
"halosauridae",1
"helostomatidae",1
"hemiramphidae",1
"heteropneustidae",1
"lobotidae",1
"lophiidae",1
"lotidae",1
"malapteruridae",1
"malvaceae",1
"merlucciidae",1
"microdesmidae",1
"mochokidae",1
"moridae",1
"mormyridae",1
"myliobatidae",1
"ostraciidae",1
"phosichthyidae",1
"pinguipedidae",1
"platycephalidae",1
"pomacanthidae",1
"priacanthidae",1
"rhinobatidae",1
"scyliorhinidae",1
"sphyrnidae",1
"squatinidae",1
"synaphobranchidae",1
"torpedinidae",1
"triacanthodidae",1
