"Family","Count"
"cyprinidae",16673
"percidae",6255
"centrarchidae",4542
"catostomidae",2579
"ictaluridae",2555
"fundulidae",1668
"poeciliidae",977
"clupeidae",581
"cottidae",571
"characidae",554
"pomacentridae",508
"sciaenidae",506
"atherinopsidae",479
"gobiidae",436
"serranidae",393
"labridae",354
"apogonidae",316
"lepisosteidae",298
"pleuronectidae",294
"cichlidae",278
"carangidae",272
"sebastidae",261
"blenniidae",256
"myctophidae",240
"stomiidae",218
"nemacheilidae",204
"moronidae",182
"tetraodontidae",180
"acipenseridae",172
"ophidiidae",168
"paralichthyidae",164
"scorpaenidae",164
"holocentridae",162
"acanthuridae",159
"lutjanidae",157
"loricariidae",149
"chaetodontidae",138
"pomacanthidae",138
"salmonidae",135
"balistidae",131
"cyprinodontidae",124
"trichomycteridae",124
"triglidae",124
"sparidae",122
"macrouridae",117
"synodontidae",116
"sisoridae",114
"cobitidae",108
"esocidae",108
"monacanthidae",108
"engraulidae",106
"zoarcidae",105
"petromyzontidae",102
"haemulidae",99
"mugilidae",99
"muraenidae",97
"heptapteridae",95
"gasterosteidae",91
"sternoptychidae",88
"mullidae",85
"syngnathidae",80
"gerreidae",79
"rajidae",76
"scombridae",76
"embiotocidae",75
"congridae",73
"hiodontidae",73
"ophichthidae",73
"agonidae",67
"liparidae",67
"erythrinidae",66
"gadidae",65
"gonostomatidae",64
"stichaeidae",64
"moridae",63
"alepocephalidae",61
"scyliorhinidae",61
"rivulidae",60
"scaridae",60
"callionymidae",59
"elassomatidae",59
"acropomatidae",56
"cynoglossidae",55
"chanidae",54
"hexagrammidae",54
"aphredoderidae",52
"batrachoididae",52
"bothidae",51
"perciliidae",47
"trichiuridae",47
"belonidae",46
"bagridae",45
"siganidae",44
"atherinidae",43
"chlorophthalmidae",43
"tripterygiidae",42
"",41
"ambassidae",41
"umbridae",41
"bathylagidae",40
"dasyatidae",40
"lethrinidae",40
"phycidae",40
"priacanthidae",40
"uranoscopidae",40
"eleotridae",39
"exocoetidae",39
"melamphaidae",39
"ogcocephalidae",38
"cirrhitidae",37
"melanotaeniidae",37
"schilbeidae",37
"lebiasinidae",36
"merlucciidae",36
"ostraciidae",36
"synbranchidae",36
"amiidae",35
"arhynchobatidae",35
"callichthyidae",35
"microdesmidae",35
"paralepididae",35
"platycephalidae",35
"channidae",34
"pimelodidae",34
"pinguipedidae",34
"synaphobranchidae",34
"argentinidae",33
"labrisomidae",33
"psilorhynchidae",33
"chimaeridae",32
"hemiramphidae",32
"stromateidae",32
"ephippidae",31
"mastacembelidae",31
"psychrolutidae",31
"sphyraenidae",31
"achiridae",30
"peristediidae",30
"caesionidae",29
"crenuchidae",29
"gobiesocidae",29
"pholidae",29
"ariidae",28
"polynemidae",28
"anguillidae",27
"bythitidae",27
"percopsidae",27
"polymixiidae",27
"polyodontidae",27
"curimatidae",26
"diodontidae",26
"cetomimidae",25
"chaenopsidae",25
"lophiidae",25
"pempheridae",25
"squalidae",25
"gempylidae",24
"gymnotidae",24
"bathymasteridae",23
"chiasmodontidae",23
"cyclopteridae",23
"nemichthyidae",23
"osmeridae",23
"trachichthyidae",23
"lotidae",22
"malacanthidae",22
"platytroctidae",22
"amblyopsidae",21
"carcharhinidae",21
"kyphosidae",21
"phosichthyidae",21
"soleidae",21
"antennariidae",20
"ariommatidae",20
"astroblepidae",20
"nemipteridae",20
"percichthyidae",20
"zeidae",20
"amblycipitidae",19
"anablepidae",19
"badidae",19
"goodeidae",19
"pseudochromidae",19
"anostomidae",18
"nomeidae",18
"triakidae",18
"leiognathidae",17
"nettastomatidae",17
"plesiopidae",17
"torpedinidae",17
"chaunacidae",16
"epigonidae",16
"etmopteridae",16
"serrasalmidae",16
"echeneidae",15
"fistulariidae",15
"myxinidae",15
"balitoridae",14
"belontiidae",14
"centropomidae",14
"ceratiidae",14
"halosauridae",14
"notacanthidae",14
"percophidae",14
"samaridae",14
"serrivomeridae",14
"albulidae",13
"caproidae",13
"myliobatidae",13
"polypteridae",13
"pseudomugilidae",13
"rhinobatidae",13
"siluridae",13
"squatinidae",13
"clariidae",12
"clinidae",12
"evermannellidae",12
"gasteropelecidae",12
"ipnopidae",12
"prochilodontidae",12
"scophthalmidae",12
"terapontidae",12
"urotrygonidae",12
"ammodytidae",11
"anoplogastridae",11
"aulostomidae",11
"centriscidae",11
"centrolophidae",11
"centrophoridae",11
"dussumieriidae",11
"elopidae",11
"setarchidae",11
"synanceiidae",11
"tetrarogidae",11
"alepisauridae",10
"anoplopomatidae",10
"aplocheilidae",10
"auchenipteridae",10
"dactyloscopidae",10
"hemitripteridae",10
"hypopomidae",10
"iguanodectidae",10
"potamotrygonidae",10
"zanclidae",10
"amphiliidae",9
"anarhichadidae",9
"bramidae",9
"bregmacerotidae",9
"bryconidae",9
"carapidae",9
"molidae",9
"muraenesocidae",9
"oneirodidae",9
"polyprionidae",9
"pomatomidae",9
"scomberesocidae",9
"scopelarchidae",9
"triacanthodidae",9
"berycidae",8
"caristiidae",8
"champsodontidae",8
"cheilodactylidae",8
"grammatidae",8
"megalopidae",8
"moringuidae",8
"parazenidae",8
"rondeletiidae",8
"anabantidae",7
"erethistidae",7
"heteropneustidae",7
"hoplichthyidae",7
"istiophoridae",7
"kuhliidae",7
"neoscopelidae",7
"notopteridae",7
"osteoglossidae",7
"pantodontidae",7
"plotosidae",7
"profundulidae",7
"rachycentridae",7
"rhinochimaeridae",7
"trachipteridae",7
"apteronotidae",6
"citharidae",6
"dactylopteridae",6
"derichthyidae",6
"eurypharyngidae",6
"hemiodontidae",6
"heterodontidae",6
"howellidae",6
"lampridae",6
"lobotidae",6
"notosudidae",6
"opistognathidae",6
"pangasiidae",6
"sillaginidae",6
"sphyrnidae",6
"zaproridae",6
"aploactinidae",5
"bembridae",5
"cepolidae",5
"dalatiidae",5
"diplomystidae",5
"diretmidae",5
"melanocetidae",5
"omosudidae",5
"polycentridae",5
"pristigasteridae",5
"scatophagidae",5
"anotopteridae",4
"aspredinidae",4
"bathysauridae",4
"cetopsidae",4
"creediidae",4
"drepaneidae",4
"emmelichthyidae",4
"ginglymostomatidae",4
"hapalogenyidae",4
"hemiscylliidae",4
"kurtidae",4
"menidae",4
"nandidae",4
"nematogenyidae",4
"nototheniidae",4
"opisthoproctidae",4
"parabembridae",4
"pentacerotidae",4
"pseudopimelodidae",4
"regalecidae",4
"saccopharyngidae",4
"stylephoridae",4
"triportheidae",4
"acestrorhynchidae",3
"alestidae",3
"aulorhynchidae",3
"caracanthidae",3
"chlopsidae",3
"cryptacanthodidae",3
"galaxiidae",3
"gigantactinidae",3
"giganturidae",3
"gymnuridae",3
"latidae",3
"luvaridae",3
"microstomatidae",3
"mochokidae",3
"monocentridae",3
"monodactylidae",3
"mormyridae",3
"narcinidae",3
"neoceratodontidae",3
"somniosidae",3
"zenarchopteridae",3
"zenionidae",3
"banjosidae",2
"bathydraconidae",2
"chacidae",2
"coryphaenidae",2
"ctenoluciidae",2
"doradidae",2
"grammicolepididae",2
"inermiidae",2
"kraemeriidae",2
"latimeriidae",2
"lepidosirenidae",2
"narkidae",2
"neosebastidae",2
"notocheiridae",2
"phallostethidae",2
"pristidae",2
"proscylliidae",2
"pseudocarchariidae",2
"scombrolabracidae",2
"scombropidae",2
"sternopygidae",2
"telmatherinidae",2
"trichonotidae",2
"xenisthmidae",2
"artedidraconidae",1
"ateleopodidae",1
"aulopidae",1
"bathyclupeidae",1
"centracanthidae",1
"channichthyidae",1
"chirocentridae",1
"chlamydoselachidae",1
"colocongridae",1
"cyematidae",1
"cynodontidae",1
"distichodontidae",1
"geotriidae",1
"himantolophidae",1
"kneriidae",1
"lactariidae",1
"lateolabracidae",1
"leptobramidae",1
"lophotidae",1
"monognathidae",1
"noctuidae",1
"nothobranchiidae",1
"odontobutidae",1
"oplegnathidae",1
"oreosomatidae",1
"osphronemidae",1
"pholidichthyidae",1
"phractolaemidae",1
"protopteridae",1
"psettodidae",1
"rhamphichthyidae",1
"rhamphocottidae",1
"stephanoberycidae",1
"toxotidae",1
"triacanthidae",1
"trichodontidae",1
"triodontidae",1
