"dwc.scientificName","freq"
"Campostoma anomalum",1195
"Cyprinella lutrensis",1147
"Etheostoma spectabile",1022
"Lepomis cyanellus",932
"Notropis stramineus",870
"Pimephales notatus",830
"Gambusia affinis",733
"Pimephales promelas",701
"Semotilus atromaculatus",647
"Lepomis megalotis",623
"Lepomis macrochirus",590
"Micropterus salmoides",578
"Lepomis humilis",531
"Ameiurus melas",526
"Phenacobius mirabilis",514
"Lythrurus umbratilis",499
"Ictalurus punctatus",456
"Percina caprodes",416
"Ameiurus natalis",405
"Dorosoma cepedianum",381
"Catostomus commersonii",344
"Fundulus zebrinus",327
"Etheostoma flabellare",322
"Carpiodes carpio",315
"Pimephales vigilax",313
"Moxostoma erythrurum",312
"Labidesthes sicculus",309
"Fundulus notatus",302
"Cyprinus carpio",294
"Etheostoma blennioides",286
"Etheostoma nigrum",280
"Percina phoxocephala",278
"Hybognathus placitus",265
"Noturus exilis",262
"Pomoxis annularis",254
"Notropis percobromus",252
"Notropis atherinoides",245
"Notemigonus crysoleucas",242
"Notropis topeka",242
"Etheostoma cragini",241
"Etheostoma caeruleum",227
"Luxilus cornutus",224
"Noturus flavus",211
"Chrosomus erythrogaster",208
"Moxostoma macrolepidotum",207
"Nocomis biguttatus",205
"Luxilus cardinalis",198
"Fundulus olivaceus",195
"Notropis boops",191
"Lepisosteus osseus",176
"Pylodictis olivaris",173
"Micropterus punctulatus",171
"Luxilus chrysocephalus",170
"Notropis nubilus",169
"Percina copelandi",169
"Hypentelium nigricans",166
"Ictiobus bubalus",162
"Aplodinotus grunniens",159
"Cottus carolinae",155
"Etheostoma zonale",153
"Notropis volucellus",152
"Etheostoma radiosum",150
"Cyprinella camura",149
"Scaphirhynchus platorynchus",146
"Notropis dorsalis",142
"Lepomis gulosus",134
"Macrhybopsis storeriana",130
"Pimephales tenellus",130
"Morone chrysops",126
"Cyprinella spiloptera",121
"Fundulus catenatus",120
"Macrhybopsis aestivalis",115
"Platygobio gracilis",114
"Etheostoma mihileze",109
"Notropis buchanani",108
"Noturus nocturnus",108
"Carpiodes cyprinus",101
"Cyprinella venusta",101
"Percina sciera",98
"Etheostoma whipplei",94
"Minytrema melanops",92
"Ictiobus cyprinellus",88
"Hybognathus hankinsoni",87
"Sander vitreus",86
"Lepomis cyanellus x L. macrochirus",84
"Cottus bairdii",82
"Rhinichthys atratulus",81
"Rhinichthys cataractae",81
"Etheostoma stigmaeum",80
"Erimystax x-punctatus",78
"Micropterus dolomieu",78
"Moxostoma duquesnii",78
"Ambloplites rupestris",75
"Rhinichthys osculus",74
"Hybopsis amblops",71
"Luxilus zonatus",70
"Noturus gyrinus",69
"Pomoxis nigromaculatus",69
"Campostoma oligolepis",67
"Lepisosteus platostomus",65
"Etheostoma chlorosomum",64
"Percina maculata",63
"Cyprinella whipplei",62
"Notropis greenei",61
"Notropis girardi",60
"Cyprinella galactura",59
"Noturus placidus",59
"Percina nigrofasciata",59
"Hiodon alosoides",58
"Notropis blennius",58
"Etheostoma gracile",57
"Menidia beryllina",56
"Lythrurus ardens",55
"Chanos chanos",53
"Elassoma zonatum",51
"Pethia conchonius",51
"Esox americanus",50
"Etheostoma proeliare",50
"Hybognathus argyritis",50
"Ictiobus niger",49
"Lepomis punctatus",48
"Nocomis asper",48
"Aphredoderus sayanus",47
"Etheostoma sp.",47
"Schistura corica",47
"Erimyzon oblongus",46
"Notropis ariommus",46
"Noturus miurus",46
