"Family","Count"
"myctophidae",20109
"engraulidae",17152
"",9921
"sciaenidae",9444
"gobiidae",5954
"paralichthyidae",5588
"gonostomatidae",4831
"pleuronectidae",4474
"sternoptychidae",4226
"sebastidae",3762
"cottidae",3699
"bathylagidae",3407
"serranidae",3118
"stomiidae",2804
"melamphaidae",2757
"blenniidae",2418
"atherinopsidae",2072
"pomacentridae",2028
"clupeidae",1993
"labridae",1943
"clinidae",1595
"carangidae",1580
"cyprinidae",1500
"platytroctidae",1349
"exocoetidae",1323
"characidae",1302
"labrisomidae",1253
"poeciliidae",1245
"muraenidae",1163
"haemulidae",1138
"scorpaenidae",1080
"cichlidae",1063
"phosichthyidae",1045
"gobiesocidae",938
"zoarcidae",902
"embiotocidae",846
"apogonidae",838
"synodontidae",835
"nemichthyidae",834
"cynoglossidae",827
"scombridae",819
"loricariidae",805
"holocentridae",801
"syngnathidae",756
"macrouridae",754
"paralepididae",749
"ophichthidae",723
"hexagrammidae",698
"ophidiidae",687
"congridae",676
"tetraodontidae",667
"gerreidae",661
"gasterosteidae",646
"acanthuridae",645
"lutjanidae",575
"catostomidae",549
"alepocephalidae",529
"chaetodontidae",515
"mugilidae",513
"kyphosidae",499
"chaenopsidae",495
"sparidae",494
"centrarchidae",493
"batrachoididae",481
"salmonidae",480
"hemiramphidae",479
"agonidae",474
"stichaeidae",459
"scopelarchidae",444
"stromateidae",443
"carcharhinidae",438
"sphyraenidae",432
"oneirodidae",424
"bothidae",408
"scaridae",406
"bythitidae",405
"tripterygiidae",394
"balistidae",377
"merlucciidae",358
"nototheniidae",358
"ariidae",355
"belonidae",348
"serrivomeridae",344
"chiasmodontidae",343
"liparidae",342
"pomacanthidae",337
"triglidae",326
"scomberesocidae",321
"heptapteridae",310
"mullidae",303
"atherinidae",285
"scyliorhinidae",277
"rajidae",260
"pimelodidae",251
"dactyloscopidae",238
"neoscopelidae",238
"pholidae",220
"ictaluridae",219
"opisthoproctidae",207
"triakidae",207
"trichiuridae",202
"apteronotidae",201
"eleotridae",199
"cirrhitidae",190
"dussumieriidae",190
"monacanthidae",188
"fundulidae",187
"moridae",185
"priacanthidae",183
"trachipteridae",182
"istiophoridae",180
"melanocetidae",175
"ceratiidae",170
"polynemidae",169
"gadidae",168
"gempylidae",166
"microstomatidae",163
"osmeridae",161
"achiridae",158
"diodontidae",157
"antennariidae",154
"chlopsidae",142
"notosudidae",141
"bathydraconidae",139
"channichthyidae",139
"dasyatidae",138
"rhinobatidae",135
"serrasalmidae",135
"ostraciidae",134
"curimatidae",130
"myliobatidae",127
"pristigasteridae",127
"auchenipteridae",125
"bryconidae",125
