"dwc.scientificName","freq"
"Engraulis mordax",13708
"",8234
"Genyonemus lineatus",4561
"Gobiidae",2661
"Seriphus politus",2491
"Engraulidae",2398
"Triphoturus mexicanus",2027
"Stenobrachius leucopsarus",1763
"Cyclothone signata",1586
"Cyclothone acclinidens",1472
"Leuroglossus stilbius",1336
"Hypsoblennius hypsoblennius",1251
"Pleuronichthys verticalis",1204
"Myctophidae",1172
"Lampanyctus ritteri",1140
"Paralichthys californicus",1124
"Sebastes sebastes",1085
"Clupeiformes",1051
"Paralichthyidae",968
"Clinidae",910
"Diaphus theta",874
"Bathylagus wesethi",873
"Atherinopsis californiensis",802
"Pleuronichthys ritteri",764
"Cyclothone cyclothone",744
"Citharichthys citharichthys",714
"Sardinops sagax caeruleus",712
"Hypsopsetta guttulata",672
"Citharichthys stigmaeus",652
"Argyropelecus lychnus",640
"Stomias atriventer",638
"Idiacanthus antrostomus",628
"Scopelogadus mizolepis bispinosus",627
"Protomyctophum crockeri",615
"Leuresthes tenuis",590
"Paralabrax paralabrax",589
"Gasterosteus aculeatus",577
"Sternoptyx obscura",563
"Danaphos oculatus",539
"Vinciguerria lucetia",527
"Citharichthys sordidus",508
"Ceratoscopelus townsendi",505
"Symbolophorus californiensis",497
"Paralepididae",496
"Argyropelecus pacificus",477
"Sciaenidae",472
"Diogenichthys laternatus",470
"Tarletonbeania crenularis",466
"Poromitra crassiceps",452
"Sagamichthys abei",437
"Melanostigma pammelas",419
"Electrona antarctica",413
"Bathylagus bathylagus",409
"Protomyctophum anderssoni",402
"Argyropelecus sladeni",400
"Rhinogobiops nicholsii",393
"Icelinus quadriseriatus",390
"Symphurus atricauda",390
"Sebastolobus altivelis",389
"Microstomus pacificus",388
"Gymnoscopelus braueri",386
"Atherinops affinis",383
"Scomber japonicus",377
"Synodus lucioceps",364
"Parvilux ingens",363
"Protomyctophum bolini",358
"Lampanyctus regalis",354
"Hippoglossina stomata",321
"Gambusia affinis",317
"Scorpaenichthys marmoratus",317
"Melamphaes lugubris",316
"Argyropelecus affinis",310
"Merluccius productus",306
"Parophrys vetulus",306
"Sphyraena argentea",299
"Citharichthys type a",292
"Gila orcutti",290
"Labridae",287
"Cottus asper",286
"Argyropelecus intermedius",282
"Leptocottus armatus",281
"Cololabis saira",280
"Peprilus simillimus",279
"Lampanyctus achirus",269
"Bathylagus ochotensis",261
"Cyclothone pallida",261
"Gobiesox rhessodon",261
"Chauliodus macouni",256
"Paralabrax maculatofasciatus",256
"Clinocottus analis",248
"Clupeidae",248
"Exocoetidae",248
"Sardinops sagax",248
"Pleuronichthys pleuronichthys",245
"Characidae",243
"Cottidae",241
"Heterostichus rostratus",241
"Oxyjulis californica",237
"Ceratoscopelus warmingi",236
"Sebastes",235
"Menticirrhus undulatus",232
"Lampanyctus lampanyctus",231
"Diogenichthys atlanticus",230
"Gillichthys mirabilis",229
"Serrivomer sector",229
"Scopelengys tristis",228
"Exocoetus volitans",226
"Ophichthidae",224
"Protomyctophum parallelum",217
"Astyanax fasciatus",216
"Atherinidae",215
"Ophioblennius steindachneri",213
"Girella nigricans",210
"Scorpaenodes xyris",207
"Trachurus symmetricus",206
"Typhlogobius californiensis",206
"Porichthys notatus",204
"Lepidogobius lepidus",201
"Nemichthys scolopaceus",199
"Salmo gairdneri",199
"Argyropelecus hemigymnus",197
"Melamphaes acanthomus",195
"Pleuronectiformes",195
"Scorpaenidae",195
"Talismania bifurcata",194
"Avocettina infans",190
"Rhinichthys osculus",190
"Pleuronichthys coenosus",189
"Xystreurys liolepis",187
"Epinephelus labriformis",186
"Gibbonsia gibbonsia",182
"Gonostomatidae",182
"Gymnoscopelus opisthopterus",181
"Bothidae",177
"Oligocottus snyderi",177
"Eucyclogobius newberryi",176
"Holtbyrnia holtbyrnia",176
"Scopeloberyx robustus",172
"Myctophum nitidulum",170
"Protomyctophum protomyctophum",168
"Lampanyctus",167
"Platytroctidae",166
"Vinciguerria vinciguerria",164
"Serranidae",163
"Artedius lateralis",162
"Abudefduf troschelii",161
"Melamphaes melamphaes",161
"Sardinops caeruleus",161
"Lampanyctus idostigma",159
"Gymnoscopelus fraseri",158
"Carangidae",156
"Cynomacrurus piriei",156
"Chitonotus pugetensis",155
"Chromis punctipinnis",152
"Etrumeus teres",152
"Nemichthys nemichthys",151
"Orthonopias triacis",151
"Protomyctophum tenisoni",151
"Hypsoblennius jenkinsi",150
"Sternoptyx diaphana",150
"Congridae",149
"Gymnothorax panamensis",148
"Holtbyrnia macrops",148
"Muraena lentiginosa",148
"Bajacalifornia burragei",143
"Aristostomias scintillans",141
"Bathylagus pacificus",140
"Argyropelecus argyropelecus",139
"Loricaria",139
"Artedius creaseri",135
"Oxylebius pictus",135
"Macrouridae",134
"Citharichthys xanthostigma",133
"Odontopyxis trispinosa",132
"Poromitra poromitra",132
"Acanthuridae",129
"Lampanyctus nobilis",129
"Opisthonema libertate",129
"Catostomus santaanae",128
"Hexagrammos decagrammus",128
"Ichthyococcus irregularis",128
"Lestidium ringens",127
"Bodianus diplotaenia",126
"Stegastes rectifraenum",126
"Pomacentridae",124
"Thalassoma lucasanum",124
"Gymnoscopelus gymnoscopelus",123
"Glyptocephalus zachirus",122
"Myctophum aurolaternatum",122
"Oxyporhamphus micropterus",122
"Pimelodella pimelodella",121
"Poecilia sphenops",121
"Anisotremus davidsonii",120
"Cymatogaster aggregata",120
"Zaniolepis frenata",120
"Poecilia mexicana",119
"Cichlasoma spilurum",118
"Lampanyctus parvicauda",118
"Lepomis cyanellus",118
"Notolychnus valdiviae",118
"Cheilotrema saturnum",116
"Clevelandia ios",116
"Eucinostomus gracilis",116
"Syngnathus californiensis",116
"Bathylagus milleri",115
"Muraenidae",115
"Paralabrax clathratus",115
"Apogonidae",114
"Diaphus",114
"Halichoeres semicinctus",114
"Lythrypnus dalli",114
"Lythrypnus lythrypnus",114
"Oneirodes acanthias",114
"Porichthys myriaster",114
"Symphurus atramentatus",114
"Electrona subasper",113
"Notoscopelus resplendens",112
"Pleuronectidae",111
"Scorpaena guttata",111
"Rhynchoconger nitens",110
"Anoplogaster cornuta",109
"Sternoptyx pseudobscura",109
"Xiphister atropurpureus",109
"Borostomias panamensis",108
"Scopeloberyx scopeloberyx",108
"Etropus crossotus",107
"Sebastes saxicola",107
"Zaniolepis latipinnis",107
"Apogon retrosella",106
"Hyporhamphus unifasciatus",106
"Ariidae",105
"Curimata",105
"Eucinostomus dowii",105
"Hygophum atratum",105
"Labrisomus xanti",105
"Astyanax bimaculatus",104
"Brycon guatemalensis",104
"Ophidion scrippsae",104
"Scopelogadus mizolepis",103
"Mugil curema",102
"Myripristis leiognathos",102
"Stomias stomias",102
"Bathophilus flemingi",101
"Gobiesox maeandricus",101
"Gobioidei",101
"Canthigaster punctatissimus",100
"Cottus aleuticus",100
"Lyopsetta exilis",100
"Bolinichthys longipes",99
"Leptocephalus leptocephalus",99
"Otophidium taylori",99
"Labrisomus multiporosus",98
"Syngnathus syngnathus",98
"Electrona carlsbergi",97
"Holocentrus suborbitalis",97
"Lampanyctus australis",97
"Cyclothone",96
"Halichoeres dispilus",96
"Lampanyctus macdonaldi",96
"Mugil cephalus",96
"Stegastes flavilatus",96
"Zalembius rosaceus",96
"Coryphopterus urospilus",95
"Gobiesocidae",95
"Holtbyrnia",95
"Cyclothone pseudopallida",94
"Plagiotremus azalea",94
"Sebastolobus alascanus",94
"Lampanyctus alatus",93
"Lycodes pacificus",93
"Scorpaena plumieri mystes",93
"Trachipterus altivelis",93
"Anchoa delicatissima",92
"Apristurus brunneus",92
"Argentina sialis",92
"Paralabrax nebulifer",92
"Pimephales promelas",92
"Gibbonsia elegans",91
"Rypticus bicolor",91
"Strongylura exilis",91
"Synodus lacertinus",91
"Borostomias borostomias",90
"Ophiodon elongatus",90
"Protomyctophum subparallelum",90
"Scombridae",90
"Axoclinus carminalis",89
"Gymnoscopelus aphya",89
"Hypsoblennius gilberti",89
"Lampadena urophaos",89
"Paraclinus integripinnis",89
"Pleuronichthys decurrens",89
"Bathylagidae",88
"Fundulus parvipinnis",88
"Cataetyx rubrirostris",87
"Hypsoblennius gentilis",87
"Melamphaidae",87
"Aequidens syspilus",86
"Diodon holocanthus",86
"Sebastes paucispinis",86
"Chilara taylori",85
"Hyperprosopon argenteum",85
"Hypostomus",85
"Mentodus facilis",85
"Myctophum myctophum",85
"Tetraodontidae",85
"Hirundichthys oxycephalus",84
"Holacanthus passer",84
"Synodus synodus",84
"Abudefduf saxatilis",83
"Apodichthys fucorum",83
