"dwc.preparations","freq"
"whole animal (alcohol)",150489
"whole animal (70% ethanol)",5001
"",3107
"whole animal (cleared and stained)",1016
"otolith (dry)",988
"whole animal (alcohol); whole animal (cleared and stained)",785
"whole skeleton (dry)",777
"otolith (dry); whole animal (alcohol)",588
"tissue (ethanol); whole animal (alcohol)",544
"mounted whole animal (dry)",347
"tissue (95% ethanol); whole animal (alcohol)",345
"whole animal (alcohol); whole animal (70% ethanol)",300
"whole animal (alcohol); whole animal (alcohol)",230
"partial skeleton (dry)",204
"whole animal (70% ethanol); whole animal (70% ethanol)",193
"tissue (95% ethanol: vapor phase nitrogen); whole animal (70% ethanol)",182
"jaw (dry)",109
"skeleton (dry)",100
"whole animal (70% ethanol); whole animal (alcohol)",92
"whole animal (70% ethanol); whole animal (cleared and stained)",78
"pharyngeal teeth (dry)",77
"whole skeleton (dry); skin sample (dry)",71
"brain (70% ethanol); whole animal (alcohol)",69
"tissue (alcohol: vapor phase nitrogen); whole animal (alcohol)",69
"tissue (alcohol); whole animal (alcohol)",48
"whole animal (dry)",47
"whole animal (alcohol); dissected part (70% ethanol)",45
"skull (dry); partial skeleton (dry)",44
"otolith (dry); partial skeleton (dry)",42
"whole animal (cleared and stained); whole animal (alcohol)",41
"tissue (95% ethanol: vapor phase nitrogen); whole animal (alcohol)",39
"whole animal (alcohol); skin sample (70% ethanol)",34
"tissue (70% ethanol); whole animal (alcohol)",32
"whole animal (alcohol); dissected part (SEM stub)",28
"whole skeleton (dry); whole animal (alcohol)",28
"tissue (frozen); dissected whole animal (70% ethanol); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol) sample",26
"brain (70% ethanol); whole animal (70% ethanol)",24
"whole animal (cleared and stained); whole animal (70% ethanol)",24
"tissue (ethanol); whole animal (70% ethanol)",22
"whole animal (alcohol); otolith (dry); otolith (dry)",22
"brain (70% ethanol); dissected whole animal (70% ethanol)",19
"skull (dry)",19
"brain (70% ethanol)",17
"scale (dry)",17
"whole animal (alcohol); tissue (95% ethanol); tissue (ethanol)",17
"otolith (dry); whole animal (70% ethanol)",16
"tissue (95% ethanol); whole animal (70% ethanol)",16
"whole animal (alcohol); otolith (dry); otolith (dry); otolith (dry)",15
"dissected whole animal (70% ethanol)",14
"whole animal (alcohol); partial animal (SEM stub)",14
"egg (unknown)",13
"whole animal (70% ethanol); whole animal (alcohol); whole animal (cleared and stained)",13
"whole animal (alcohol); skin sample (dry)",13
"head (dry)",12
"rostrum (dry); rostrum (dry) sample",12
"whole animal (70% ethanol); dissected part (70% ethanol)",12
"whole animal (70% ethanol); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol: vapor phase nitrogen)",12
"whole animal (alcohol); whole animal (alcohol); whole animal (cleared and stained)",12
"teeth (dry)",11
"whole animal (alcohol); otolith (dry); otolith (dry); otolith (dry); otolith (dry)",11
"jaw (dry); jaw (dry) sample",10
"skull (dry); jaw (dry)",10
"teeth (dry); whole animal (alcohol)",10
"tissue (alcohol: vapor phase nitrogen); whole animal (70% ethanol)",10
"whole animal (70% ethanol); dissected whole animal (70% ethanol)",10
"whole animal (70% ethanol); whole animal (alcohol); whole animal (70% ethanol)",10
"whole animal (alcohol); otolith (dry); tissue (ethanol)",10
"skin sample (dry)",9
"whole animal (cleared and stained); whole animal (70% ethanol); whole animal (alcohol)",9
"skeleton (dry); whole animal (alcohol)",8
"skin sample (70% ethanol)",8
"whole animal (alcohol); egg (unknown)",8
"whole animal (cleared and stained); whole animal (alcohol); whole animal (cleared and stained)",8
"partial skeleton (dry); whole animal (alcohol)",7
"whole animal (70% ethanol); whole animal (alcohol); whole animal (alcohol)",7
"whole animal (cleared and stained); brain (70% ethanol); whole animal (alcohol)",7
"dissected part (70% ethanol)",6
"egg (70% ethanol)",6
"whole animal (70% ethanol); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol: vapor phase nitrogen)",6
"whole animal (alcohol); tissue (alcohol); brain (70% ethanol)",6
"unknown (histological slide)",5
"whole animal (70% ethanol); otolith (dry); whole animal (alcohol)",5
"whole animal (70% ethanol); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol) sample",5
"whole animal (70% ethanol); whole animal (70% ethanol); whole animal (70% ethanol)",5
"whole animal (70% ethanol); whole animal (70% ethanol); whole animal (cleared and stained)",5
"whole animal (95% ethanol)",5
"whole animal (alcohol); brain (70% ethanol); brain (70% ethanol); tissue (alcohol)",5
"whole animal (alcohol); dissected part (70% ethanol); dissected part (70% ethanol)",5
"whole animal (alcohol); otolith (dry); otolith (dry); otolith (dry); otolith (dry); otolith (dry)",5
"whole animal (alcohol); skin sample (dry); whole skeleton (dry)",5
"whole skeleton (dry); otolith (dry)",5
"dissected part (SEM stub)",4
"jaw (dry); whole animal (alcohol)",4
"otolith (dry); skeleton (dry)",4
"partial skeleton (70% ethanol)",4
"whole animal (70% ethanol); dissected whole animal (cleared and stained)",4
"whole animal (70% ethanol); otolith (dry); partial skeleton (dry)",4
"whole animal (70% ethanol); whole animal (70% ethanol); whole animal (alcohol)",4
"whole animal (alcohol); dissected whole animal (cleared and stained)",4
"whole animal (alcohol); whole animal (95% ethanol)",4
"whole animal (cleared and stained); brain (70% ethanol); tissue (alcohol); whole animal (alcohol)",4
"whole animal (cleared and stained); head (histological slide); whole animal (alcohol)",4
"whole animal (cleared and stained); whole animal (70% ethanol); whole animal (70% ethanol)",4
"whole animal (cleared and stained); whole animal (alcohol); brain (70% ethanol); brain (70% ethanol); tissue (alcohol)",4
"dissected whole animal (alcohol)",3
"head (70% ethanol)",3
"heart (alcohol)",3
"mounted whole animal (alcohol)",3
"otolith (dry); otolith (dry)",3
"partial skeleton (dry); skin sample (dry)",3
"skeleton (cleared and stained); whole animal (alcohol)",3
"teeth (70% ethanol); whole animal (alcohol)",3
"tissue (70% ethanol); whole animal (70% ethanol)",3
"tissue (ethanol)",3
"whole animal (70% ethanol); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol: vapor phase nitrogen)",3
"whole animal (70% ethanol); whole animal (70% ethanol) sample",3
"whole animal (alcohol); clasper (70% ethanol)",3
"whole animal (alcohol); dissected whole animal (70% ethanol)",3
"whole animal (alcohol); egg (70% ethanol)",3
"whole animal (alcohol); tissue (95% ethanol); tissue (95% ethanol)",3
"whole animal (alcohol); whole animal (alcohol); whole animal (alcohol)",3
"whole animal (cleared and stained); whole animal (alcohol); whole animal (alcohol)",3
"whole animal (cleared and stained); whole animal (alcohol); whole animal (cleared and stained); whole animal (alcohol)",3
"whole animal (cleared and stained); whole animal (cleared and stained)",3
"whole animal (cleared and stained); whole skeleton (dry); whole animal (alcohol)",3
"dissected part (alcohol)",2
"dissected whole animal (cleared and stained)",2
"head (dry); head (dry) sample",2
"heart (70% ethanol)",2
"heart (70% ethanol); whole animal (alcohol)",2
"heart (alcohol); whole animal (alcohol)",2
"jaw (dry); head (dry)",2
"jaw (dry); teeth (dry)",2
"mounted whole animal (dry); whole animal (70% ethanol)",2
"mounted whole animal (dry); whole animal (alcohol)",2
"partial skeleton (dry); whole animal (70% ethanol)",2
"pharyngeal teeth (dry); whole animal (alcohol)",2
"scale (dry); otolith (dry); partial skeleton (dry)",2
"skull (dry); scale (dry)",2
"skull (dry); skin sample (dry)",2
"spiral valve (70% ethanol); whole animal (alcohol)",2
"tissue (alcohol); whole animal (70% ethanol)",2
"tissue (ethanol); heart (70% ethanol); whole skeleton (dry)",2
"unknown (dry)",2
"whole animal (70% ethanol); brain (70% ethanol); whole animal (alcohol); whole animal (cleared and stained)",2
"whole animal (70% ethanol); dissected part (SEM stub)",2
"whole animal (70% ethanol); head (70% ethanol)",2
"whole animal (70% ethanol); otolith (dry); otolith (dry)",2
"whole animal (70% ethanol); skin sample (70% ethanol)",2
"whole animal (70% ethanol); skin sample (dry)",2
"whole animal (70% ethanol); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol) sample; tissue (95% ethanol) sample; tissue (95% ethanol) sample",2
"whole animal (70% ethanol); tissue (95% ethanol: vapor phase nitrogen); tissue (RNAlater: vapor phase nitrogen)",2
"whole animal (70% ethanol); whole animal (70% ethanol); whole animal (70% ethanol); whole animal (cleared and stained)",2
"whole animal (70% ethanol); whole animal (95% ethanol) sample; whole animal (95% ethanol) sample",2
"whole animal (70% ethanol); whole animal (cleared and stained); whole animal (alcohol)",2
"whole animal (70% ethanol); whole animal (unknown)",2
"whole animal (alcohol); brain (70% ethanol); brain (70% ethanol)",2
"whole animal (alcohol); head (70% ethanol)",2
"whole animal (alcohol); otolith (dry); otolith (dry); otolith (dry); otolith (dry); otolith (dry); otolith (dry); otolith (dry); otolith (dry); otolith (dry); otolith (dry)",2
"whole animal (alcohol); otolith (dry); partial skeleton (dry)",2
"whole animal (alcohol); otolith (dry); whole animal (70% ethanol)",2
"whole animal (alcohol); partial animal (70% ethanol)",2
"whole animal (alcohol); skin sample (dry); teeth (dry)",2
"whole animal (alcohol); tissue (ethanol); skeleton (cleared and stained)",2
"whole animal (alcohol); tissue (ethanol); whole animal (alcohol)",2
"whole animal (alcohol); whole animal (70% ethanol); whole animal (alcohol); whole animal (cleared and stained)",2
"whole animal (alcohol); whole skeleton (dry); tissue (ethanol)",2
"whole animal (cleared and stained); whole animal (70% ethanol); whole animal (70% ethanol); whole animal (alcohol)",2
"whole animal (cleared and stained); whole animal (70% ethanol); whole animal (alcohol); whole animal (cleared and stained)",2
