"Family","Count"
"myctophidae",30505
"stomiidae",8296
"gonostomatidae",6419
"sternoptychidae",5895
"cyprinidae",4869
"",4387
"cichlidae",4236
"phosichthyidae",3917
"melamphaidae",2670
"paralepididae",2549
"serranidae",2348
"characidae",2283
"congridae",2240
"centrarchidae",1948
"labridae",1798
"carangidae",1728
"gobiidae",1604
"percidae",1573
"pomacentridae",1484
"rajidae",1427
"muraenidae",1289
"clupeidae",1196
"cottidae",1181
"ophichthidae",1124
"paralichthyidae",1084
"sciaenidae",1052
"bothidae",1047
"nemichthyidae",1044
"exocoetidae",1042
"gempylidae",1029
"tetraodontidae",997
"macrouridae",994
"scopelarchidae",903
"poeciliidae",880
"anguillidae",865
"acanthuridae",842
"serrivomeridae",824
"bathylagidae",821
"catostomidae",783
"syngnathidae",779
"bregmacerotidae",777
"monacanthidae",750
"salmonidae",738
"pleuronectidae",732
"ophidiidae",731
"fundulidae",730
"ictaluridae",702
"lutjanidae",654
"haemulidae",644
"scombridae",628
"loricariidae",618
"nomeidae",610
"chlopsidae",605
"scaridae",598
"evermannellidae",591
"derichthyidae",579
"notosudidae",574
"blenniidae",567
"chaetodontidae",555
"mugilidae",541
"balistidae",539
"esocidae",513
"pomacanthidae",504
"bramidae",501
"synodontidae",496
"embiotocidae",492
"howellidae",485
"scorpaenidae",477
"apogonidae",463
"holocentridae",463
"engraulidae",452
"gasterosteidae",442
"chlorophthalmidae",440
"chiasmodontidae",430
"ogcocephalidae",423
"sparidae",412
"gadidae",409
"zoarcidae",408
"moridae",407
"coryphaenidae",403
"anostomidae",401
"phycidae",394
"acropomatidae",390
"synaphobranchidae",390
"atherinopsidae",380
"curimatidae",378
"triglidae",364
"serrasalmidae",358
"sebastidae",351
"pimelodidae",348
"ceratiidae",346
"alepocephalidae",345
"antennariidae",342
"stromateidae",342
"hemiramphidae",332
"carcharhinidae",322
"nettastomatidae",317
"eleotridae",312
"carapidae",303
"oneirodidae",297
"pholidae",295
"scyliorhinidae",290
"gerreidae",289
"liparidae",288
"ariidae",284
"moringuidae",271
"belonidae",268
"etmopteridae",265
"ariommatidae",257
"trichiuridae",257
"peristediidae",256
"merlucciidae",247
"epigonidae",243
"mormyridae",243
"eurypharyngidae",240
"echeneidae",239
"diretmidae",238
"platytroctidae",238
"osmeridae",234
"cyprinodontidae",233
"lophiidae",233
"melanocetidae",230
"labrisomidae",229
"diodontidae",227
"stichaeidae",219
"lotidae",217
"batrachoididae",211
"mullidae",210
"heptapteridae",208
"lepisosteidae",208
"cynoglossidae",206
"priacanthidae",198
"acestrorhynchidae",197
"prochilodontidae",193
"dasyatidae",192
"opisthoproctidae",191
"erythrinidae",187
"petromyzontidae",187
"ostraciidae",184
"callionymidae",183
"caproidae",178
"cyclopteridae",178
"anoplogastridae",176
"lebiasinidae",172
"acipenseridae",170
"sphyraenidae",168
"dactylopteridae",165
"alepisauridae",163
"moronidae",163
"melanonidae",162
"mochokidae",162
"polymixiidae",161
"achiridae",158
"pleuronectiformes",157
"auchenipteridae",156
"squalidae",154
"triakidae",154
"agonidae",151
"callichthyidae",149
"scomberesocidae",148
"doradidae",146
"perciformes",142
"halosauridae",140
"clariidae",139
"percophidae",139
"gobiesocidae",137
"sternopygidae",135
"bythitidae",130
"neoscopelidae",129
"centropomidae",127
"bagridae",126
"alestidae",124
"bryconidae",123
"notacanthidae",123
"ammodytidae",120
"mastacembelidae",119
"omosudidae",118
"trachichthyidae",118
"symphysanodontidae",116
"argentinidae",115
"atherinidae",115
"linophrynidae",115
"trichomycteridae",114
"malacanthidae",112
"distichodontidae",111
"myliobatidae",110
"kyphosidae",107
"microstomatidae",107
"scophthalmidae",107
"centrolophidae",106
"cetomimidae",106
"chaunacidae",106
"narcinidae",105
"channidae",104
"myxinidae",103
"cirrhitidae",102
"galaxiidae",102
"sphyrnidae",101
"hexagrammidae",99
"cobitidae",98
"hemitripteridae",98
"rhinobatidae",98
"psychrolutidae",97
"giganturidae",96
"polynemidae",96
"soleidae",96
"apteronotidae",95
"scombrolabracidae",94
"fistulariidae",93
"ipnopidae",92
"gymnotidae",89
"trachipteridae",89
"ephippidae",88
"leiognathidae",86
"pomatomidae",86
"albulidae",85
"cyematidae",85
"odontaspididae",85
"centriscidae",83
"elopidae",83
"synbranchidae",83
"stylephoridae",82
"chimaeridae",80
"claroteidae",78
"gigantactinidae",78
"osphronemidae",77
"aulostomidae",75
"nemacheilidae",75
"cryptacanthodidae",74
"elassomatidae",73
"lethrinidae",73
"malacosteidae",73
"setarchidae",72
"ambassidae",71
"rondeletiidae",71
"platycephalidae",70
"terapontidae",69
"uranoscopidae",69
"crenuchidae",68
"molidae",68
"nemipteridae",68
"siluridae",68
"zenionidae",68
"himantolophidae",67
"torpedinidae",67
"gasteropelecidae",66
"nototheniidae",66
"hypopomidae",65
"iguanodectidae",65
"schilbeidae",65
"caristiidae",63
"muraenesocidae",63
"rivulidae",63
"anacanthobatidae",62
"lamnidae",61
"pristigasteridae",61
"siganidae",61
"caesionidae",59
"hemiodontidae",59
"rhinochimaeridae",58
"zeidae",58
"triacanthodidae",57
"amiidae",56
"umbridae",55
"tripterygiidae",54
"bathyclupeidae",53
"hiodontidae",52
"anabantidae",51
"pinguipedidae",51
"anarhichadidae",50
"cynodontidae",50
"percichthyidae",50
"anablepidae",49
"arhynchobatidae",49
"triportheidae",49
"heterodontidae",48
"potamotrygonidae",48
"polyodontidae",47
"gymnuridae",46
"squatinidae",46
"urolophidae",46
"pristidae",45
"dussumieriidae",43
"gadiformes",42
"osteoglossidae",42
"ctenoluciidae",41
"istiophoridae",41
"plotosidae",41
"aphredoderidae",40
"chaenopsidae",40
"cheilodactylidae",40
"clinidae",40
"polypteridae",40
"notopteridae",39
"aspredinidae",38
"tetragonuridae",38
"channichthyidae",37
"somniosidae",37
"amblyopsidae",35
"amphiliidae",35
"centrophoridae",35
"lobotidae",35
"dalatiidae",34
"kuhliidae",34
"latidae",33
"parazenidae",33
"trachinidae",33
"regalecidae",32
"sisoridae",32
"synanceiidae",32
"zenarchopteridae",32
"microdesmidae",31
"protopteridae",31
"sillaginidae",31
"balitoridae",30
"bathysauridae",30
"hemiscylliidae",30
"luvaridae",30
"ophidiiformes",30
"plesiopidae",30
"grammicolepididae",29
"zanclidae",28
"astroblepidae",27
"berycidae",27
"megalopidae",27
"urotrygonidae",27
"xiphiidae",27
"draconettidae",26
"pseudochromidae",26
"pseudopimelodidae",26
"scatophagidae",26
"alopiidae",25
"nothobranchiidae",25
"centracanthidae",24
"heterenchelyidae",24
"saccopharyngidae",24
"champsodontidae",23
"hexanchidae",23
"pempheridae",23
"phallostethidae",23
"rachycentridae",23
"tellinidae",23
"callorhinchidae",22
"melanostomiidae",22
"proscylliidae",22
"branchiostomatidae",21
"cetopsidae",21
"ginglymostomatidae",21
"lycaenidae",21
"malapteruridae",21
"arapaimidae",20
"grammistidae",20
"opistognathidae",20
"stephanoberycidae",20
"cepolidae",19
"melanotaeniidae",19
