"Continent","Count"
NA,84312
"DZA",8
"ASM",21
NA,2
"AGO",216
"AIA",67
"ATA",250
"ARG",109
"ARM",1
"AUS",1623
"AUT",77
"BHS",2907
"BGD",2
"BRB",241
"BEL",7
"BLZ",61
"BMU",226
"BOL",14
NA,52
"BWA",12
"BRA",9510
"IOT",57
"VGB",51
"BRN",18
"BRN",1
"BDI",145
"CPV",1020
"KHM",85
"CMR",349
"CAN",865
"CYM",76
"CAF",285
"CHL",724
"CHN",565
"COL",1176
"COM",1
"COG",1
"COD",658
"CRI",29
"HRV",10
"CUB",2959
"CUW",4
"CZE",1
"DNK",13
"DOM",195
"ECU",555
"EGY",4
"SLV",1
"ERI",1
"FLK",3
"FSM",129
"FJI",63
"FIN",2
"FRA",191
"GUF",32
"PYF",652
"GAB",248
NA,41
"GMB",47
"DEU",26
"GHA",129
"GRC",66
"GRL",16
"GRD",9
"GLP",20
"GUM",1
"GTM",22
NA,1
"GIN",1
"GNB",7
"GUY",893
"HTI",201
NA,1926
"HND",65
"HUN",2
"ISL",11
"IND",762
"IDN",584
"IRN",25
"IRL",4
"ISR",21
"ITA",324
"CIV",1
"JAM",373
"JPN",510
NA,1
"KEN",467
"KIR",948
"KWT",74
"LBN",51
"LBR",23
"LBY",41
"MKD",1
"MDG",20
"MWI",234
"MYS",372
"MDV",7
"MHL",189
"MTQ",8
"MRT",217
"MUS",650
NA,85
"MEX",853
"MNG",1
"MSR",3
"MAR",16
"MOZ",32
"MMR",52
"NAM",1
"NPL",5
"NCL",12
"NZL",58
"NIC",61
"NGA",23
NA,6
"PRK",76
"PRK",3
NA,73
NA,5
"NOR",48
"OMN",989
"PAK",41
"PLW",12
"PAN",3592
"PNG",1656
"PRY",17
"PER",377
"PHL",185
"PCN",2
"POL",1
"PRT",738
"REU",2
"ROU",75
"RUS",392
"BLM",2
"KNA",10
"LCA",9
"VCT",21
"BLM",1
"WSM",110
"STP",37
"SAU",8
NA,1
"SEN",118
"SYC",5
"SLE",31
"SGP",133
"SLB",6
"SOM",931
"ZAF",434
"SGS",2
"KOR",2
"RUS",25
"ESP",257
NA,2
"LKA",111
"SDN",7
"SUR",221
"SWE",36
"CHE",67
"SYR",63
"TZA",623
"THA",489
"TON",25
"TTO",292
NA,27
"TUN",8
"TUR",4
"TCA",22
"TUV",13
"UGA",998
"UKR",39
"ARE",7
"GBR",173
"USA",30725
"URY",112
"RUS",7
"VUT",12
"VEN",506
"VNM",15
"VIR",374
"ESH",146
"YEM",172
NA,1
"ZMB",29
"ZWE",4
