"Family","Count"
"cyprinidae",56286
"catostomidae",17055
"poeciliidae",6113
"ictaluridae",6069
"centrarchidae",3694
"fundulidae",3101
"salmonidae",3016
"percidae",808
"cyprinodontidae",750
"clupeidae",662
"atherinopsidae",327
"moronidae",289
"characidae",241
"cottidae",199
"",146
"gasterosteidae",60
"lepisosteidae",43
"sciaenidae",28
"cichlidae",21
"esocidae",16
"prochilodontidae",14
"petromyzontidae",11
"hiodontidae",10
"anguillidae",9
"acipenseridae",8
"aphredoderidae",6
"achiridae",5
"carangidae",5
"lotidae",5
"umbridae",5
"paralichthyidae",4
"percopsidae",4
"tetraodontidae",4
"ephippidae",3
"ogcocephalidae",3
"osmeridae",3
"serrasalmidae",3
"triglidae",3
"balistidae",2
"diodontidae",2
"engraulidae",2
"gadidae",2
"ostraciidae",2
"pleuronectidae",2
"polyodontidae",2
"scorpaenidae",2
"trichiuridae",2
"amblyopsidae",1
"ammodytidae",1
"antennariidae",1
"ariidae",1
"batrachoididae",1
"carcharhinidae",1
"centropomidae",1
"doradidae",1
"echeneidae",1
"elassomatidae",1
"fistulariidae",1
"gobiesocidae",1
"gymnotidae",1
"lamnidae",1
"microdesmidae",1
"muraenidae",1
"ophidiidae",1
"pholidae",1
"scombridae",1
"scophthalmidae",1
"sparidae",1
"squatinidae",1
"stromateidae",1
