"dwc.scientificName","freq"
"Cyprinella lutrensis",14264
"Pimephales promelas",10627
"Rhinichthys osculus",8163
"Catostomus latipinnis",5863
"Gambusia affinis",5818
"Catostomus (Pantosteus) discobolus",4648
"Ictalurus punctatus",4641
"Fundulus zebrinus",2482
"Cyprinus carpio",2413
"Catostomus commersonii",2091
"Notropis simus",1879
"Carpiodes carpio",1850
"Notropis jemezanus",1845
"Macrhybopsis aestivalis",1816
"Rhinichthys cataractae",1815
"Hybognathus placitus",1761
"Notropis stramineus",1502
"Notropis girardi",1464
"Platygobio gracilis",1362
"Cyprinidae",1192
"Hybognathus amarus",1170
"Lepomis cyanellus",1144
"Oncorhynchus clarki",1054
"Micropterus salmoides",894
"Xyrauchen texanus",666
"Ameiurus melas",639
"Gila pandora",618
"Dorosoma cepedianum",612
"Semotilus atromaculatus",493
"Agosia chrysogaster",478
"Cyprinodon pecosensis",474
"Salmo trutta",467
"Campostoma anomalum",441
"Lepomis macrochirus",428
"Lucania parva",415
"Pantosteus clarkii",411
"Catostomus insignis",393
"Pantosteus plebeius",390
"Pomoxis annularis",386
"Oncorhynchus clarkii",381
"Ameiurus natalis",354
"Gila robusta",347
"Oncorhynchus mykiss",334
"Menidia beryllina",305
"Ptychocheilus lucius",302
"Morone chrysops",283
"Micropterus punctulatus",259
"Astyanax mexicanus",241
"Gambusia nobilis",238
"Cyprinodon tularosa",222
"Gila",201
"Perca flavescens",193
"Pylodictis olivaris",193
"Catostomus catostomus",192
"Rhinichthys cobitis",179
"Cottus bairdii",171
"Dionda episcopa",167
"Lepomis megalotis",156
"Meda fulgida",154
"Pimephales vigilax",151
"Salmo gilae",151
"Notropis dorsalis",138
"Micropterus dolomieu",137
"unidentifiable",135
"Phenacobius mirabilis",121
"Hybognathus hankinsoni",120
"Richardsonius balteatus",119
"Percina macrolepida",112
"Pantosteus platyrhynchus",106
"Etheostoma nigrum",97
"Fundulus grandis",92
"Cycleptus elongatus",82
"Oncorhynchus sp.",81
"Noturus flavus",79
"Oncorhynchus gilae",79
"Hybognathus nuchalis",77
"Salmo clarki",77
"Salmo gardneri",75
"Fundulus sciadicus",73
"Cyprinella venusta",71
"Pomoxis nigromaculatus",71
"Luxilus cornutus",61
"Moxostoma macrolepidotum",60
"Etheostoma exile",57
"Stizostedion vitreum",57
"Etheostoma radiosum",56
"Salvelinus fontinalis",54
"Culaea inconstans",53
"Ictalurus lupus",51
"Gila cypha",50
"Moxostoma congestum",50
"Notemigonus crysoleucas",43
"Ictalurus furcatus",42
"Lepomis gulosus",38
"Ambloplites rupestris",37
"Dorosoma petenense",37
"Lepisosteus osseus",37
"Notropis braytoni",37
"Prosopium williamsoni",37
"Couesius plumbeus",36
"Etheostoma lepidum",35
"Phoxinus erythrogaster",34
"Salmo",33
"Catostomus",32
"Salmo apache",31
"Pantosteus delphinus",28
"Cyprinodon variegatus",27
"Etheostoma",27
"Etheostoma spectabile",27
"Hybopsis aestivalis",27
"Ictiobus bubalus",27
"Notropis atherinoides",27
"Notropis boops",27
"Pimephales notatus",26
"Aplodinotus grunniens",25
"Notropis chihuahua",25
"Gila atraria",24
"Lepomis humilis",24
"Notropis amabilis",24
"Lepomis",23
"Campostoma ornatum",20
"Catostomus latipinnis x Xyrauchen texanus",20
"Lepomis auritus",20
"Oncorhynchus clarkii virginalis",20
"Oncorhynchus clarkii x Oncorhynchus mykiss",20
"Salmo clarki virginialis",20
"Gila pandora x Rhinichthys cataractae",19
"Notropis hudsonius",19
"Labidesthes sicculus",18
"Ictalurus",17
"Hybognathus argyritis",16
"Lepomis microlophus",16
"Percina caprodes",16
"Catostomidae",15
"Percina sciera",15
"Pomoxis",15
"Cichlasoma cyanoguttatum",14
"Cyprinella whipplei",14
"Cyprinodon",14
"Fundulus notatus",13
"Lepomis gibbosus",13
"Poecilia latipinna",13
"Etheostoma flabellare",11
"Ictiobus",11
"Notropis",11
"Percina nasuta",11
"Carassius auratus",10
"Dionda argentosa",10
"Esox lucius",10
"Hiodon alosoides",10
"Moxostoma erythrurum",10
"Oncorhynchus aguabonita",10
"Poeciliopsis occidentalis",10
"Salmo gairdneri",10
"Anguilla rostrata",9
"Catostomus latipinnis x Catostomus discobolus",9
"Ictalurus chihuahua",9
"Ictalurus melas",9
"Luxilus chrysocephalus",9
"Margariscus margarita",9
"Noturus nocturnus",9
"Oncorhynchus",9
"Carpiodes cyprinus",8
"Chrosomus erythrogaster",8
"Cottus cognatus",8
"Fundulus olivaceus",8
"Gila nigrescens",8
"Ictiobus niger",8
"Macrhybopsis gelida",8
"Moxostoma austrinum",8
"Nocomis biguttatus",8
"Noturus insignis",8
"Oncorhynchus clarki virginalis",8
"Oncorhynchus nerka",8
"Cyprinella proserpina",7
"Etheostoma grahami",7
"Nocomis leptocephalus",7
"Percina roanoka",7
"Poecilia reticulata",7
"Aphredoderus sayanus",6
"Cottus beldingii",6
"Cycleptus",6
"Gambusia nobilis x Gambusia affinis",6
"Gila copei",6
"Gila intermedia",6
"Hybognathus regius",6
"Macrhybopsis storeriana",6
"Notropis volucellus",6
"Noturus gyrinus",6
"Prochilodus mariae",6
"Rhinichthys atratulus",6
"Rhinichthys cataractae x Gila pandora",6
"Salmo clarki pleuriticus",6
"Sander vitreus",6
"Acipenser fulvescens",5
"Catostomus ardens",5
"Catostomus commersonii x Pantosteus plebeius",5
"Clinostomus elongatus",5
"Dorosoma",5
"Hypentelium nigricans",5
"Lota lota",5
"Lythrurus ardens",5
"Moxostoma duquesnei",5
"Notropis procne",5
"Notropis rubellus",5
"Notropis suttkusi",5
"Oreochromis aurea",5
"Percina copelandi",5
"Percina peltata",5
"Semaprochilodus kneri",5
"Thymallus arcticus",5
"Coregonus pusillus",4
"Cottus",4
"Cyprinella formosa",4
"Cyprinodon rubrofluviatilis",4
"Erimyzon oblongus",4
"Fundulus kansae",4
"Gambusia",4
