"Family","Count"
"cyprinidae",29520
"centrarchidae",11625
"percidae",10711
"catostomidae",7061
"ictaluridae",4746
"clupeidae",1863
"poeciliidae",1760
"esocidae",1747
"aphredoderidae",1616
"fundulidae",1475
"myctophidae",1219
"anguillidae",1202
"carangidae",1167
"sciaenidae",1019
"cottidae",767
"atherinopsidae",714
"engraulidae",709
"gonostomatidae",636
"umbridae",625
"congridae",578
"paralichthyidae",566
"elassomatidae",521
"ophichthidae",521
"monacanthidae",508
"sternoptychidae",508
"petromyzontidae",478
"salmonidae",438
"gobiidae",414
"serranidae",391
"carcharhinidae",388
"sparidae",383
"exocoetidae",339
"mugilidae",284
"amblyopsidae",264
"moronidae",252
"scombridae",245
"muraenidae",231
"batrachoididae",230
"phycidae",230
"triglidae",227
"syngnathidae",219
"lepisosteidae",214
"balistidae",205
"bothidae",202
"phosichthyidae",201
"belonidae",196
"lutjanidae",196
"ophidiidae",191
"gerreidae",188
"achiridae",187
"haemulidae",185
"tetraodontidae",181
"synodontidae",168
"scorpaenidae",164
"priacanthidae",163
"hemiramphidae",160
"labridae",158
"macrouridae",155
"blenniidae",149
"gobiesocidae",149
"cynoglossidae",145
"amiidae",136
"stomiidae",135
"stromateidae",135
"pomacentridae",130
"acipenseridae",128
"rajidae",127
"nettastomatidae",122
"cyprinodontidae",114
"ogcocephalidae",106
"acropomatidae",102
"holocentridae",102
"pomacanthidae",93
"chaetodontidae",90
"moridae",90
"sebastidae",89
"chlorophthalmidae",87
"pleuronectidae",87
"cichlidae",86
"sphyrnidae",86
"malacanthidae",85
"diodontidae",83
"coryphaenidae",80
"gasterosteidae",76
"paralepididae",75
"dasyatidae",70
"bregmacerotidae",69
"apogonidae",67
"pomatomidae",67
"sphyraenidae",67
"ariidae",64
"myliobatidae",63
"eleotridae",62
"melamphaidae",60
"elopidae",58
"echeneidae",54
"mullidae",54
"ephippidae",51
"trichiuridae",51
"uranoscopidae",50
"ostraciidae",48
"acanthuridae",47
"kyphosidae",45
"synaphobranchidae",45
"dactylopteridae",43
"gempylidae",42
"merlucciidae",42
"scophthalmidae",42
"scyliorhinidae",42
"trachichthyidae",42
"antennariidae",41
"peristediidae",41
"myxinidae",37
"scaridae",37
"nemichthyidae",36
"triakidae",34
"lobotidae",33
"narcinidae",33
"lophiidae",31
"rachycentridae",30
"fistulariidae",28
"squatinidae",28
"zoarcidae",28
"bythitidae",27
"callionymidae",27
"chaunacidae",27
"embiotocidae",27
"labrisomidae",27
"nomeidae",27
"moringuidae",26
"atherinidae",25
"carapidae",25
"istiophoridae",25
"setarchidae",24
"zeidae",24
"etmopteridae",23
"gymnuridae",23
"scopelarchidae",23
"squalidae",23
"megalopidae",22
"caproidae",21
"epigonidae",21
"howellidae",21
"rhinobatidae",21
"centropomidae",20
"gadidae",19
"agonidae",18
"ariommatidae",18
"bathylagidae",17
"chlopsidae",17
"microdesmidae",16
"molidae",16
"centriscidae",15
"pholidae",15
"bramidae",14
"channidae",14
"characidae",14
"galaxiidae",14
"hiodontidae",14
"loricariidae",14
"lotidae",14
"odontaspididae",14
"polynemidae",13
"pristidae",13
"hexagrammidae",12
"serrasalmidae",12
"synbranchidae",12
"derichthyidae",11
"evermannellidae",11
"lamnidae",11
"percophidae",11
"albulidae",10
"serrivomeridae",10
"clariidae",9
"curculionidae",9
"eucnemidae",9
"halosauridae",9
"notacanthidae",9
"polymixiidae",9
"torpedinidae",9
"centrolophidae",8
"ceratiidae",8
"cetorhinidae",8
"dussumieriidae",8
"grammicolepididae",8
"liparidae",8
"percopsidae",8
"alepisauridae",7
"alepocephalidae",7
"argentinidae",7
"ateleopodidae",7
"aulostomidae",7
"cirrhitidae",7
"ginglymostomatidae",7
"osmeridae",7
"chiasmodontidae",6
"draconettidae",6
"hemitripteridae",6
"",5
"alopiidae",5
"ammodytidae",5
"cobitidae",5
"polyodontidae",5
"polyprionidae",5
"stichaeidae",5
"xiphiidae",5
"dactyloscopidae",4
"drepaneidae",4
"kuhliidae",4
"lethrinidae",4
"omosudidae",4
"pinguipedidae",4
"platycephalidae",4
"platytroctidae",4
"siluridae",4
"ambassidae",3
"branchiostomatidae",3
"cryptacanthodidae",3
"cyclopteridae",3
"giganturidae",3
"ipnopidae",3
"leiognathidae",3
"mastacembelidae",3
"melanonidae",3
"nemipteridae",3
"notopteridae",3
"osphronemidae",3
"pempheridae",3
"terapontidae",3
"tripterygiidae",3
"urotrygonidae",3
"zanclidae",3
"zenarchopteridae",3
"zenionidae",3
"aphyonidae",2
"bagridae",2
"clinidae",2
"eurypharyngidae",2
"goodeidae",2
"hemiscylliidae",2
"hexanchidae",2
"mormyridae",2
"neoscopelidae",2
"opistognathidae",2
"parazenidae",2
"pleuronectiformes",2
"pristigasteridae",2
"protopteridae",2
"psychrolutidae",2
"siganidae",2
"sillaginidae",2
"soleidae",2
"symphysanodontidae",2
"synanceiidae",2
"triacanthodidae",2
"urolophidae",2
"adrianichthyidae",1
"alestidae",1
"amphiliidae",1
"anarhichadidae",1
"aulorhynchidae",1
"badidae",1
"balitoridae",1
"bathyclupeidae",1
"bathysauridae",1
"berycidae",1
"bovichtidae",1
"bryconidae",1
"caristiidae",1
"centracanthidae",1
"chaenopsidae",1
"chanidae",1
"cheilodactylidae",1
"cheimarrichthyidae",1
"chimaeridae",1
