"dwc.scientificName","freq"
"Nocomis leptocephalus",2245
"Lepomis auritus",1729
"Lepomis macrochirus",1727
"Aphredoderus sayanus",1616
"Gambusia holbrooki",1457
"Semotilus atromaculatus",1371
"Etheostoma sp. (cf. olmstedi",1320
"Clinostomus funduloides",1317
"Campostoma anomalum",1259
"Noturus insignis",1237
"Notemigonus crysoleucas",1209
"Anguilla rostrata",1201
"Hypentelium nigricans",1131
"Enneacanthus gloriosus",1127
"Micropterus salmoides",1111
"Erimyzon oblongus",1083
"Cyprinella analostana",1077
"Etheostoma sp. (cf. nigrum/olmstedi",1013
"Esox americanus",987
"Lepomis gulosus",936
"Lepomis gibbosus",885
"Notropis procne",876
"Luxilus albeolus",870
"Notropis altipinnis",837
"Catostomus commersonii",810
"Notropis hudsonius",799
"Notropis chiliticus",760
"Luxilus coccogenis",754
"Esox niger",750
"Ameiurus natalis",713
"Notropis cummingsae",711
"Rhinichthys obtusus",665
"Moxostoma collapsum",648
"Notropis scepticus",647
"Nocomis micropogon",620
"Umbra pygmaea",614
"Cyprinella galactura",596
"Ameiurus platycephalus",572
"Lepomis cyanellus",568
"Etheostoma serrifer",567
"Noturus gyrinus",562
"Notropis leuciodus",549
"Etheostoma fusiforme",545
"Percina crassa",538
"Hybopsis hypsinotus",533
"Centrarchus macropterus",522
"Anchoa mitchilli",470
"Notropis petersoni",465
"Hybognathus regius",447
"Moxostoma rupiscartes",445
"Percina roanoka",435
"Etheostoma brevispinum",422
"Notropis amoenus",420
"Rhinichthys cataractae",413
"Cyprinella pyrrhomelas",405
"Notropis spectrunculus",400
"Acantharchus pomotis",394
"Moxostoma sp. Brassy Jumprock",392
"Notropis rubricroceus",377
"Lepomis marginatus",375
"Brevoortia tyrannus",372
"Alosa aestivalis",370
"Etheostoma sp. (cf. flabellare--Roa'k.-Susq.",365
"Luxilus cerasinus",363
"Notropis alborus",356
"Notropis chalybaeus",343
"Chrosomus oreas",341
"Elassoma zonatum",339
"Cyprinella nivea",329
"Etheostoma blennioides",325
"Micropterus dolomieu",322
"Moxostoma duquesnei",317
"Ameiurus brunneus",314
"Moxostoma pappillosum",313
"Erimyzon sucetta",311
"Etheostoma olmstedi",308
"Lythrurus ardens",304
"Ameiurus nebulosus",300
"Cottus sp. (bairdii complex",293
"Pomoxis nigromaculatus",287
"Fundulus rathbuni",284
"Fundulus lineolatus",282
"Notropis chlorocephalus",278
"Lythrurus matutinus",276
"Perca flavescens",275
"Notropis sp. (cf. lutipinnis--Congaree Basin",272
"Ameiurus catus",269
"Alosa sapidissima",268
"Percina nevisense",266
"Ambloplites rupestris",262
"Hybopsis amblops",262
"Minytrema melanops",261
"Chologaster cornuta",258
"Lepomis microlophus",256
"Cyprinella chloristia",249
"Dorosoma cepedianum",249
"Notropis telescopus",248
"Enneacanthus obesus",227
"Etheostoma vitreum",223
"Leiostomus xanthurus",219
"Alosa pseudoharengus",218
"Percina evides",216
"Moxostoma erythrurum",215
"Stephanolepis hispidus",213
"Fundulus heteroclitus",212
"Nocomis raneyi",209
"Cyprinella spiloptera",208
"Pimephales notatus",208
"Luxilus chrysocephalus",205
"Etheostoma sp. (cf. flabellare--Pee Dee-Tar",204
"Etheostoma zonale",203
"Caranx crysos",202
"Hypentelium roanokense",195
"Etheostoma swannanoa",192
"Notropis photogenis",192
"Micropogonias undulatus",191
"Etheostoma thalassinum",189
"Ichthyomyzon greeleyi",189
"Enneacanthus chaetodon",188
"Etheostoma rufilineatum",188
"Etheostoma chlorobranchium",187
"Cottus bairdii",182
"Ictalurus punctatus",182
"Lepisosteus osseus",179
"Oncorhynchus mykiss",179
"Moxostoma macrolepidotum",175
"Etheostoma sp. (cf. flabellare--Upper Kanawha",170
"Notropis lutipinnis",169
"Lagodon rhomboides",165
"Menidia beryllina",165
"Notropis volucellus",163
"Moxostoma cervinum",161
"Etheostoma flabellare",156
"Etheostoma collis lepidinion",155
"Anchoa hepsetus",151
"Lepomis punctatus",148
"Ariosoma balearicum",147
"Etheostoma caeruleum",144
"Trinectes maculatus",144
"Gobiesox strumosus",143
"Morone americana",141
"Menidia menidia",140
"Mugil cephalus",139
"Cyprinella labrosa",138
"Labidesthes vanhyningi",137
"Amia calva",136
"Fundulus diaphanus",135
"Opsanus tau",135
"Balistes capriscus",133
"Percina nigrofasciata",132
"Paraconger caudilimbatus",131
"Etheostoma nigrum",130
"Urophycis regia",130
"Bairdiella chrysoura",129
"Cyclothone sp.",129
"Salmo trutta",129
"Lepomis megalotis",120
"Membras martinica",118
"Cyprinella zanema",116
"Fundulus majalis",116
"Etheostoma sp. (cf. flabellare--upper TN",114
"Etheostoma kanawhae",113
"Percina caprodes",113
"Bothus sp.",111
"Luxilus cornutus",110
"Notropis sp. (cf. rubellus--Upper Kanawha",110
"Phenacobius crassilabrum",110
"Dorosoma petenense",108
"Rhinichthys atratulus",106
"Heterandria formosa",105
"Mugil curema",105
"Synodus foetens",105
"Paralichthys lethostigma",104
"Pteronotropis stonei",104
"Noturus furiosus",103
"Cottus carolinae",102
"Etheostoma mariae",102
"Micropterus punctulatus",102
"Semotilus lumbee",102
"Nocomis platyrhynchus",101
"Notolychnus valdiviae",101
"Acipenser oxyrinchus",100
"Cyprinella lutrensis",97
"Elassoma evergladei",97
"Notropis maculatus",96
"Ophichthus gomesii",96
"Valenciennellus tripunculatus",95
"Notropis stramineus",94
"Parexocoetus brachypterus",94
"Cyprinodon variegatus",92
"Gambusia affinis",92
"Notropis rubellus",91
"Pylodictis olivaris",91
"Alosa mediocris",90
"Cyclothone alba",88
"Campostoma oligolepis",87
"Fundulus chrysotus",87
"Notropis micropteryx",87
"Rhizoprionodon terraenovae",87
"Caranx sp.",86
"Cynoscion regalis",86
"Myctophidae",86
"Orthopristis chrysoptera",86
"Petromyzon marinus",86
"Exoglossum maxillingua",85
"Lythrurus umbratilis",84
"Diaphus dumerilii",82
"Notropis scabriceps",82
"Chlorophthalmus agassizi",80
"Gymnothorax ocellatus",80
"Labidesthes sicculus",80
"Selene setapinnis",80
"Semotilus corporalis",80
"Lucania parva",79
"Moxostoma robustum",79
"Ophichthidae",79
"Rhynchoconger flavus",79
"Strongylura marina",79
"Cyclothone pseudopallida",78
"Etheostoma podostemone",78
"Lampetra aepyptera",78
"Ericymba buccata",77
"Phenacobius teretulus",77
"Symphurus plagiusa",77
"Cyprinus carpio",76
"Myctophum affine",76
"Cyclothone pallida",75
"Percina gymnocephala",75
"Cyclothone braueri",74
"Etheostoma gutselli",74
"Aluterus schoepfii",72
"Ophidion josephi",72
"Moxostoma sp. Carolina Redhorse",71
"Myrophis punctatus",69
"Polyipnus clarus",69
"Erimystax insignis",68
"Lethenteron appendix",68
"Notropis mekistocholas",67
"Pomatomus saltatrix",67
"Cheilopogon melanurus",65
"Coryphaena hippurus",65
"Lepidophanes guentheri",65
"Opisthonema oglinum",65
"Peprilus triacanthus",65
"Vinciguerria poweriae",65
"Clinostomus sp. Smoky Dace",64
"Helicolenus dactylopterus",64
"Caranx hippos",63
"Noturus leptacanthus",63
"Benthosema suborbitale",62
"Carcharhinus acronotus",62
"Pimephales promelas",62
"Pristigenys alta",62
"Ambloplites cavifrons",60
"Sphyrna lewini",60
"Synagrops bellus",60
"Exoglossum laurae",59
"Hybopsis rubrifrons",59
"Poecilia latipinna",59
"Selene vomer",59
"Opsanus sp.",58
"Aluterus heudelotii",57
"Elops saurus",57
"Gobiosoma bosc",57
"Morone saxatilis",57
"Argyropelecus aculeatus",56
"Etropus crossotus",56
"Menticirrhus americanus",56
"Stenotomus chrysops",56
"Chloroscombrus chrysurus",55
"Elassoma boehlkei",54
"Fundulus olivaceus",54
"Hygophum benoiti",54
"Cyprinella sp. Thinlip Chub",53
"Hygophum taaningi",52
"Paralichthys dentatus",52
"Prionotus carolinus",52
"Benthosema glaciale",51
"Sternoptyx sp.",51
"Chaetodipterus faber",50
"Gonostoma elongatum",50
"Hippocampus erectus",50
"Hoplunnis macrura",50
"Pomoxis annularis",50
"Cyprinella venusta",49
"Diaphus sp.",49
"Etheostoma simoterum",49
"Laemonema barbatulum",49
"Notropis boops",49
"Cynoscion nebulosus",48
"Diogenichthys atlanticus",48
"Hypleurochilus geminatus",48
"Menidia extensa",48
"Salvelinus fontinalis",48
"Sphoeroides sp.",48
"Trachinotus falcatus",48
"Notropis atherinoides",47
"Trichiurus lepturus",47
"Centropristis striata",46
"Prognichthys occidentalis",46
"Seriola sp.",46
"Caranx ruber",45
"Dibranchus atlanticus",45
"Fundulus catenatus",45
"Chauliodus sloani",44
"Hemiramphus brasiliensis",44
"Sternoptyx diaphana",44
"Syngnathus fuscus",44
"Abudefduf saxatilis",43
"Cottus caeruleomentum",43
"Percina aurantiaca",43
"Seriola rivoliana",43
"Syacium sp.",43
"Auxis sp.",42
"Chrosomus erythrogaster",42
"Dactylopterus volitans",42
"Eucinostomus harengulus",42
"Scophthalmus aquosus",42
"Trachinotus carolinus",42
"Chilomycterus schoepfii",41
"Euthynnus alletteratus",41
"Ophichthus puncticeps",41
"Seriola zonata",41
"Sphoeroides maculatus",41
"Tylosurus acus",41
"Etheostoma spectabile",40
"Eucinostomus gula",40
"Larimus fasciatus",40
"Monacanthus ciliatus",40
"Noturus sp. Broadtail Madtom",40
"Syngnathus louisianae",40
"Argyropelecus sp.",39
"Campostoma pullum",39
"Cyclothone acclinidens",39
"Cyclothone microdon",39
