"Continent","Count"
NA,365
"AGO",1
"AUS",1
"BHS",67
"BLZ",1
"BRA",1
"CAN",94
NA,4
"CYM",2
"CHL",17
"COL",3
"CRI",41
"CIV",2
"CUB",3
"DMA",1
"DOM",10
"ECU",5
"FJI",1
"GAB",2
"GHA",2
"GIN",3
"GNB",1
"GUY",2
"HTI",1
"HND",4
"HUN",7
"IND",4
"IDN",3
"ISR",1
"JAM",3
"JPN",73
"LAO",2
"MHL",8
"MRT",4
"MEX",55
NA,1
"MOZ",14
"MMR",10
"NLD",206
"NCL",1
"NZL",9
"NIC",7
"NGA",1
"PAK",4
"PAN",7
"PER",4
"PHL",1
"RUS",1
"WSM",3
"SEN",8
"ZAF",7
"ESP",18
"LKA",18
"TZA",2
"THA",165
"TTO",86
"USA",96157
"URY",1
"VEN",2
"VNM",3
