"Family","Count"
"cyprinidae",21703
"centrarchidae",14413
"percidae",4940
"ictaluridae",2999
"poeciliidae",2836
"catostomidae",2349
"fundulidae",2308
"atherinopsidae",1695
"clupeidae",1263
"moronidae",431
"lepisosteidae",357
"sciaenidae",330
"cottidae",318
"cyprinodontidae",289
"esocidae",282
"aphredoderidae",120
"elassomatidae",70
"petromyzontidae",50
"characidae",47
"hiodontidae",34
"cichlidae",29
"",17
"salmonidae",17
"anguillidae",16
"amiidae",10
"polyodontidae",8
"umbridae",8
"gasterosteidae",7
"acipenseridae",5
"amblyopsidae",4
"lotidae",3
"percopsidae",3
"sparidae",3
"syngnathidae",2
"ammodytidae",1
"clariidae",1
"cynoglossidae",1
"diodontidae",1
"elopidae",1
"gerreidae",1
"haemulidae",1
"osmeridae",1
"polynemidae",1
