"dwc.preparations","freq"
"70% ethanol within jar",55682
"vial",19876
"ethanol within vial",13667
"",4378
"jar",4139
"70% ethanol within vial",1416
"70% ethanol within container",927
"skeleton within container",547
"-80°F freezer",333
"skeleton within unspecified",265
"tank",139
"70% ethanol within tank",100
"box",84
"churn",76
"ethanol within tank",60
"70% ethanol within jar; cleared and stained within box",53
"DNA of whole animal (vacuum packed) within unspecified",48
"70% ethanol within jar; skeleton within unspecified",35
"70% ethanol within jar; DNA of whole animal (vacuum packed) within unspecified",32
"ethanol within unspecified",27
"70% ethanol within unspecified",24
"2-jar",18
"dry within box",14
"glycerin within unspecified",12
"skeleton within box",11
"cleared and stained within box",9
"2-70% ethanol within jar",5
"70% ethanol within jar; DNA of whole animal (vacuum packed) within unspecified; cleared and stained within box",4
"DNA of fin clip (vial) within unspecified",4
"ethanol within churn",3
"ethanol within jar",3
"70% ethanol within jar; DNA of fin clip (vial) within unspecified",2
"dry within unspecified",2
"fluid within unspecified; box",2
"jar; churn",2
"13-70% ethanol within jar",1
"2-skeleton within jar",1
"2-skeleton within photograph",1
"2-vial",1
"2-vial; churn",1
"20-70% ethanol within jar",1
"3-jar",1
"5-70% ethanol within jar",1
"5-jar",1
"5-jar; churn",1
"70% ethanol within churn",1
"70% ethanol within jar; DNA of fin clip (vial) within unspecified; DNA of muscle plug (vial) within unspecified",1
"70% ethanol within jar; DNA of muscle plug (vial) within unspecified",1
"70% ethanol within jar; skeleton within unspecified; cleared and stained within box",1
"70% ethanol within jar; skeleton within unspecified; DNA of whole animal (vacuum packed) within unspecified",1
"95% ethanol within vial",1
"DNA of whole animal (vacuum packed) within unspecified; cleared and stained within box",1
"dry within jar",1
"glycerin within jar",1
"gonad within jar; skeleton within box",1
"jar; box",1
"jar; skeleton within box",1
"jar; tank",1
"jar; vial",1
"photograph",1
