"Family","Count"
"cyprinidae",42681
"percidae",19627
"centrarchidae",14085
"catostomidae",8845
"ictaluridae",4107
"fundulidae",1676
"clupeidae",1475
"cottidae",1249
"petromyzontidae",1183
"atherinopsidae",927
"esocidae",796
"moronidae",754
"salmonidae",569
"sciaenidae",550
"percopsidae",417
"poeciliidae",412
"gasterosteidae",315
"umbridae",275
"lepisosteidae",235
"hiodontidae",183
"acipenseridae",111
"lotidae",111
"aphredoderidae",106
"anguillidae",99
"gobiidae",96
"pleuronectidae",93
"osmeridae",92
"amiidae",86
"stromateidae",65
"triglidae",59
"scophthalmidae",58
"pomatomidae",56
"mugilidae",42
"paralichthyidae",42
"achiridae",40
"cichlidae",35
"goodeidae",31
"elassomatidae",30
"sparidae",29
"labridae",26
"gadidae",24
"carangidae",22
"syngnathidae",19
"polyodontidae",17
"phycidae",14
"",13
"characidae",13
"cyprinodontidae",13
"scombridae",11
"pholidae",10
"engraulidae",9
"amblyopsidae",7
"batrachoididae",7
"bryconidae",7
"belonidae",6
"pristidae",6
"serranidae",6
"ammodytidae",5
"carcharhinidae",5
"embiotocidae",5
"gerreidae",5
"lutjanidae",5
"ariidae",4
"blenniidae",4
"clariidae",4
"monodactylidae",4
"pimelodidae",4
"serrasalmidae",4
"stichaeidae",4
"tetraodontidae",4
"zoarcidae",4
"atherinidae",3
"eleotridae",3
"haemulidae",3
"heptapteridae",3
"liparidae",3
"mastacembelidae",3
"sebastidae",3
"sphyraenidae",3
"toxotidae",3
"triakidae",3
"acanthuridae",2
"arapaimidae",2
"chaetodontidae",2
"channidae",2
"diodontidae",2
"lophiidae",2
"ophichthidae",2
"osphronemidae",2
"osteoglossidae",2
"polypteridae",2
"rachycentridae",2
"rajidae",2
"synodontidae",2
"anabantidae",1
"anablepidae",1
"aulorhynchidae",1
"balistidae",1
"centropomidae",1
"chimaeridae",1
"cobitidae",1
"dactylopteridae",1
"dasyatidae",1
"datnioididae",1
"echeneidae",1
"elopidae",1
"ephippidae",1
"ginglymostomatidae",1
"hemiramphidae",1
"latidae",1
"malapteruridae",1
"megalopidae",1
"merlucciidae",1
"mochokidae",1
"monacanthidae",1
"myxinidae",1
"narcinidae",1
"nemacheilidae",1
"nemichthyidae",1
"notopteridae",1
"ostraciidae",1
"pomacentridae",1
"retropinnidae",1
"schilbeidae",1
"scorpaenidae",1
"squalidae",1
"synbranchidae",1
"trichiuridae",1
"urolophidae",1
