"Typestatus","Count"
"",97368
"voucher",3556
"dna voucher",968
"paratype",54
"paratopotype",10
"voucher (etheostoma simoterum)",10
"voucher (lepomis megalotis)",9
"voucher (erimystax dissimilis)",8
"voucher (etheostoma zonale)",7
"voucher (etheostoma spectabile)",6
"voucher (noturus elegans)",6
"voucher (etheostoma microperca)",3
"voucher (etheostoma obeyense)",3
"topotype",2
"voucher (ambloplites constellatus)",2
"holotype",1
"voucher (amblyopsis spelaea)",1
"voucher (carpoides)",1
"voucher (cottus bairdi)",1
"voucher (cottus bairdii bairdii)",1
"voucher (erimyzon)",1
"voucher (etheostoma blennioides)",1
"voucher (fundulus diaphanus)",1
"voucher (moxostoma macrolepidotum)",1
"voucher (nocomis micropogon)",1
"voucher (notropis cummingsae)",1
"voucher (scomber japonicus)",1
