"dwc.preparations","freq"
"formalin",56390
"",51633
"10% formalin",4441
"frozen/formalin",2599
"formalin or EtOH",1736
"alcoholic",1722
"frozen",1571
"10% formalin and borax",624
"xx",585
"EtOH & formalin",224
"95% alcohol",159
"10% formalin & borax",117
"formalin & EtOH",115
"10%formalin",73
"fe",73
"dried",62
"skeleton | tissue",62
"10% formalin and frozen",60
"7% formalin",51
"5% formalin",45
"8% formalin",43
"frozen, formalin",39
"fr",31
"10% formalin, dry ice",29
"ice, freezer, formalin",29
"70% alcohol",28
"10% formalin and boraz",27
"10% formalin; dryice",27
"EtOH or formalin",27
"formalin & dry ice",26
"frozen/formallin",23
"!0% formalin",22
"105 formalin",22
"frozen; 10% formalin",20
"!0% formalin and borax",18
"5% formalin or EtOH",17
"frozen->EtOH",17
"largely brought back alive by plane for aquarium",17
"formalin/EtOH",16
"10% formalin; Frozen",15
"alive at BML",15
"frozen, 10% formalin",15
"10% formalin + Ionol",14
"frozen to 10% formalin",14
"10% Formalin & borax",13
"alive",13
"alive to BML",13
"10% formalin & ionol",12
"Alive to BML",12
"other prep",12
"10% Formalin and ionol",11
"75% EtOH",11
"alive; 10% formalin",11
"formalin and borax",11
"Frozen, formalin",11
"10% formalin; some kept alive",10
"chilled, formalin",10
"op",10
"10% formaling",9
"formalin and dry ice",9
"10-12% formalin",8
"Alive, 10% formalin",8
"frozen to formalin",8
"10% formalin and ice",7
"20% formalin",7
"Alive",7
"Alive and 10% formalin",7
"Formaldehyde",7
"7.5% formalin",6
"EtOH (?)",6
"partial skeleton | flat skin",6
"RV",6
"3% formalin",5
"5% formalin; freezing",5
"alive at BML or released",5
"EtOH, formalin",5
"flat skin",5
"formalin & Ionol",5
"formalin/70% EtOH",5
"live",5
"10",4
"10% formalin and ionol",4
"5% and 10% formalin and borax",4
"Frozen; formalin",4
"vodka",4
"10% buffered formalin",3
"10% formalin; dry ice",3
"10% formalin; injecting",3
"10% formalin; released",3
"5% or 10% formalin and borax",3
"dry ice; 10% formalin",3
"frozen/EtOH",3
"10% formalin; 95% ethanol",2
"5% formalin and borax",2
"alive + fixed",2
"Alive at BML",2
"Bouin’s solution",2
"f0",2
"fi",2
"Formalin (?)",2
"formalin/75% EtOH",2
"Most alive",2
"10% formalin and dry ice",1
"10% formalin or released",1
"10% formaling; frozen; most released",1
"10% formlin",1
"10%formalin and borax",1
"6% formalin",1
"70% EtOH -> 50% ISOP",1
"80% EtOH",1
"af",1
"Alive at SIO for 6 mos; 10% formalin",1
"Alive or released",1
"Ba",1
"body skeleton",1
"Dried",1
"Dried/95% EtOH",1
"ethanol",1
"EtOH",1
"EtOH (vodka)",1
"EtOH or IsOH",1
"formaldehyde",1
"formaliln",1
"formalin -> 70% EtOH",1
"formalin (?)",1
"Formalin & borax",1
"Formalin and dry ice",1
"formalin to 70% EtOH",1
"formalin; freezing",1
"formalin/70%EtOH",1
"formallin",1
"formatlin",1
"Freezing then formalin",1
"Freezing, formalin",1
"fresh and 10% formalin",1
"Frozen to formalin",1
"Frozen-> formalin",1
"frozen-formalin",1
"frozen/EtOH/formalin",1
"gg",1
"Ice to 10% formalin",1
"kept alive until 15Dec1946",1
"MV",1
"purchased",1
"Released except gobies",1
"rf",1
"tequila",1
"tequila (37% EtOH)",1
