"Family","Count"
"myctophidae",22575
"stomiidae",4734
"sternoptychidae",4576
"gonostomatidae",4415
"exocoetidae",3430
"sebastidae",3391
"melamphaidae",3232
"gobiidae",3077
"serranidae",3023
"phosichthyidae",2380
"cottidae",2336
"bathylagidae",2317
"paralichthyidae",2164
"labrisomidae",1929
"embiotocidae",1600
"pleuronectidae",1562
"pomacentridae",1548
"sciaenidae",1545
"labridae",1530
"carangidae",1491
"chaenopsidae",1450
"blenniidae",1282
"clinidae",1186
"atherinopsidae",1158
"scorpaenidae",1118
"syngnathidae",1053
"muraenidae",1027
"haemulidae",1021
"scopelarchidae",1020
"gobiesocidae",968
"paralepididae",903
"tripterygiidae",842
"kyphosidae",828
"ophichthidae",788
"engraulidae",786
"platytroctidae",778
"congridae",753
"hemiramphidae",707
"coryphaenidae",676
"ophidiidae",667
"nemichthyidae",660
"clupeidae",596
"batrachoididae",578
"cynoglossidae",578
"scomberesocidae",574
"synodontidae",564
"tetraodontidae",546
"bregmacerotidae",529
"stichaeidae",528
"zoarcidae",519
"gerreidae",515
"myxinidae",508
"scombridae",503
"nomeidae",478
"macrouridae",458
"apogonidae",447
"cyprinidae",428
"lutjanidae",407
"serrivomeridae",405
"evermannellidae",403
"agonidae",401
"triglidae",400
"hexagrammidae",398
"gempylidae",377
"bythitidae",375
"alepocephalidae",369
"dactyloscopidae",352
"notosudidae",322
"pholidae",317
"liparidae",308
"mugilidae",306
"howellidae",304
"balistidae",301
"trachipteridae",296
"holocentridae",293
"chaetodontidae",286
"belonidae",284
"bothidae",271
"echeneidae",266
"carcharhinidae",256
"oneirodidae",253
"poeciliidae",250
"pomacanthidae",250
"scaridae",246
"chiasmodontidae",237
"triakidae",233
"rajidae",225
"polynemidae",219
"malacanthidae",205
"antennariidae",204
"merlucciidae",202
"rhinobatidae",198
"cirrhitidae",196
"opisthoproctidae",190
"opistognathidae",188
"melanocetidae",187
"heterodontidae",186
"ariidae",180
"salmonidae",176
"diodontidae",174
"mullidae",172
"urolophidae",171
"acanthuridae",170
"scyliorhinidae",169
"moridae",166
"bramidae",162
"sphyraenidae",155
"microstomatidae",154
"cyematidae",153
"sparidae",145
"achiridae",144
"myliobatidae",142
"neoscopelidae",141
"fundulidae",139
"linophrynidae",135
"trichiuridae",134
"anoplogastridae",129
"fistulariidae",124
"ogcocephalidae",124
"anoplopomatidae",123
"cetomimidae",121
"stromateidae",121
"callionymidae",118
"centrolophidae",118
"alepisauridae",117
"centrarchidae",116
"giganturidae",116
"osmeridae",112
"monacanthidae",111
"omosudidae",111
"ceratiidae",110
"triacanthidae",108
"albulidae",106
"arhynchobatidae",104
"eleotridae",102
"ostraciidae",100
"chimaeridae",98
"argentinidae",94
"dasyatidae",91
"bathymasteridae",89
"carapidae",89
"branchiostomatidae",88
"uranoscopidae",88
"catostomidae",87
"nettastomatidae",87
"petromyzontidae",83
"caristiidae",82
"gadidae",81
"istiophoridae",80
"priacanthidae",80
"molidae",78
"chlopsidae",76
"narcinidae",76
"urotrygonidae",76
"lophiidae",73
"nototheniidae",72
"tetragonuridae",72
"dussumieriidae",71
"ephippidae",69
"melanonidae",67
"pristigasteridae",66
"centriscidae",62
"percidae",62
"psychrolutidae",60
"derichthyidae",59
"polyprionidae",59
"eurypharyngidae",57
"squalidae",57
"gymnuridae",56
"leiognathidae",56
"hemitripteridae",54
"stylephoridae",53
"cichlidae",52
"ammodytidae",51
"gasterosteidae",51
"centropomidae",49
"gigantactinidae",49
"ictaluridae",49
"lamnidae",49
"anotopteridae",48
"melanostomiidae",46
"sphyrnidae",46
"aulorhynchidae",44
"anomalopidae",41
"squatinidae",41
"synaphobranchidae",41
"diretmidae",40
"cheilodactylidae",39
"",38
"moringuidae",38
"microdesmidae",37
"characidae",36
"setarchidae",36
"cyclopteridae",35
"elopidae",35
"pinguipedidae",34
"anarhichadidae",33
"chlorophthalmidae",33
"rondeletiidae",32
"platycephalidae",31
"cyprinodontidae",30
"dalatiidae",29
"lobotidae",28
"aulostomidae",27
"atherinidae",26
"synanceiidae",26
"kuhliidae",25
"monognathidae",25
"trachichthyidae",25
"alopiidae",24
"amarsipidae",24
"soleidae",24
"torpedinidae",24
"goodeidae",23
"halosauridae",23
"hexanchidae",23
"nematistiidae",23
"zanclidae",23
"channichthyidae",22
"pseudochromidae",22
"astronesthidae",21
"ipnopidae",21
"luvaridae",21
"mobulidae",21
"nemipteridae",21
"aulopidae",20
"zeidae",20
"epigonidae",19
"plesiopidae",19
"etmopteridae",18
"lampridae",18
"trichodontidae",18
"colocongridae",17
"acropomatidae",16
"esocidae",16
"himantolophidae",16
"rhamphocottidae",16
"lethrinidae",15
"saccopharyngidae",15
"cobitidae",14
"moronidae",14
"notacanthidae",14
"regalecidae",14
"synbranchidae",14
"anguillidae",13
"dactylopteridae",13
"lophotidae",13
"oreosomatidae",13
"xiphiidae",13
"chanidae",12
"chaunacidae",12
"chironemidae",12
"icosteidae",12
"mormyridae",12
"pempheridae",12
"thaumatichthyidae",12
"zaproridae",12
"caesionidae",11
"champsodontidae",11
"monocentridae",11
"muraenesocidae",11
"scombrolabracidae",11
"siganidae",11
"umbridae",11
"acipenseridae",10
"aploactinidae",10
"caproidae",10
"grammicolepididae",10
"heterenchelyidae",10
"osphronemidae",10
"pomatomidae",10
"schindleriidae",10
"tetrarogidae",10
"amiidae",9
"bathyclupeidae",9
"cryptacanthodidae",9
"galaxiidae",9
"rhincodontidae",9
"sillaginidae",9
"aplodactylidae",8
"apteronotidae",8
"callorhinchidae",8
"echinorhinidae",8
"lepisosteidae",8
"phycidae",8
"pimelodidae",8
"scytalinidae",8
"somniosidae",8
"sternopygidae",8
"terapontidae",8
"ambassidae",7
"ariommatidae",7
"centrophrynidae",7
"channidae",7
"grammatidae",7
"gymnotidae",7
"leptochilichthyidae",7
"mastacembelidae",7
"oplegnathidae",7
"pegasidae",7
"peristediidae",7
"plotosidae",7
"polymixiidae",7
"scophthalmidae",7
"arapaimidae",6
"bathydraconidae",6
"caulophrynidae",6
"doradidae",6
"ginglymostomatidae",6
"lotidae",6
"monodactylidae",6
"notopteridae",6
"osteoglossidae",6
"pentacerotidae",6
"percophidae",6
"polyodontidae",6
"polypteridae",6
"pristidae",6
"radiicephalidae",6
"symphysanodontidae",6
"trichomycteridae",6
"apistidae",5
"ateleopodidae",5
"bathysauridae",5
"bovichtidae",5
"callanthiidae",5
"callichthyidae",5
"cepolidae",5
"citharidae",5
"gasteropelecidae",5
"hydrophiidae",5
"hypopomidae",5
"neoceratiidae",5
"neosebastidae",5
"odacidae",5
"odontaspididae",5
"potamotrygonidae",5
"psettodidae",5
"triacanthodidae",5
"zenarchopteridae",5
"apionidae",4
"arripidae",4
"barbourisiidae",4
"caracanthidae",4
"cetopsidae",4
"cetorhinidae",4
"congiopodidae",4
"creediidae",4
"distichodontidae",4
"enoplosidae",4
"gonorynchidae",4
"hemiscylliidae",4
"heptapteridae",4
"hoplichthyidae",4
"lebiasinidae",4
"loricariidae",4
"mochokidae",4
"narkidae",4
"normanichthyidae",4
"percichthyidae",4
"pseudocarchariidae",4
"rachycentridae",4
"rhamphichthyidae",4
"samaridae",4
"serrasalmidae",4
"adrianichthyidae",3
"amphiliidae",3
"aphyonidae",3
"auchenipteridae",3
"balitoridae",3
"bedotiidae",3
"berycidae",3
"cottocomephoridae",3
"emmelichthyidae",3
"gymnarchidae",3
"hypoptychidae",3
"latimeriidae",3
