"dwc.scientificName","freq"
"Vinciguerria lucetia",1145
"Stenobrachius leucopsarus",1084
"Cyclothone signata",1063
"Diogenichthys laternatus",993
"Triphoturus mexicanus",972
"Idiacanthus antrostomus",889
"Cyclothone acclinidens",878
"Diaphus theta",861
"Nannobrachium ritteri",781
"Scopelogadus bispinosus",778
"Notolychnus valdiviae",745
"Myctophum nitidulum",726
"Argyropelecus affinis",711
"Protomyctophum crockeri",687
"Bathylagoides wesethi",644
"Symbolophorus californiensis",639
"Diogenichthys atlanticus",632
"Leuroglossus stilbius",632
"Ceratoscopelus townsendi",631
"Argyropelecus lychnus",590
"Tarletonbeania crenularis",559
"Vinciguerria nimbaria",553
"Argyropelecus sladeni",522
"Danaphos oculatus",516
"Bolinichthys longipes",509
"Sternoptyx diaphana",507
"Coryphaena equiselis",504
"Citharichthys stigmaeus",493
"Ceratoscopelus warmingii",485
"Chauliodus macouni",477
"Symbolophorus evermanni",464
"Myctophum aurolaternatum",463
"Cyclothone pseudopallida",459
"Argyropelecus hemigymnus",454
"Stomias atriventer",404
"Oxyporhamphus micropterus",387
"Gonichthys tenuiculus",376
"Microstomus pacificus",373
"Girella nigricans",371
"Poromitra crassiceps",370
"Cololabis saira",366
"Hygophum reinhardtii",363
"Hirundichthys speculiger",356
"Hirundichthys marginatus",354
"Lampanyctus tenuiformis",351
"Bathophilus filifer",340
"Lipolagus ochotensis",339
"Myctophidae",334
"Citharichthys sordidus",329
"Paralabrax clathratus",326
"Lampanyctus omostigma",318
"Sagamichthys abei",316
"Vinciguerria poweriae",314
"Heterostichus rostratus",311
"Prognichthys tringa",308
"Melamphaes lugubris",306
"Bathylagoides nigrigenys",305
"Cyclothone atraria",305
"Paralichthys californicus",296
"Hygophum proximum",291
"Tactostoma macropus",291
"Notoscopelus resplendens",287
"Gibbonsia elegans",282
"Hygophum atratum",281
"Scorpaenodes xyris",280
"Exocoetus monocirrhus",279
"Lestidiops ringens",275
"Diaphus pacificus",269
"Nannobrachium idostigma",269
"Nemichthys scolopaceus",267
"Atherinops affinis",266
"Sebastes",263
"Exocoetus volitans",261
"Triphoturus nigrescens",260
"Lampanyctus parvicauda",253
"Benthosema suborbitale",250
"Lampanyctus steinbecki",249
"Sternoptyx obscura",248
"Acanthemblemaria crockeri",247
"Apogon retrosella",244
"Engraulis mordax",244
"Semicossyphus pulcher",243
"Embiotoca jacksoni",242
"Nannobrachium regale",240
"Cyclothone pallida",237
"Scopeloberyx robustus",237
"Ophioblennius steindachneri",234
"Sebastolobus altivelis",232
"Rypticus bicolor",230
