"Continent","Count"
NA,44663
"DZA",2
"ASM",45
"AGO",1
"ATA",158
"ARG",44
"AUS",437
"BHS",263
"BRB",3
"BLZ",54
"BMU",4
"BOL",3
NA,1
"BRA",57
"BRN",2
"CAN",371
"CYM",9
"CAF",1
"CHL",996
"CHN",91
"COL",222
"COM",11
"COD",10
"COK",3
"CRI",1398
"CIV",1
"CUB",41
"CUW",17
"ECU",1501
"EGY",3
"SLV",167
"FLK",3
"FSM",1
"FJI",2
"FRA",200
"GUF",2
"PYF",38
"GAB",1
"GHA",1
"GRC",2
"GRL",2
"GUM",22
"GTM",177
"GIN",1
"GUY",5
"HTI",9
"HND",20
"HKG",1
"IND",6
"IDN",385
"ISR",8
"ITA",57
"JAM",2
"JPN",257
"KEN",6
"KIR",55
"LAO",1
"MDG",26
"MYS",4
"MDV",17
"MLT",4
"MHL",178
"MTQ",9
"MEX",34453
"MNE",12
"MOZ",38
"MMR",1
"NAM",2
"NCL",1
"NZL",88
"NIC",93
"NGA",2
"MNP",2
"NOR",1
"OMN",6
"PAK",3
"PLW",24
"PAN",2828
NA,2
"PNG",24
"PRY",1
"PER",728
"PHL",257
"PRT",5
"PRI",30
"ROU",11
"RUS",13
NA,2
"LCA",7
"VCT",2
"STP",2
"SAU",1
"SEN",2
"SYC",8
NA,2
"SLE",4
"SGP",26
"SLB",13
"ZAF",404
"KOR",10
"ESP",3
"LKA",12
"SUR",2
"SWE",1
"TWN",251
"TZA",2
"THA",19
"TKL",3
"TON",6
"TTO",5
"TUV",9
"GBR",1
"USA",31604
"UMI",93
"URY",4
"VUT",14
"VEN",44
NA,5
"VNM",6
"VIR",28
