"dwc.scientificName","freq"
"Anas platyrhynchos",62
"Anas clypeata",59
"Anas discors",58
"Anser caerulescens",57
"Aythya americana",44
"Aythya collaris",44
"Lophodytes cucullatus",44
"Anas carolinensis",43
"Anas americana",36
"Aythya affinis",35
"Anas acuta",32
"Bucephala clangula",32
"Anas cyanoptera",29
"Anas strepera",29
"Bucephala albeola",28
"Aix sponsa",27
"Oxyura jamaicensis",24
"Anser caerulescens caerulescens",23
"Mergus merganser",18
"Clangula hyemalis",17
"Mergus merganser americanus",17
"Mergus serrator",17
"Aythya valisineria",16
"Melanitta perspicillata",16
"",13
"Anas acuta tzitzihoa",13
"Aves",12
"Branta canadensis",12
"Somateria spectabilis",12
"Bucephala islandica",11
"Aythya marila",10
"Bucephala clangula americana",10
"Cygnus columbianus",9
"Branta nigricans",8
"Dendrocygna bicolor",8
"Mammalia",7
"Melanitta deglandi",7
"Anas rubripes rubripes",5
"Anser albifrons gambeli",5
"Branta hutchinsii",5
"Somateria mollissima",5
"Anser albifrons albifrons",4
"Jacana spinosa",4
"Melanitta nigra",4
"Somateria mollissima dresseri",4
"Anas rubripes tristis",3
"Anser albifrons",3
"Branta bernicla",3
"Branta hutchinsii minima",3
"Bucephala clangula clangula",3
"Ictalurus punctatus",3
"Somateria fischeri",3
"Anas crecca",2
"Anas rubripes",2
"Anas rubripes platyrhynchos",2
"Anser canagicus",2
"Anser rossii",2
"Cetacea",2
"Cygnus buccinator",2
"Cygnus columbianus columbianus",2
"Melanitta americana",2
"Polysticta stelleri",2
"Pylodictis olivaris",2
"Tadorna variegata",2
"Aix galericulata",1
"Anas fulvigula maculosa",1
"Anas platyrhynchos.",1
"Anser americana",1
"Anser anser",1
"Anser caerulescens..",1
"Anser hyperboreus",1
"Anser rossi",1
"Aplodinotus grunniens",1
"Aythya americana.",1
"Aythya marila nearctica",1
"Branta bernicla hrota",1
"Branta canadensis canadensis",1
"Branta hrota",1
"Branta hutchinsii leucopareia",1
"Cairina moschata",1
"Carnivora",1
"Catostomus commersonii",1
"Chen rossii",1
"Cygnus atratus",1
"Cygnus olor",1
"Dasyatis sabina",1
"Dendrocygna",1
"Dendrocygna autumnalis",1
"Galeocerdo cuvier",1
"Hippocampus erectus",1
"Histrionicus histrionicus",1
"Histrionicus histrionicus pacificus",1
"Hydrophasianus chirurgus",1
"Jacana spinosa gymnostoma",1
"Lepisosteidae",1
"Manta birostris",1
"Menura supurba",1
"Monotaxis grandoculis",1
"Morone chrysops",1
"Moxostoma aureolum",1
"Myliobatiformes",1
"Nettapus coromandelianus",1
"Opsanus tau",1
"Pomoxis nigromaculatus",1
"Pristidae",1
"Procellariiformes",1
"Salmo gairdneri",1
"Semicossyphus pulcher",1
"Somateria mollissima v-nigrum",1
"Sparisoma viride",1
"Squamata",1
"Testudines",1
