"Family","Count"
"cyprinidae",6867
"centrarchidae",4297
"characidae",2501
"poeciliidae",1929
"blenniidae",1726
"triglidae",1721
"cichlidae",1506
"sciaenidae",1504
"percidae",1350
"ictaluridae",1236
"ophidiidae",1013
"fundulidae",998
"clupeidae",984
"gobiidae",910
"serranidae",886
"atherinopsidae",885
"carangidae",870
"tetraodontidae",832
"macrouridae",808
"paralichthyidae",784
"myctophidae",734
"ogcocephalidae",723
"gerreidae",681
"engraulidae",655
"catostomidae",593
"lutjanidae",585
"rajidae",561
"syngnathidae",481
"sternoptychidae",421
"sparidae",416
"synodontidae",393
"haemulidae",377
"bothidae",373
"mugilidae",364
"loricariidae",363
"scorpaenidae",358
"arhynchobatidae",315
"cyprinodontidae",300
"cottidae",294
"serrasalmidae",276
"stomiidae",276
"gonostomatidae",275
"salmonidae",273
"cynoglossidae",270
"pomacentridae",269
"labrisomidae",267
"batrachoididae",248
"labridae",237
"phycidae",236
"congridae",227
"monacanthidae",225
"nettastomatidae",223
"muraenidae",222
"dasyatidae",220
"achiridae",218
"eleotridae",215
"ophichthidae",214
"gobiesocidae",207
"curimatidae",195
"hemiodontidae",194
"iguanodectidae",188
"scaridae",175
"carcharhinidae",169
"bregmacerotidae",164
"heptapteridae",164
"belonidae",160
"ariidae",155
"antennariidae",150
"sphyraenidae",144
"scombridae",142
"apogonidae",140
"uranoscopidae",138
"mullidae",136
"synaphobranchidae",136
"phosichthyidae",133
"lepisosteidae",121
"stromateidae",118
"erythrinidae",117
"pleuronectidae",116
"lebiasinidae",114
"crenuchidae",112
"percophidae",112
"exocoetidae",111
"moridae",109
"halosauridae",105
"moronidae",105
"melamphaidae",104
"ostraciidae",104
"aphredoderidae",102
"esocidae",102
"anostomidae",101
"hypopomidae",98
"acestrorhynchidae",96
"triakidae",95
"trichiuridae",94
"peristediidae",92
"ipnopidae",90
"alepocephalidae",89
"bythitidae",86
"bryconidae",85
"polynemidae",85
"centropomidae",84
"diodontidae",83
"acropomatidae",75
"trichomycteridae",75
"acanthuridae",74
"doradidae",72
"dussumieriidae",72
"merlucciidae",71
"balistidae",70
"chaetodontidae",70
"etmopteridae",70
"ephippidae",69
"auchenipteridae",67
"malacanthidae",67
"narcinidae",67
"sternopygidae",67
"synbranchidae",66
"atherinidae",64
"hemiramphidae",64
"priacanthidae",64
"myliobatidae",63
"elopidae",61
"holocentridae",61
"rhinobatidae",60
"sphyrnidae",59
"chlorophthalmidae",58
"urolophidae",58
"epigonidae",57
"chaunacidae",54
"pomacanthidae",53
"petromyzontidae",51
"scyliorhinidae",51
"anguillidae",50
"elassomatidae",44
"tripterygiidae",44
"urotrygonidae",44
"bagridae",42
"cobitidae",41
"gempylidae",41
"pimelodidae",41
"channidae",40
"neoscopelidae",40
"rivulidae",38
"zoarcidae",38
"clariidae",37
"polymixiidae",37
"triportheidae",36
"lophiidae",35
"stephanoberycidae",35
"echeneidae",33
"agonidae",32
"mormyridae",31
"stichaeidae",31
"chimaeridae",30
"paralepididae",30
"kyphosidae",29
"liparidae",29
"trachichthyidae",29
"alestidae",28
"aphyonidae",28
"gymnotidae",28
"pomatomidae",27
"callichthyidae",25
"melanostomiidae",25
"siluridae",25
"anabantidae",24
"gymnuridae",24
"opistognathidae",24
"argentinidae",23
"gadidae",23
"polypteridae",23
"squatinidae",23
"anacanthobatidae",22
"centriscidae",22
"profundulidae",22
"chaenopsidae",21
"clinidae",21
"nemacheilidae",21
"setarchidae",21
"nemichthyidae",20
"amiidae",19
"notopteridae",19
"coryphaenidae",18
"omosudidae",18
"",17
"bathylagidae",17
"cetopsidae",17
"mastacembelidae",17
"pristidae",17
"bramidae",16
"callionymidae",16
"caproidae",16
"chilodontidae",16
"moringuidae",16
"notacanthidae",16
"ctenoluciidae",15
"nomeidae",15
"osphronemidae",15
"psychrolutidae",15
"sebastidae",15
"gasteropelecidae",14
"grammicolepididae",14
"heterodontidae",14
"myxinidae",14
"parazenidae",14
"schilbeidae",14
"scopelarchidae",14
"squalidae",14
"grammatidae",13
"pangasiidae",13
"pristigasteridae",13
"pseudopimelodidae",13
"rachycentridae",13
"sisoridae",13
"ceratiidae",12
"cynodontidae",12
"triacanthodidae",12
"claroteidae",11
"cyclopteridae",11
"evermannellidae",11
"prochilodontidae",11
"ambassidae",10
"ammodytidae",10
"aulostomidae",10
"dactyloscopidae",10
"hemitripteridae",10
"howellidae",10
"osmeridae",10
"alopiidae",9
"balitoridae",9
"bathymasteridae",9
"cetomimidae",9
"colocongridae",9
"melanocetidae",9
"platytroctidae",9
"protopteridae",9
"alepisauridae",8
"aplocheilidae",8
"ariommatidae",8
"aspredinidae",8
"bathyclupeidae",8
"carapidae",8
"gasterosteidae",8
"goodeidae",8
"lobotidae",8
"megalopidae",8
"notosudidae",8
"scophthalmidae",8
"serrivomeridae",8
"soleidae",8
"zeidae",8
"anoplogastridae",7
"apteronotidae",7
"cirrhitidae",7
"ginglymostomatidae",7
"hexanchidae",7
"nemipteridae",7
"oneirodidae",7
"potamotrygonidae",7
"umbridae",7
"anablepidae",6
"chiasmodontidae",6
"chlopsidae",6
"dalatiidae",6
"hepsetidae",6
"hiodontidae",6
"istiophoridae",6
"lotidae",6
"melanonidae",6
"pempheridae",6
"plesiopidae",6
"siganidae",6
"zenionidae",6
"acipenseridae",5
"albulidae",5
"ateleopodidae",5
"fistulariidae",5
"microdesmidae",5
"microstomatidae",5
"rhamphichthyidae",5
"astronesthidae",4
"datnioididae",4
"diretmidae",4
"lethrinidae",4
"linophrynidae",4
"odacidae",4
"opisthoproctidae",4
"polycentridae",4
"polyodontidae",4
"pristolepididae",4
"pseudochromidae",4
"terapontidae",4
"torpedinidae",4
"chauliodontidae",3
"dactylopteridae",3
"distichodontidae",3
"heteropneustidae",3
"kuhliidae",3
"lamnidae",3
"lepidosirenidae",3
"malacosteidae",3
"malapteruridae",3
"mochokidae",3
"molidae",3
"monodactylidae",3
"muraenesocidae",3
"parodontidae",3
"percopsidae",3
"bathysauridae",2
"chironemidae",2
"derichthyidae",2
"gibberichthyidae",2
"gyrinocheilidae",2
"latidae",2
"nothobranchiidae",2
"pinguipedidae",2
"plecoglossidae",2
"psilorhynchidae",2
"rhinochimaeridae",2
"serpenticobitidae",2
"sillaginidae",2
"thaumatichthyidae",2
"toxotidae",2
"triacanthidae",2
"xiphiidae",2
"zaproridae",2
"akysidae",1
"amblycipitidae",1
"amblyopsidae",1
"anarhichadidae",1
"apionidae",1
"branchiostomatidae",1
"caesionidae",1
"cepolidae",1
"chirocentridae",1
"citharinidae",1
"creediidae",1
"diceratiidae",1
"draconettidae",1
"embiotocidae",1
"emmelichthyidae",1
"enoplosidae",1
"gigantactinidae",1
"giganturidae",1
"gymnarchidae",1
"hexagrammidae",1
"himantolophidae",1
"mobulidae",1
"nandidae",1
"narkidae",1
"nileidae",1
"odontaspididae",1
"odontobutidae",1
"osteoglossidae",1
"palinuridae",1
"pholidae",1
"plesiobatidae",1
"plotosidae",1
"pristiophoridae",1
"psettodidae",1
"pseudomugilidae",1
"rhincodontidae",1
"rondeletiidae",1
"salangidae",1
"scatophagidae",1
"scombrolabracidae",1
"tetrarogidae",1
