"Continent","Count"
NA,10799
"DZA",1
"ATA",10
"ARG",9
"AUS",173
"BHS",5
"BLZ",15
"BEN",371
"BOL",19
"BWA",1
"BRA",1229
"IOT",6
"KHM",427
"CAN",26
"CHL",6
"COL",18
"COM",26
"CRI",1415
"CIV",1
"CUB",4
"DMA",25
"ECU",155
"SLV",88
"FJI",45
"FRA",5
"GUF",40
"PYF",13
"GRC",1
"GUY",21
"HND",41
"IND",71
"IDN",37
"ISR",6
"ITA",7
"JPN",36
"MDG",2
"MYS",22
"MLI",30
"MRT",2
"MEX",1299
"NCL",7
"NZL",103
"NIC",59
"NGA",1
"MNP",1
"OMN",3
"PLW",1
"PAN",90
"PNG",1
"PER",315
"PHL",66
"POL",1
"PRT",1
"PRI",103
"RUS",7
"LCA",4
"WSM",1
"SAU",13
"SEN",4
"SOM",4
"ZAF",7
"ESP",1
"LKA",3
"SUR",1
"TWN",15
"TZA",11
"THA",5
"TTO",107
"TUN",2
"TUR",2
"ARE",65
"GBR",6
"USA",35859
"VEN",3944
"VNM",3
"VIR",1
