"Family","Count"
"cyprinidae",15550
"centrarchidae",12282
"poeciliidae",7207
"percidae",3506
"ictaluridae",2898
"fundulidae",2755
"cichlidae",2334
"characidae",1605
"clupeidae",1579
"sciaenidae",1534
"catostomidae",1504
"atherinopsidae",1461
"cyprinodontidae",933
"carangidae",742
"gobiidae",679
"mugilidae",636
"engraulidae",535
"paralichthyidae",519
"lepisosteidae",437
"syngnathidae",411
"sparidae",371
"aphredoderidae",357
"gerreidae",349
"eleotridae",324
"serranidae",305
"loricariidae",258
"esocidae",253
"triglidae",239
"tetraodontidae",226
"haemulidae",224
"lutjanidae",216
"batrachoididae",190
"achiridae",189
"synodontidae",176
"heptapteridae",163
"elassomatidae",162
"polynemidae",157
"blenniidae",147
"belonidae",138
"labrisomidae",137
"cynoglossidae",133
"elopidae",130
"ariidae",123
"ophidiidae",107
"stromateidae",107
"ophichthidae",106
"anguillidae",104
"mochokidae",103
"mormyridae",102
"moronidae",101
"monacanthidae",98
"scorpaenidae",95
"ogcocephalidae",90
"erythrinidae",83
"pomacentridae",83
"callichthyidae",80
"petromyzontidae",79
"centropomidae",78
"ephippidae",78
"serrasalmidae",77
"uranoscopidae",70
"trichiuridae",69
"sphyraenidae",66
"antennariidae",64
"diodontidae",56
"curimatidae",54
"salmonidae",54
"",53
"labridae",52
"mullidae",51
"phycidae",51
"lebiasinidae",50
"gymnotidae",46
"muraenidae",46
"clariidae",45
"clinidae",45
"bothidae",43
"hemiramphidae",43
"crenuchidae",42
"dasyatidae",42
"scombridae",42
"synbranchidae",42
"rivulidae",41
"alestidae",40
"anabantidae",39
"gobiesocidae",39
"rajidae",39
"balistidae",38
"sternopygidae",37
"echeneidae",36
"auchenipteridae",35
"exocoetidae",34
"bryconidae",33
"amiidae",30
"hypopomidae",30
"narcinidae",30
"trichomycteridae",30
"aspredinidae",29
"carcharhinidae",29
"pseudopimelodidae",28
"schilbeidae",28
"triportheidae",27
"congridae",26
"macrouridae",26
"nettastomatidae",26
"chaetodontidae",25
"ostraciidae",25
"pomatomidae",25
"anostomidae",24
"distichodontidae",24
"pimelodidae",22
"pomacanthidae",22
"scaridae",22
"prochilodontidae",21
"mastacembelidae",19
"lobotidae",18
"apteronotidae",17
"gasteropelecidae",17
"priacanthidae",17
"sphyrnidae",17
"apogonidae",16
"rachycentridae",16
"alestiidae",15
"peristediidae",15
"doradidae",14
"malacanthidae",14
"cottidae",13
"percophidae",13
"atherinidae",12
"gasterosteidae",12
"megalopidae",12
"coryphaenidae",11
"hepsetidae",11
"hiodontidae",11
"myliobatidae",11
"nothobranchiidae",11
"acestrorhynchidae",10
"etmopteridae",10
"auchenoglanididae",9
"chaenopsidae",9
"chlorophthalmidae",9
"gymnuridae",9
"kyphosidae",9
"pleuronectidae",9
"rhinobatidae",9
"stomiidae",9
"triakidae",9
"anablepidae",8
"dactylopteridae",8
"gonostomatidae",8
"goodeidae",8
"albulidae",7
"bregmacerotidae",7
"holocentridae",7
"moringuidae",7
"dussumieriidae",6
"fistulariidae",6
"merlucciidae",6
"synaphobranchidae",6
"galaxiidae",5
"opistognathidae",5
"polymixiidae",5
"rhamphichthyidae",5
"sternoptychidae",5
"acropomatidae",4
"amblyopsidae",4
"amphiliidae",4
"epigonidae",4
"ipnopidae",4
"lophiidae",4
"moridae",4
"nomeidae",4
"scyliorhinidae",4
"setarchidae",4
"umbridae",4
"zeidae",4
"acanthuridae",3
"argentinidae",3
"branchiostomatidae",3
"bythitidae",3
"callionymidae",3
"cheimarrichthyidae",3
"chilodontidae",3
"chimaeridae",3
"cobitidae",3
"cynodontidae",3
"dactyloscopidae",3
"gempylidae",3
"halosauridae",3
"lacantuniidae",3
"latidae",3
"neoscopelidae",3
"phosichthyidae",3
"polypteridae",3
"pristidae",3
"squalidae",3
"squatinidae",3
"torpedinidae",3
"alepocephalidae",2
"bagridae",2
"bathyclupeidae",2
"centrolophidae",2
"cetopsidae",2
"chlopsidae",2
"dalatiidae",2
"eleginopsidae",2
"hexanchidae",2
"myctophidae",2
"notopteridae",2
"osphronemidae",2
"osteoglossidae",2
"parodontidae",2
"potamotrygonidae",2
"protopteridae",2
"siluridae",2
"trachichthyidae",2
"tripterygiidae",2
"acipenseridae",1
"adrianichthyidae",1
"anarhichadidae",1
"anoplopomatidae",1
"arapaimidae",1
"ateleopodidae",1
"badidae",1
"bathymasteridae",1
"caproidae",1
"centriscidae",1
"centrophoridae",1
"chanidae",1
"chaunacidae",1
"colocongridae",1
"ctenoluciidae",1
"ginglymostomatidae",1
"grammicolepididae",1
"helostomatidae",1
"hemiodontidae",1
"iguanodectidae",1
"lepidosirenidae",1
"lotidae",1
"melamphaidae",1
"melanonidae",1
"microdesmidae",1
"molidae",1
"myxinidae",1
"nemichthyidae",1
"noctuidae",1
"osmeridae",1
"pangasiidae",1
"paralepididae",1
"parazenidae",1
"pempheridae",1
"polycentridae",1
"polyodontidae",1
"pristigasteridae",1
"profundulidae",1
"retropinnidae",1
"sebastidae",1
"stichaeidae",1
"triacanthodidae",1
"urolophidae",1
