"dwc.scientificName","freq"
"Gambusia affinis",3672
"Cyprinella lutrensis",2567
"Lepomis megalotis",2452
"Cyprinella venusta",1915
"Lepomis macrochirus",1900
"Pimephales vigilax",1602
"Micropterus salmoides",1546
"Lepomis cyanellus",1432
"Ictalurus punctatus",976
"Astyanax mexicanus",927
"Herichthys cyanoguttatus",890
"Lepomis gulosus",874
"Campostoma anomalum",854
"Poecilia latipinna",843
"Menidia beryllina",840
"Gambusia heterochir",830
"Fundulus notatus",810
"Dorosoma cepedianum",783
"Lepomis auritus",636
"Notropis amabilis",568
"Ameiurus natalis",563
"Notropis volucellus",562
"Carpiodes carpio",561
"Cyprinodon variegatus",545
"Lepomis microlophus",516
"Notropis braytoni",488
"Etheostoma spectabile",474
"Lythrurus fumeus",459
"Micropterus punctulatus",442
"Percina sciera",423
"Notemigonus crysoleucas",416
"Opsopoeodus emiliae",397
"Lepomis miniatus",396
"Fundulus grandis",386
"Micropterus treculii",372
"Etheostoma gracile",370
"Etheostoma lepidum",362
"Mugil cephalus",344
"Aphredoderus sayanus",342
"Dorosoma petenense",342
"Cyprinus carpio",337
"Labidesthes sicculus",337
"Etheostoma chlorosomum",335
"Poecilia formosa",329
"Pomoxis annularis",322
"Fundulus zebrinus",320
"Lepomis humilis",317
"Macrhybopsis aestivalis",317
"Gambusia geiseri",312
"Moxostoma congestum",300
"Anchoa mitchilli",294
"Notropis texanus",287
"Leiostomus xanthurus",281
"Fundulus olivaceus",270
"Gambusia affinis x heterochir",269
"Lagodon rhomboides",267
"Herichthys minckleyi",266
"Notropis stramineus",265
"Ameiurus melas",256
"Mugil curema",250
"Notropis buchanani",248
"Notropis atrocaudalis",242
"Pylodictis olivaris",240
"Lythrurus umbratilis",226
"Pimephales promelas",226
"Lucania parva",222
"Cyprinella proserpina",219
"Percina carbonaria",211
"Lepomis",210
"Lepisosteus osseus",203
"Noturus gyrinus",202
"Trachinotus carolinus",192
"Ictalurus furcatus",184
"Menticirrhus littoralis",182
"Dionda episcopa",180
"Minytrema melanops",180
"Esox americanus",179
"Lepisosteus oculatus",171
"Pomoxis nigromaculatus",171
"Dionda nigrotaeniata",165
"Elassoma zonatum",161
"Brevoortia patronus",160
"Anchoa hepsetus",156
"Noturus nocturnus",156
"Hybognathus placitus",153
"Percina caprodes",152
"Polydactylus octonemus",150
"Syngnathus scovelli",149
"Menidia peninsulae",146
"Citharichthys spilopterus",144
"Gobiosoma bosc",144
"Hybognathus nuchalis",144
"Harengula jaguana",138
"Sphoeroides parvus",135
"Synodus foetens",135
"Notropis shumardi",132
"Fundulus chrysotus",130
"Macrhybopsis marconis",126
"Dionda argentosa",124
"Lepomis symmetricus",124
"Micropogon undulatus",124
"Elops saurus",123
"Ctenogobius boleosoma",122
"Micropogonias undulatus",121
"Etheostoma grahami",119
"Lucania",119
"Lepomis marginatus",116
"Fundulus similis",113
"Bairdiella chrysoura",111
"Opsanus beta",111
"Ammocrypta vivax",110
"Lepomis punctatus",110
"Percina macrolepida",109
"Rhinichthys cataractae",109
"Notropis jemezanus",108
"Dormitator maculatus",107
"Ictiobus bubalus",107
"Macrhybopsis hyostoma",107
"Anguilla rostrata",104
"Strongylura marina",104
"Aplodinotus grunniens",103
"Cynoscion nebulosus",103
"Orthopristis chrysoptera",103
"Cyprinodon rubrofluviatilis",102
"Syngnathus louisianae",102
"Symphurus plagiusa",101
"Chloroscombrus chrysurus",98
"Oreochromis aureus",97
"Cyprinodon pecosensis x variegatus",95
"Paralichthys lethostigma",95
"Eucinostomus argenteus",94
"Fundulus kansae",94
"Etheostoma proeliare",92
"Dionda serena",91
"Ictalurus lupus",91
"Caranx hippos",88
"Ariopsis felis",87
"Notropis chihuahua",86
"Notropis oxyrhynchus",86
"Cynoscion arenarius",85
"Ictalurus pricei",85
"Membras martinica",84
"Achirus lineatus",82
"Ambloplites rupestris",82
"Centrarchus macropterus",82
"Gobiosoma robustum",82
"Hybognathus amarus",82
"Sciaenops ocellatus",80
"Astyanax fasciatus",79
"Chaetodipterus faber",78
"Etheostoma pulchellum",77
"Notropis atherinoides",77
"Campostoma ornatum",74
"Gambusia marshi",74
"Fundulus pulvereus",73
"Notropis sabinae",73
"Percina caprodes carbonaria",73
"Etropus crossotus",72
"Trinectes maculatus",71
"Gobiomorus dormitor",69
"Trichiurus lepturus",68
"Cyprinella lepida",66
"Morone chrysops",65
"Oligoplites saurus",65
"Phenacobius mirabilis",65
"Notropis buccula",64
"Hoplias malabaricus",63
"Fundulus blairae",62
"Poecilia reticulata",62
"Gambusia speciosa",60
"Cycleptus elongatus",59
"Pogonias cromis",59
"Adinia xenica",58
"Centropristis philadelphica",58
"Micropterus dolomieu",58
"Poecilia gillii",58
"Eucinostomus gula",57
"Archosargus probatocephalus",55
"Astyanax bimaculatus",55
"Menticirrhus americanus",55
"Prionotus tribulus",55
"Rhamdia",55
"Semotilus atromaculatus",55
"Aequidens pulcher",54
"Ancylopsetta quadrocellatus",54
"Chilomycterus schoepfii",54
"Ichthyomyzon gagei",54
"Etheostoma parvipinne",53
"Pimelodella",53
"Porichthys plectrodon",53
"Prionotus rubio",53
"Eucinostomus melanopterus",52
"Evorthodus lyricus",52
"Selene setapinnis",52
"Stephanolepis hispidus",52
"Esox americanus vermiculatus",50
"Moxostoma poecilurum",50
"Erimyzon sucetta",49
"Gobionellus oceanicus",49
"Labrisomus nuchipinnis",49
"Larimus fasciatus",47
"Roeboides dayi",47
"Myrophis punctatus",46
"Odontostilbe pulcher",46
"Dionda diaboli",45
"Parachromis friedrichsthalii",45
"Poecilia mexicana",45
"Serranus subligarius",45
"Cynoscion nothus",44
"Etheostoma fonticola",44
"Hypostomus argus",44
"Astroscopus y-graecum",43
"Etheostoma histrio",43
"Rhamdia guatemalensis",43
"Brevoortia gunteri",42
"Prietella phreatophila",42
"Syngnathus floridae",42
"Atractosteus spatula",41
"Characidium",41
"Etheostoma asprigene",41
"Microgobius gulosus",41
"Etheostoma artesiae",40
"Notropis chalybaeus",40
"Gephyrocharax valencia",39
"Luxilus chrysocephalus",39
"Notropis potteri",39
"Opisthonema oglinum",39
"Selene vomer",39
"Synbranchus marmoratus",39
"Tilapia sparrmanii",39
"Xiphophorus pygmaeus",39
"Curimata argentea",38
"Cyprinidae",38
"Eleotris amblyopsis",38
"Urophycis floridana",38
"Cyprinella lutrensis x venusta",37
"Dionda flavipinnis",37
"Etheostoma whipplei",37
"Peprilus burti",37
"Scorpaena plumieri",37
"Sphyraena guachancho",37
"Stellifer lanceolatus",37
"Syacium gunteri",37
"Chordata",36
"Ctenobrycon spilurus",36
"Cyclopsetta chittendeni",36
"Eucinostomus lefroyi",36
"Gerres cinereus",36
"Percina shumardi",36
"Abudefduf saxatilis",35
"Bryconamericus beta",35
"Cichlasoma nigrofasciatum",35
"Dasyatis sabina",35
"Hybopsis amnis",35
"Notropis bairdi",35
"Phallichthys amates",35
"Pseudocrenilabrus philander",35
"Caquetaia kraussii",34
"Marcusenius macrolepidotus",34
"Eleotris picta",33
"Histrio histrio",33
"Lutjanus campechanus",33
"Lutjanus griseus",33
"Rypticus maculatus",33
"Trachinotus falcatus",33
"Upeneus parvus",33
"Anchoa lyolepis",32
"Balistes capriscus",32
"Cyprinodon bifasciatus",32
"Cyprinodon eximius",32
"Erimyzon oblongus",32
"Tilapia aurea",32
"Alfaro cultratus",31
"Caranx latus",31
"Hemicaranx amblyrhynchus",31
"Lagocephalus laevigatus",31
"Ophichthus gomesii",31
"Pollimyrus castelnaui",31
"Stenotomus caprinus",31
"Amia calva",30
"Apistogramma hoignei",30
"Bagre marinus",30
"Centropomus undecimalis",30
"Cichlasoma dovii",30
