"Family","Count"
"cyprinidae",72943
"centrarchidae",29589
"percidae",25461
"catostomidae",9146
"ictaluridae",8223
"fundulidae",8034
"poeciliidae",6569
"clupeidae",5226
"atherinopsidae",4788
"sciaenidae",3722
"achiridae",1549
"gobiidae",1502
"esocidae",1297
"engraulididae",1181
"aphredoderidae",1105
"cottidae",1067
"paralichthyidae",1059
"mugilidae",1021
"lepisosteidae",936
"elassomatidae",930
"carangidae",913
"moronidae",879
"sparidae",765
"syngnathidae",688
"cichlidae",643
"cyprinodontidae",609
"petromyzontidae",573
"characidae",563
"triglidae",495
"anguillidae",489
"ariidae",467
"belonidae",447
"eleotridae",445
"tetraodontidae",398
"gerreidae",385
"serranidae",370
"synodontidae",329
"cobitidae",304
"batrachoididae",296
"lutjanidae",276
"haemulidae",274
"cynoglossidae",262
"ophichthidae",203
"goodeidae",201
"acipenseridae",198
"stromateidae",187
"blenniidae",171
"salmonidae",167
"monacanthidae",163
"exocoetidae",154
"ogcocephalidae",151
"ephippidae",142
"macrouridae",139
"scorpaenidae",138
"phycidae",132
"leiognathidae",131
"ophidiidae",131
"hiodontidae",128
"dasyatidae",117
"elopidae",116
"gobiesocidae",116
"polynemidae",115
"diodontidae",108
"scombridae",107
"trichiuridae",102
"pomacentridae",101
"hemiramphidae",100
"percophidae",99
"labridae",95
"ambassidae",84
"engraulidae",79
"lophiidae",78
"sphyraenidae",76
"antennariidae",75
"uranoscopidae",75
"chauliodontidae",72
"mochokidae",72
"heptapteridae",71
"mullidae",71
"carcharhinidae",68
"bothidae",67
"campanulaceae",66
"myctophidae",66
"moridae",63
"scaridae",62
"stomiidae",62
"atherinidae",61
"amphiliidae",60
"merlucciidae",60
"muraenidae",60
"rajidae",60
"balistidae",58
"chlorophthalmidae",54
"apogonidae",49
"coryphaenidae",47
"ostraciidae",45
"congridae",41
"holocentridae",41
"pleuronectidae",41
"",40
"centropomidae",40
"gasterosteidae",40
"squalidae",40
"echeneididae",39
"pomatomidae",38
"chaetodontidae",37
"loricariidae",37
"pseudomugilidae",37
"labrisomidae",34
"chaunacidae",33
"umbridae",33
"callionymidae",32
"acropomatidae",30
"nomeidae",30
"acanthuridae",29
"echeneidae",28
"photichthyidae",28
"scyliorhinidae",28
"epigonidae",26
"polymixiidae",26
"sebastidae",26
"sillaginidae",26
"polyodontidae",25
"setarchidae",25
"embiotocidae",24
"amblyopsidae",23
"alepocephalidae",22
"argentinidae",22
"malacanthidae",22
"alestiidae",21
"lobotidae",21
"melanotaeniidae",21
"nettastomatidae",21
"pomacanthidae",21
"priacanthidae",21
"gymnuridae",20
"toxotidae",20
"trachichthyidae",20
"gempylidae",19
"pholidae",19
"gadidae",18
"stichaeidae",18
"centrolophidae",17
"osmeridae",17
"chimaeridae",16
"drepaneidae",16
"rachycentridae",16
"sternoptychidae",16
"lebiasinidae",15
"synbranchidae",15
"dussumieriidae",14
"kyphosidae",14
"scatophagidae",14
"sphyrnidae",14
"agonidae",13
"distichodontidae",13
"soleidae",13
"zenionidae",13
"caproidae",12
"kuhliidae",12
"narcinidae",12
"triacanthidae",12
"albulidae",11
"clinidae",11
"cyttidae",11
"gonostomatidae",11
"myliobatidae",11
"anablepidae",10
"bryconidae",10
"curimatidae",10
"grammicolepididae",10
"pimelodidae",10
"platycephalidae",10
"synaphobranchidae",10
"ariommatidae",9
"bythitidae",9
"clariidae",9
"drepanidae",9
"neoscopelidae",9
"percopsidae",9
"squatinidae",9
"triakidae",9
"liparidae",8
"nothobranchiidae",8
"rivulidae",8
"triacanthodidae",8
"trichomycteridae",8
"zoarcidae",8
"chaenopsidae",7
"cirrhitidae",7
"gymnotidae",7
"parazenidae",7
"branchiostomatidae",6
"centriscidae",6
"dactyloscopidae",6
"erythrinidae",6
"megalopidae",6
"microdesmidae",6
"zeidae",6
"acanthobatididae",5
"ateleopodidae",5
"aulopidae",5
"bregmacerotidae",5
"halosauridae",5
"hexagrammidae",5
"mastacembelidae",5
"mormyridae",5
"profundulidae",5
"teraponidae",5
"terapontidae",5
"urolophidae",5
