"dwc.preparations","freq"
"whole organism (ethanol)",3626
"whole organism (isopropanol)",3063
"whole organism (formalin-fixed)",1842
"whole organism",214
"fin (alcohol); whole organism (formalin-fixed)",152
"",131
"tissue (DMSO/EDTA)",71
"tissue (95% ethanol)",52
"fin (alcohol); whole organism (formalin-fixed); fin (alcohol)",51
"tissue (DMSO/EDTA); tissue (DMSO/EDTA) sample",43
"fin (alcohol)",37
"fin (alcohol); whole organism (formalin-fixed); fin (alcohol) sample",35
"tissue (DMSO/EDTA); tissue (DMSO/EDTA)",27
"tissue (95% ethanol); whole organism (formalin-fixed)",24
"fin (alcohol); fin (alcohol)",21
"muscle (frozen); whole organism (formalin-fixed)",21
"fin (alcohol); whole organism (formalin-fixed); fin (alcohol); fin (alcohol)",19
"muscle (frozen)",19
"fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol); fin (alcohol)",16
"fin (alcohol); whole organism (ethanol)",16
"fin (alcohol); whole organism (isopropanol)",16
"tissue (DMSO/EDTA) sample",13
"fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol)",11
"tissue (95% ethanol); tissue (95% ethanol) sample",11
"whole organism (formalin-fixed, 70% ethanol); tissue (DMSO/EDTA)",11
"whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol)",10
"whole organism (formalin-fixed); tissue (95% ethanol); tissue (95% ethanol)",10
"whole organism (formalin-fixed); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",10
"tissue (DMSO/EDTA); tissue (DMSO/EDTA); tissue (DMSO/EDTA)",9
"whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",9
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",8
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",8
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",8
"whole organism (formalin-fixed); fin (alcohol); fin (alcohol)",8
"whole organism (formalin-fixed); muscle (frozen); muscle (frozen)",8
"fin (alcohol); whole organism (isopropanol); fin (alcohol)",7
"muscle (frozen); muscle (frozen)",7
"tissue (95% ethanol); tissue (95% ethanol)",7
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",7
"whole organism (formalin-fixed); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",7
"fin (alcohol); fin (alcohol) sample",6
