"Family","Count"
"cottidae",1848
"salmonidae",1385
"stichaeidae",665
"pleuronectidae",630
"sebastidae",607
"zoarcidae",539
"agonidae",526
"liparidae",520
"gadidae",474
"osmeridae",273
"psychrolutidae",225
"hexagrammidae",192
"cyclopteridae",181
"esocidae",180
"gasterosteidae",166
"hemitripteridae",165
"pholidae",124
"petromyzontidae",120
"bathymasteridae",115
"myctophidae",112
"ammodytidae",109
"catostomidae",99
"lotidae",83
"clupeidae",82
"umbridae",81
"bathylagidae",60
"trichodontidae",46
"cyprinidae",45
"anarhichadidae",35
"zaproridae",32
"rajidae",30
"arhynchobatidae",29
"anoplopomatidae",28
"embiotocidae",26
"paralichthyidae",26
"aulorhynchidae",25
"percopsidae",25
"cryptacanthodidae",24
"stomiidae",24
"rhamphocottidae",18
"macrouridae",14
"ptilichthyidae",13
"syngnathidae",13
"gobiidae",12
"icosteidae",11
"scomberesocidae",11
"",9
"chimaeridae",8
"bramidae",7
"gobiesocidae",7
"merlucciidae",7
"myxinidae",5
"pentacerotidae",5
"scopelarchidae",5
"alepisauridae",4
"squalidae",4
"sternoptychidae",4
"clinidae",3
"gonostomatidae",3
"melamphaidae",3
"moridae",3
"acipenseridae",2
"anotopteridae",2
"batrachoididae",2
"blenniidae",2
"carcharhinidae",2
"percidae",2
"sciaenidae",2
"scombridae",2
"scytalinidae",2
"sphyraenidae",2
"trachipteridae",2
"alopiidae",1
"atherinopsidae",1
"carangidae",1
"caristiidae",1
"centrarchidae",1
"ceratiidae",1
"colocongridae",1
"cynoglossidae",1
"doradidae",1
"gempylidae",1
"kyphosidae",1
"labridae",1
"lamnidae",1
"lampridae",1
"mysidae",1
"nemichthyidae",1
"notosudidae",1
"nototheniidae",1
"octopodidae",1
"oedicerotidae",1
"ommastrephidae",1
"oneirodidae",1
"opisthoproctidae",1
"oreosomatidae",1
"rhinobatidae",1
"somniosidae",1
