"Typestatus","Count"
"",10098
"voucher of <a href=""http://arctos.database.museum/name/oligocottus maculosus"">oligocottus maculosus</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",6
"voucher of <a href=""http://arctos.database.museum/name/myoxocephalus scorpius"">myoxocephalus scorpius</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",5
"voucher of <a href=""http://arctos.database.museum/name/sigmistes caulias"">sigmistes caulias</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",5
"voucher of <a href=""http://arctos.database.museum/name/artedius harringtoni"">artedius harringtoni</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",4
"voucher of <a href=""http://arctos.database.museum/name/clinocottus acuticeps"">clinocottus acuticeps</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",4
"voucher of <a href=""http://arctos.database.museum/name/artedius fenestralis"">artedius fenestralis</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",3
"voucher of <a href=""http://arctos.database.museum/name/clinocottus embryum"">clinocottus embryum</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",3
"voucher of <a href=""http://arctos.database.museum/name/gymnocanthus pistilliger"">gymnocanthus pistilliger</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",3
"voucher of <a href=""http://arctos.database.museum/name/clinocottus globiceps"">clinocottus globiceps</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",2
"voucher of <a href=""http://arctos.database.museum/name/enophrys bison"">enophrys bison</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",2
"voucher of <a href=""http://arctos.database.museum/name/hexagrammos lagocephalus"">hexagrammos lagocephalus</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",2
"voucher of <a href=""http://arctos.database.museum/name/limanda aspera"">limanda aspera</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",2
"voucher of <a href=""http://arctos.database.museum/name/myoxocephalus polyacanthocephalus"">myoxocephalus polyacanthocephalus</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",2
"voucher of <a href=""http://arctos.database.museum/name/nautichthys pribilovius"">nautichthys pribilovius</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",2
"voucher of <a href=""http://arctos.database.museum/name/sigmistes smithi"">sigmistes smithi</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",2
"holotype of <a href=""http://arctos.database.museum/name/liparis cathurus"">liparis cathurus</a>, page 24 in <a href=""http://arctos.database.museum/publication/10006469"">vogt, 1973. biological papers of the university of alaska no. 13: 22-27.</a>",1
"voucher of <a href=""http://arctos.database.museum/name/artedius lateralis"">artedius lateralis</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",1
"voucher of <a href=""http://arctos.database.museum/name/atheresthes stomias"">atheresthes stomias</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",1
"voucher of <a href=""http://arctos.database.museum/name/blepsias cirrhosus"">blepsias cirrhosus</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",1
"voucher of <a href=""http://arctos.database.museum/name/boreogadus saida"">boreogadus saida</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",1
"voucher of <a href=""http://arctos.database.museum/name/careproctus reinhardti"">careproctus reinhardti cf.</a> cf. in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",1
"voucher of <a href=""http://arctos.database.museum/name/clinocottus acuticeps"">clinocottus acuticeps</a>, page 808 in <a href=""http://arctos.database.museum/publication/10008279"">buser et al. 2018</a>",1
"voucher of <a href=""http://arctos.database.museum/name/clinocottus embryum"">clinocottus embryum</a>, page 808 in <a href=""http://arctos.database.museum/publication/10008279"">buser et al. 2018</a>",1
"voucher of <a href=""http://arctos.database.museum/name/coregonus sardinella"">coregonus sardinella</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",1
"voucher of <a href=""http://arctos.database.museum/name/dasycottus setiger"">dasycottus setiger</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",1
"voucher of <a href=""http://arctos.database.museum/name/enophrys lucasi"">enophrys lucasi</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",1
"voucher of <a href=""http://arctos.database.museum/name/gadus chalcogrammus"">gadus chalcogrammus</a> in <a href=""http://arctos.database.museum/publication/10008246"">buser and lópez 2015</a>",1
