"dwc.preparations","freq"
"whole organism (70% ethanol)",3143
"whole organism (alcohol)",195
"",123
"whole organism (dry)",23
"egg",6
"skull",6
"body parts (dry)",5
"body parts (ethanol)",5
"scale (dry)",5
"whole organism",5
"whole organism (70% ethanol); whole organism (70% ethanol)",5
"whole organism (isopropanol)",5
"body parts (ethanol); whole organism (70% ethanol)",2
"jaw (dry)",2
"jaw (dry); whole organism (70% ethanol)",2
"skin (dry); skeleton (dry)",2
"skin, mounted",2
"skull; skull sample",2
"unknown",2
"whole organism (70% ethanol); egg",2
"whole organism (70% ethanol); egg case",2
"whole organism (dry); whole organism (70% ethanol)",2
"egg case",1
"media",1
"skeletal element (dry); whole organism (70% ethanol)",1
"skeleton (dry)",1
"tooth; jaw (dry)",1
"whole organism (70% ethanol); body parts (ethanol)",1
