"Family","Count"
"cyprinidae",22803
"centrarchidae",16668
"percidae",9241
"poeciliidae",7957
"fundulidae",7582
"gobiidae",6247
"serranidae",5824
"sciaenidae",5726
"ictaluridae",4787
"carangidae",4605
"catostomidae",3958
"atherinopsidae",3804
"clupeidae",3633
"paralichthyidae",3614
"cichlidae",3156
"haemulidae",3047
"lutjanidae",2878
"pomacentridae",2817
"ophidiidae",2757
"gerreidae",2696
"labridae",2594
"monacanthidae",2533
"syngnathidae",2495
"sparidae",2492
"labrisomidae",2485
"triglidae",2349
"engraulidae",2325
"apogonidae",2308
"characidae",2249
"scaridae",2176
"tetraodontidae",2140
"myctophidae",2130
"synodontidae",2068
"scorpaenidae",1972
"macrouridae",1806
"cyprinodontidae",1786
"achiridae",1746
"mugilidae",1668
"elassomatidae",1564
"ogcocephalidae",1461
"esocidae",1389
"belonidae",1353
"blenniidae",1328
"muraenidae",1308
"aphredoderidae",1289
"holocentridae",1143
"bothidae",1141
"batrachoididae",1081
"ophichthidae",1067
"cynoglossidae",1040
"exocoetidae",939
"carcharhinidae",930
"sternoptychidae",871
"peristediidae",856
"cottidae",823
"eleotridae",808
"loricariidae",801
"acanthuridae",773
"congridae",743
"diodontidae",743
"pomacanthidae",730
"chaetodontidae",726
"rajidae",705
"ariidae",686
"antennariidae",684
"chaenopsidae",671
"gonostomatidae",649
"synaphobranchidae",616
"stomiidae",604
"petromyzontidae",595
"ipnopidae",592
"halosauridae",584
"ostraciidae",584
"lepisosteidae",583
"sphyraenidae",574
"balistidae",569
"hemiramphidae",563
"scombridae",562
"anguillidae",542
"curimatidae",506
"mullidae",500
"phycidae",494
"gobiesocidae",474
"tripterygiidae",467
"moridae",464
"cobitidae",449
"alepocephalidae",432
"nemacheilidae",422
"bythitidae",415
"opistognathidae",415
"chlorophthalmidae",413
"centropomidae",410
"serrasalmidae",382
"priacanthidae",378
"dactyloscopidae",369
"phosichthyidae",366
"uranoscopidae",338
"stromateidae",336
"echeneidae",333
"percophidae",331
"atherinidae",329
"callionymidae",327
"ephippidae",326
"pleuronectidae",317
"callichthyidae",305
"hypopomidae",300
"merlucciidae",300
"salmonidae",299
"elopidae",295
"chaunacidae",294
"etmopteridae",294
"acropomatidae",293
"clariidae",291
"sebastidae",282
"chlopsidae",280
"scyliorhinidae",277
"osphronemidae",274
"heptapteridae",269
"dasyatidae",265
"sphyrnidae",265
"grammatidae",263
"melamphaidae",245
"bagridae",242
"moringuidae",242
"balitoridae",241
"mastacembelidae",239
"coryphaenidae",236
"auchenipteridae",216
"caproidae",214
"trichiuridae",214
"setarchidae",205
"gempylidae",204
"sternopygidae",203
"lebiasinidae",198
"channidae",197
"kyphosidae",196
"pimelodidae",195
"pristigasteridae",193
"gymnotidae",192
"doradidae",190
"nemichthyidae",186
"nettastomatidae",184
"synbranchidae",183
"polynemidae",180
"triakidae",177
"moronidae",176
"crenuchidae",175
"sisoridae",175
"amiidae",174
"nomeidae",171
"pomatomidae",171
"erythrinidae",169
"lophiidae",168
"squalidae",166
"anostomidae",165
"bregmacerotidae",161
"branchiostomatidae",157
"narcinidae",154
"malacanthidae",150
"polymixiidae",149
"argentinidae",147
"acipenseridae",146
"carapidae",144
"apteronotidae",135
"umbridae",128
"iguanodectidae",127
"aulostomidae",124
"epigonidae",117
"zenionidae",116
"ambassidae",115
"aplocheilidae",114
"albulidae",111
"fistulariidae",111
"trichomycteridae",111
"",110
"arhynchobatidae",110
"triportheidae",104
"megalopidae",103
"acestrorhynchidae",102
"dactylopteridae",100
"hemiodontidae",100
"istiophoridae",97
"neoscopelidae",96
"siluridae",96
"stephanoberycidae",94
"cirrhitidae",93
"paralepididae",93
"gasterosteidae",92
"ariommatidae",91
"zenarchopteridae",91
"lobotidae",89
"microdesmidae",88
"triacanthodidae",84
"bramidae",82
"chiasmodontidae",77
"amphiliidae",75
"parazenidae",75
"soleidae",75
"rhamphichthyidae",73
"centriscidae",72
"urotrygonidae",72
"gymnuridae",70
"notacanthidae",70
"zoarcidae",70
"pempheridae",69
"trachichthyidae",69
"grammicolepididae",68
"rhinobatidae",67
"dussumieriidae",66
"melanocetidae",65
"zeidae",65
"myliobatidae",64
"scophthalmidae",64
"amblycipitidae",62
"centrophoridae",59
"evermannellidae",58
"hexanchidae",58
"howellidae",58
"chimaeridae",57
"odontaspididae",57
"aphyonidae",56
"gasteropelecidae",56
"pristolepididae",56
"bathylagidae",55
"scopelarchidae",54
"bryconidae",51
"mochokidae",51
"lamnidae",50
"anoplogastridae",49
"myxinidae",48
"ginglymostomatidae",47
"mormyridae",47
"platytroctidae",47
"prochilodontidae",47
"anabantidae",46
"notopteridae",46
"oneirodidae",46
"xiphiidae",46
"eurypharyngidae",44
"aspredinidae",41
"gadidae",40
"hiodontidae",40
"lotidae",40
"nototheniidae",40
"platycephalidae",38
"rachycentridae",38
"ceratiidae",37
"serrivomeridae",37
"citharidae",33
"embiotocidae",33
"osmeridae",33
"somniosidae",33
"akysidae",32
"melanostomiidae",32
"opisthoproctidae",32
"torpedinidae",32
"liparidae",31
"omosudidae",31
"trachipteridae",30
"centrolophidae",29
"squatinidae",29
"stichaeidae",29
"stylephoridae",29
"cynodontidae",28
"diceratiidae",28
"linophrynidae",28
"pangasiidae",28
"pseudopimelodidae",28
"cetomimidae",27
"goodeidae",27
"kuhliidae",27
