"Continent","Count"
NA,2269
"DZA",8
"ASM",20
"AGO",170
"ATA",1
"ARG",31
"ABW",2
NA,65
"AUS",51
"AUT",23
NA,10578
"BHS",34
"BGD",250
"BRB",265
"BLZ",677
"BEN",48
"BMU",176
"BTN",1
"BOL",1070
NA,1
"BRA",2417
"BRN",9
"MMR",45
"CPV",56
"KHM",165
"CMR",3
"CAN",336
"CYM",1465
"CHL",42
"CHN",31
"COL",5891
"COM",2
"COG",55
"COD",34
"COK",2
"CRI",1111
"HRV",4
"CUB",747
"CUW",12
"DNK",14
"DJI",15
"DMA",15
"DOM",628
"ECU",376
"EGY",2
"SLV",31
"GNQ",224
"FSM",11
"FJI",226
"FRA",25
"GUF",618
"PYF",73
"GAB",316
"DEU",85
"GHA",470
"GRC",6
"GRD",2
"GUM",17
"GTM",529
"GIN",8
"GNB",10
"GUY",308
"HTI",654
"HND",1051
"HKG",27
"ISL",9
"IND",69
"IDN",1691
"IRL",2
"ISR",53
"ITA",89
"CIV",338
"JAM",998
"JPN",64
NA,9
"KEN",4
"KIR",48
"KWT",31
"LAO",31
"LBN",18
NA,958
"LBR",355
"MKD",1
"MDG",4
"MWI",49
"MYS",240
"MLT",1
"MHL",427
"MUS",1
"MEX",2298
NA,9
"MAR",16
"MOZ",3
"MMR",37
"NAM",8
"NPL",1
"NLD",1
NA,276
"NCL",68
"NZL",66
"NIC",648
"NGA",611
"MNP",3
"OMN",3
"PAK",22
"PLW",55
"PAN",3580
"PNG",132
"PER",2466
"PHL",46
"PRT",4
"PRI",1152
"QAT",14
"REU",8
"ROU",1
"RUS",42
"RWA",1
"WSM",1
"STP",317
"SAU",8
"SEN",23
"SYC",1
"SLE",47
"SGP",9
"SLB",1
"SOM",4
"ZAF",17
"KOR",33
"ESP",116
"LKA",81
"SUR",666
"SWE",1
"TWN",161
"TZA",241
"THA",3756
"TGO",16
"TTO",538
"TUN",2
"TUR",3
"UGA",250
"GBR",11
"USA",161596
"URY",18
"VUT",45
"VEN",3720
"VNM",161
NA,22
"VGB",162
NA,5622
"ESH",1
NA,1000
"YEM",2
"ZMB",5
