"dwc.preparations","freq"
"EtOH - 1",60618
"EtOH - 2",24006
"EtOH - 3",14608
"EtOH - 4",10172
"EtOH - 5",7898
"EtOH - 6",6085
"EtOH - 7",4751
"EtOH - 8",4155
"EtOH - 10",3406
"EtOH - 9",3322
"EtOH - 11",2601
"EtOH - 12",2302
"EtOH - 13",1941
"EtOH - 15",1753
"EtOH - 14",1721
"EtOH - 16",1433
"skeleton - 1",1314
"EtOH - 17",1313
"EtOH - 18",1196
"EtOH - 20",1183
"EtOH - 19",1124
"EtOH - 21",1014
"EtOH - 22",920
"EtOH - 23",849
"EtOH - 24",824
"EtOH - 25",801
"EtOH - 26",663
"EtOH - 27",653
"EtOH - 28",632
"EtOH - 30",594
"EtOH - 29",583
"EtOH - 33",529
"EtOH - 31",511
"EtOH - 32",448
"EtOH - 37",445
"EtOH - 35",444
"EtOH - 34",414
"EtOH - 38",411
"EtOH - 36",380
"skeleton - 2",368
"EtOH - 39",358
"EtOH - 40",356
"EtOH - 42",332
"EtOH - 41",331
"EtOH - 44",308
"EtOH - 43",306
"EtOH - 47",282
"EtOH - 50",280
"EtOH - 46",270
"EtOH - 45",264
"EtOH - 49",252
"EtOH - 51",252
"EtOH - 48",245
"EtOH - 52",221
"EtOH - 54",220
"EtOH - 60",216
"EtOH - 53",213
"EtOH - 55",191
"EtOH - 56",188
"EtOH - 59",187
"EtOH - 62",185
"EtOH - 61",184
"EtOH - 58",181
"EtOH - 57",178
"skeleton - 3",175
"EtOH - 68",171
"EtOH - 63",169
"EtOH - 66",154
"EtOH - 72",152
"EtOH - 65",151
"EtOH - 67",151
"EtOH - 69",151
"EtOH - 64",142
"EtOH - 70",136
"EtOH - 71",134
"C&S - 1",126
"EtOH - 73",122
"EtOH - 75",114
"EtOH - 76",114
"EtOH - 78",114
"EtOH - 74",112
"EtOH - 79",110
"EtOH - 84",108
"skeleton - 4",107
"EtOH - 81",105
"EtOH - 100",104
"EtOH - 82",102
"EtOH - 83",102
"EtOH - 77",100
"EtOH - 85",100
"EtOH - 80",98
"EtOH - 86",95
"EtOH - 90",95
"EtOH - 93",93
"EtOH - 92",91
"EtOH - 91",87
"EtOH - 88",86
"EtOH - 94",86
"EtOH - 98",84
"EtOH - 1|skeleton - 1",83
"EtOH - 2|C&S - 1",81
"EtOH - 89",81
"EtOH - 96",80
"EtOH - 103",79
"EtOH - 107",78
"EtOH - 87",75
"EtOH - 109",73
"EtOH - 99",73
"EtOH - 104",71
"EtOH - 102",69
"EtOH - 101",68
"EtOH - 112",66
"EtOH - 3|C&S - 1",66
"EtOH - 108",65
"EtOH - 95",64
"EtOH - 97",63
"skeleton - 5",63
"EtOH - 1|C&S - 1",62
"EtOH - 106",62
