"Family","Count"
"cyprinidae",54234
"percidae",16159
"centrarchidae",15730
"catostomidae",10708
"salmonidae",9948
"poeciliidae",6194
"cottidae",5243
"ictaluridae",4852
"cichlidae",4842
"fundulidae",3618
"characidae",3251
"atherinopsidae",2095
"gobiidae",2050
"clupeidae",1685
"esocidae",1570
"gasterosteidae",1479
"carangidae",1137
"umbridae",1058
"sciaenidae",1051
"petromyzontidae",962
"goodeidae",903
"cyprinodontidae",870
"serranidae",822
"eleotridae",779
"tetraodontidae",758
"pleuronectidae",756
"mugilidae",724
"cobitidae",714
"syngnathidae",700
"bagridae",698
"heptapteridae",686
"loricariidae",666
"engraulidae",656
"sebastidae",644
"labridae",643
"embiotocidae",545
"gerreidae",498
"unknown",490
"lepisosteidae",482
"pomacentridae",469
"haemulidae",456
"paralichthyidae",455
"pangasiidae",453
"lutjanidae",447
"sparidae",440
"stichaeidae",439
"belonidae",434
"siluridae",433
"blenniidae",361
"monacanthidae",355
"sisoridae",346
"serrasalmidae",342
"mastacembelidae",329
"nemacheilidae",328
"myctophidae",327
"apogonidae",320
"cynoglossidae",320
"ariidae",317
"triglidae",316
"aphredoderidae",308
"curimatidae",308
"leiognathidae",290
"hexagrammidae",286
"scaridae",285
"pholidae",283
"scorpaenidae",275
"synodontidae",273
"ambassidae",270
"moronidae",267
"anostomidae",262
"labrisomidae",259
"anguillidae",249
"atherinidae",248
"osmeridae",248
"percopsidae",237
"osphronemidae",234
"chaetodontidae",229
"callichthyidae",223
"achiridae",221
"gobiesocidae",218
"scombridae",217
"lotidae",216
"rivulidae",216
"hemiramphidae",212
"soleidae",211
"mullidae",200
"synbranchidae",199
"crenuchidae",197
"muraenidae",195
"acanthuridae",190
"channidae",190
"pimelodidae",189
"clinidae",186
"batrachoididae",178
"erythrinidae",177
"clariidae",175
"nemipteridae",175
"elassomatidae",172
"bryconidae",169
"platycephalidae",169
"ophichthidae",167
"sphyraenidae",166
"gadidae",160
"lebiasinidae",159
"callionymidae",158
"holocentridae",156
"bothidae",152
"acipenseridae",149
"polynemidae",148
"trichomycteridae",143
"amiidae",139
"hiodontidae",133
"profundulidae",133
"rajidae",129
"ostraciidae",127
"gymnotidae",126
"siganidae",120
"centropomidae",116
"sternopygidae",116
"schilbeidae",115
"kyphosidae",114
"agonidae",109
"pomacanthidae",107
"liparidae",106
"sillaginidae",106
"triakidae",102
"auchenipteridae",101
"dasyatidae",99
"congridae",96
"balitoridae",92
"priacanthidae",90
"pristolepididae",90
"balistidae",89
"exocoetidae",87
"diodontidae",86
"terapontidae",84
"iguanodectidae",82
"zenarchopteridae",81
"acestrorhynchidae",78
"bythitidae",78
"synanceiidae",78
"carcharhinidae",77
"pholididae",77
"hemitripteridae",76
"notopteridae",75
"lethrinidae",74
"pinguipedidae",73
"zoarcidae",73
"akysidae",71
"gonostomatidae",71
"ophidiidae",71
"adrianichthyidae",70
"echeneidae",70
"ephippidae",70
"amblycipitidae",67
"hemiodontidae",67
"uranoscopidae",67
"hypopomidae",66
"plotosidae",66
"mormyridae",64
"stomiidae",64
"homalopteridae",63
"stromateidae",62
"squalidae",61
"triportheidae",59
"gasteropelecidae",58
"anabantidae",57
"antennariidae",56
"bedotiidae",55
"phycidae",55
"zeidae",55
"doradidae",53
"elopidae",53
"lateolabracidae",53
"trichiuridae",53
"apteronotidae",52
"claroteidae",52
"cyclopteridae",52
"pristigasteridae",51
"acropomatidae",49
"amblyopsidae",49
"cottocomephoridae",49
"sternoptychidae",49
"dussumieriidae",48
"fistulariidae",48
"mochokidae",48
"oplegnathidae",48
"rhinobatidae",48
"aplocheilidae",46
"aspredinidae",46
"percichthyidae",46
"ammodytidae",45
"salangidae",45
"belontiidae",44
"pomatomidae",44
"psychrolutidae",44
"phosichthyidae",42
"prochilodontidae",42
"nandidae",41
"ogcocephalidae",41
"erethistidae",39
"malacanthidae",39
"abyssocottidae",37
"muraenesocidae",37
"psilorhynchidae",37
"caesionidae",35
"triacanthidae",35
"tripterygiidae",35
"gyrinocheilidae",34
"lophiidae",34
"scatophagidae",34
"toxotidae",34
"albulidae",33
"alestidae",33
"anablepidae",33
"parodontidae",33
"potamotrygonidae",33
"branchiostomatidae",32
"chaenopsidae",32
"scophthalmidae",32
"galaxiidae",30
"astroblepidae",29
"megalopidae",29
"myliobatidae",29
"plecoglossidae",29
"pseudochromidae",29
"tetrarogidae",29
"cepolidae",28
"coryphaenidae",28
"drepaneidae",28
"engraulididae",28
"macrouridae",27
"melamphaidae",27
"urolophidae",27
"gymnuridae",26
"myxinidae",26
"polyodontidae",25
"argentinidae",24
"chimaeridae",24
"latidae",23
"merlucciidae",23
"scyliorhinidae",23
"cheilodactylidae",22
"cirrhitidae",22
"curculionidae",22
"sphyrnidae",22
"badidae",21
"centriscidae",21
"hemiscylliidae",21
"psettodidae",21
"russulaceae",21
"aulopidae",20
"dactylopteridae",20
"kuhliidae",20
"chirocentridae",19
"dactyloscopidae",19
"scombropidae",19
"squatinidae",19
"centrolophidae",18
"eleotrididae",18
"opistognathidae",18
"perciliidae",18
"rhamphichthyidae",18
"trichodontidae",18
"chanidae",17
"ctenoluciidae",17
"datnioididae",17
"hapalogenyidae",17
"moringuidae",17
"anoplopomatidae",16
"amphiliidae",15
"distichodontidae",15
"nototheniidae",15
"olyridae",15
"plesiopidae",15
"aulostomidae",14
"hypoptychidae",14
"monodactylidae",14
"pempheridae",14
"phallostethidae",14
"rachycentridae",14
"bathymasteridae",13
"cetopsidae",13
"cynodontidae",13
"monocentridae",13
"anarhichadidae",12
"aploactinidae",12
"bramidae",12
"comephoridae",12
"cryptacanthodidae",12
"menidae",12
"polycentridae",12
"aulorhynchidae",11
"carapidae",11
"microdesmidae",11
"narcinidae",11
"scomberesocidae",11
"chilodontidae",10
"diplomystidae",10
"hoplichthyidae",10
"pseudopimelodidae",10
"zanclidae",10
"arhynchobatidae",9
"ginglymostomatidae",9
"heterodontidae",9
"lobotidae",9
"moridae",9
"nemichthyidae",9
"nothobranchiidae",9
"paralepididae",9
"polyprionidae",9
"torpedinidae",9
"aracanidae",8
"helostomatidae",8
"odontobutidae",8
"peristediidae",8
"scytalinidae",8
"trachichthyidae",8
"zaproridae",8
"apionidae",7
"arapaimidae",7
"ariommatidae",7
"bregmacerotidae",7
"chlopsidae",7
"etmopteridae",7
"hepsetidae",7
"heteropneustidae",7
"malapteruridae",7
"nomeidae",7
"parabembridae",7
"pegasidae",7
"trachinidae",7
"bembridae",6
"caproidae",6
"chlorophthalmidae",6
"derichthyidae",6
"drepanidae",6
"evermannellidae",6
"gempylidae",6
"lamnidae",6
"pentacerotidae",6
"polymixiidae",6
"synaphobranchidae",6
"centracanthidae",5
"citharinidae",5
"geotriidae",5
"hemigaleidae",5
"melanotaeniidae",5
"osteoglossidae",5
"polypteridae",5
"pseudomugilidae",5
"valenciidae",5
"alepisauridae",4
"banjosidae",4
"bathylagidae",4
"berycidae",4
"chacidae",4
"champsodontidae",4
"chaudhuriidae",4
"citharidae",4
"indostomidae",4
"isonidae",4
"istiophoridae",4
"lepidosirenidae",4
"ophichidae",4
"protopteridae",4
"retropinnidae",4
"rhamphocottidae",4
"serrivomeridae",4
"stegostomatidae",4
"trachipteridae",4
"anchariidae",3
"centrophoridae",3
"ceratiidae",3
"cranoglanididae",3
"cynolebiidae",3
"emmelichthyidae",3
"galeorhinidae",3
"gymnarchidae",3
"hexanchidae",3
"kneriidae",3
"kurtidae",3
"molidae",3
"narkidae",3
"nettastomatidae",3
"oneirodidae",3
"pristidae",3
"schindleriidae",3
"scoloplacidae",3
"serpenticobitidae",3
"telmatherinidae",3
"urotrygonidae",3
"alepocephalidae",2
"anoplogastridae",2
"bovichtidae",2
"callanthiidae",2
"channichthyidae",2
"eleginopsidae",2
"ereuniidae",2
"eurypharyngidae",2
"gonorynchidae",2
"grammatidae",2
"howellidae",2
"latimeriidae",2
"latrididae",2
"macroramphosidae",2
"mordaciidae",2
"neoscopelidae",2
"notocheiridae",2
"notosudidae",2
"percophidae",2
"platytroctidae",2
"pristiophoridae",2
"proscyllidae",2
"somniosidae",2
"symphysanodontidae",2
"teraponidae",2
"triacanthodidae",2
"vaillantellidae",2
"xenisthmidae",2
"alopiidae",1
"anthiinae",1
"aplodactylidae",1
"arripidae",1
"barbuccidae",1
"bathyclupeidae",1
"caristiidae",1
"centrogenyidae",1
"chaunacidae",1
"chiasmodontidae",1
"creediidae",1
"dalatiidae",1
"dentatherinidae",1
"echeneididae",1
"ellopostomatidae",1
"enoplosidae",1
"ephippididae",1
"heterenchelyidae",1
"hypophthalmidae",1
"hypopomydae",1
"icosteidae",1
"idiacanthidae",1
"lacantuniidae",1
"lampridae",1
"microstomatidae",1
"molgulidae",1
"nematistiidae",1
"nematogenyidae",1
"normanichthyidae",1
"notacanthidae",1
"odontaspididae",1
"orectolobidae",1
"oxudercinae",1
"parakysidae",1
"paralepidadae",1
"photichthyidae",1
"phractolaemidae",1
"platyrhinidae",1
"plecostominae",1
"pseudaphritidae",1
"ptilichthyidae",1
"rhincodontidae",1
"samaridae",1
"scopelarchidae",1
"setarchidae",1
"solenostomidae",1
"taeniophoridae",1
"tetragonuridae",1
"trichonotidae",1
"veliferidae",1
