"Typestatus","Count"
"",183875
"paratypes",1625
"paratypes **",1250
"paratype",686
"holotype",402
"paratypes *",338
"paratopotypes",151
"paratype *",75
"paratype **",53
"holotype *",45
"holotype **",35
"syntype",35
"allotype",32
"paratopotype",32
"paratypes of *",27
"paralectotype*",24
"syntypes",19
"paratopotypes*",17
"paratype of *",17
"syntype *",12
"syntype **",12
"syntypes *",10
"cotype",7
"lectotype",7
"paralectotypes",7
"cotypes",6
"neotype",6
"paralectotype",6
"syntypes **",6
"see remarks",5
"paratopotype *",4
"lectotype *",3
"syntype of *",3
"cotypes *",2
"neotype of **",2
"allotype *",1
"cotype **",1
"cotype = *",1
"cotype of *",1
"holotype of *",1
"holotypes",1
"neotype **",1
"paratypes ***",1
