"Continent","Count"
NA,275
NA,10
"DZA",2
"AGO",1
"ATG",1
"ARG",76
NA,1
NA,1
NA,3
"AUS",136
"AUT",1
NA,279
"BHS",24
NA,2
NA,2
"BGD",824
"BEL",9
"BLZ",554
NA,1
"BMU",868
NA,3
"BOL",1279
NA,9
"BRA",1215
"SLB",3
NA,3
"BGR",23
"MMR",2
"BDI",46
"BDI",1
"KHM",1783
"CMR",23
"CAN",4033
NA,1
NA,1
NA,1
"CYM",26
"CYM",1
NA,1
"CHL",262
NA,1
"CHN",480
"CCK",12
"COL",160
NA,2
"COM",1
"COM",2
"COG",9
"CRI",504
"CUB",188
NA,24
NA,1
"DNK",2
"DOM",57
"ECU",78
"EGY",98
"SLV",54
NA,1
"ETH",17
"FLK",4
"FJI",6
"FIN",3
"TWN",1
"FRA",51
NA,2
"GUF",4
NA,1
"GAB",1
NA,2
"GMB",97
NA,2
"DEU",10
"GHA",36
"GRC",6
"GRL",93
"GTM",2730
"GTM",2
NA,44
"GUY",1234
"GUY",1
"HTI",78
NA,124
NA,4
"HND",951
"HKG",2
"HUN",1
"IND",432
"IDN",769
NA,1
"IRN",10
"IRQ",2
"IRL",1
"ISR",2
"ITA",155
"JAM",15
"JPN",5641
NA,250
NA,2
NA,2
NA,1
"KEN",8
"KOR",257
"KWT",2
"LAO",1584
NA,1
NA,2
NA,74
"LBN",3
NA,17
"LBR",1
"MDG",1428
"MWI",66
NA,2
NA,1
"MYS",234
"MNP",7
"MNP",5
"MNP",636
"MNP",1
NA,2
"MHL",10
"MTQ",2
NA,2
"MEX",10395
NA,48
"MMR",59
NA,1
"NPL",6
"NLD",127
NA,21
"NCL",2
"PNG",7
"VUT",1
"MEX",2
"NZL",18
NA,1
"NIC",190
NA,557
NA,2
"NOR",114
"OMN",11
NA,7
NA,1
"PAK",30
"PAN",443
"PNG",1
"PNG",7
"PRY",2807
"PER",300
NA,1
NA,7
NA,415
"PHL",176
"POL",18
"CHN",3
NA,1
"PRI",709
NA,1
"ROU",184
"RUS",58
"RUS",1
NA,1
NA,2
NA,1
NA,3
NA,1
"SEN",49
"SRB",1
"SYC",1
"THA",5
NA,2
"SLE",15
"SGP",12
NA,1
"SLB",2
"SOM",1
"SOM",1
"ZAF",4
"SGS",1
"KOR",11
NA,1
"ESP",10
"LKA",3
"SDN",1
NA,169
"SUR",30
"SUR",243
"SWE",19
"PYF",3
"TWN",274
"TZA",28
NA,2
NA,1
"THA",5338
"THA",1
NA,8
"TTO",9
"TTO",2
"TUN",2
"TUR",11
"UGA",87
"UKR",1
"GBR",8
"USA",130190
"BFA",1
"URY",19
"RUS",125
NA,33
"UZB",2
"VUT",1
"VEN",701
NA,2
"VNM",3157
NA,6
NA,1
NA,1
NA,1
NA,2
NA,3
NA,1
NA,4
"COD",15
"ZMB",886
"ZWE",1
