"dwc.preparations","freq"
"",350342
"Polyester",13796
"Unknown",11468
"Film",9716
"Photograph",8044
"Dry Osteological Specimen",5227
"Acetate",4413
"Radiograph",2870
"Illustration",2445
"Glycerin with Bone Stain",2345
"Glycerin with Cartilage Stain",2066
"Hardcopy photograph on file",1522
"Glycerin with Bone and Cartilage Stain",1427
"Polyester; Radiograph Note Paper",1035
"Dry Osteological Specimen; Specimen Notes",1008
"Jar Label",815
"ETOH FIXED",688
"ETOH FIXED; Photograph",453
"Larvae",447
"Acetate; Radiograph Note Paper",440
"Digital photograph on file",414
"Alcohol",300
"Photograph; Radiograph",272
"Tissue sample",233
"Photograph; ETOH FIXED",155
"Illustration; Radiograph",123
"Acetate; Polyester",122
"Scanning Electron Microphotograph",114
"Otolith",111
"Glycerin with Bone Stain; Radiograph",99
"Radiograph; Illustration",91
"Radiograph; Photograph",89
"Glycerin with Nerve Stain",85
"Histological Slide",84
"Dry Osteological Specimen; Alcohol",65
"Unknown; Illustration",60
"Unknown; Radiograph",55
"Scanning Electron Microscope Stub",54
"Glycerin with Cartilage Stain; Radiograph",53
"Illustration; Photograph; Radiograph",52
"Polyester; Acetate",49
"Illustration; Photograph",48
"Transparency",47
"Dry Osteological Specimen; Photograph",43
"Glycerin with Bone Stain; Illustration",36
"Larvae; Photograph",35
"Dry Osteological Specimen; Illustration",32
"Glycerin with Cartilage Stain; Illustration",32
"Dry Osteological Specimen; Glycerin with Bone Stain",27
"photograph",25
"Glycerin with Bone Stain; Glycerin with Cartilage Stain",24
"Illustration; Radiograph; Photograph",22
"Glycerin with Bone Stain; Glycerin with Bone and Cartilage Stain",20
"Glycerin with Bone Stain; Alcohol",19
"Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",19
"Glycerin with Cartilage Stain; Alcohol",17
"Radiograph; Alcohol",17
"Dry Osteological Specimen; Ledger Image",15
"Glycerin with Bone and Cartilage Stain; Radiograph",15
"Glycerin with Bone Stain; Glycerin with Bone Stain",14
"Glycerin with Bone and Cartilage Stain; Illustration",13
"Glycerin with Cartilage Stain; Scanning Electron Microphotograph",13
"Transparency; Transparency sleeve",13
"Dry Osteological Specimen; Illustration; Specimen Notes",12
"Glycerin with Cartilage Stain; Glycerin with Bone and Cartilage Stain",12
"Unknown; Hardcopy photograph on file",12
"Wet Osteological Specimen",11
"Dry Osteological Specimen; Alcohol; Illustration",10
