"Family","Count"
"cyprinidae",27539
"gobiidae",24604
"pomacentridae",15973
"labridae",14012
"blenniidae",12898
"apogonidae",11839
"myctophidae",11701
"serranidae",10415
"characidae",9450
"centrarchidae",7445
"percidae",7414
"stomiidae",7273
"holocentridae",5925
"muraenidae",5803
"scaridae",5218
"catostomidae",5091
"carangidae",5032
"chaetodontidae",4958
"scorpaenidae",4923
"lutjanidae",4773
"acanthuridae",4751
"clupeidae",4719
"cichlidae",4614
"synodontidae",3981
"salmonidae",3967
"haemulidae",3916
"mullidae",3840
"tetraodontidae",3681
"cottidae",3630
"syngnathidae",3625
"poeciliidae",3538
"ictaluridae",3451
"paralichthyidae",3298
"scombridae",2865
"engraulidae",2842
"tripterygiidae",2741
"sciaenidae",2733
"labrisomidae",2596
"congridae",2582
"fundulidae",2534
"eleotridae",2524
"exocoetidae",2520
"pseudochromidae",2519
"monacanthidae",2405
"sparidae",2279
"ophichthidae",2220
"pleuronectidae",2217
"hemiramphidae",2214
"ariidae",2121
"pomacanthidae",2060
"belonidae",2024
"bothidae",1978
"curimatidae",1971
"balistidae",1968
"carcharhinidae",1948
"loricariidae",1878
"atherinopsidae",1837
"lethrinidae",1776
"atherinidae",1676
"macrouridae",1632
"nemipteridae",1613
"melamphaidae",1604
"siganidae",1568
"bythitidae",1535
"cynoglossidae",1523
"ophidiidae",1465
"chaenopsidae",1408
"sebastidae",1405
"gobiesocidae",1346
"gonostomatidae",1336
"mugilidae",1302
"sternoptychidae",1276
"scyliorhinidae",1265
"zoarcidae",1251
"gerreidae",1194
"antennariidae",1170
"platycephalidae",1164
"cirrhitidae",1150
"rajidae",1139
"callionymidae",1063
"batrachoididae",1042
"echeneidae",1022
"heptapteridae",964
"gasterosteidae",911
"cyprinodontidae",909
"",895
"ogcocephalidae",894
"pimelodidae",873
"pinguipedidae",868
"nototheniidae",849
"esocidae",836
"ostraciidae",835
"triglidae",835
"anguillidae",816
"anostomidae",811
"gempylidae",811
"caesionidae",809
"soleidae",804
"lebiasinidae",790
"achiridae",774
"crenuchidae",773
"terapontidae",759
"stichaeidae",755
"callichthyidae",727
"leiognathidae",719
"apteronotidae",713
"plotosidae",701
"serrasalmidae",701
"ambassidae",696
"plesiopidae",682
"chlopsidae",679
"acropomatidae",675
"liparidae",667
"microdesmidae",661
"paralepididae",661
"merlucciidae",659
"phosichthyidae",656
"moridae",639
"ephippidae",635
"sternopygidae",631
"priacanthidae",629
"agonidae",616
"doradidae",601
"gadidae",590
"cobitidae",569
"moringuidae",566
"petromyzontidae",550
"clinidae",548
"diodontidae",546
"fistulariidae",546
"synaphobranchidae",527
"uranoscopidae",508
"triakidae",507
"pempheridae",504
"dasyatidae",496
"zenarchopteridae",496
"sphyraenidae",494
"branchiostomatidae",493
"embiotocidae",487
"bagridae",480
"erythrinidae",466
"alepocephalidae",460
"etmopteridae",454
"auchenipteridae",418
"pholidae",417
"hexagrammidae",414
"alestidae",413
"gasteropelecidae",405
"peristediidae",403
"centropomidae",401
