"Typestatus","Count"
"",405247
"paratype",11823
"type",2649
"holotype",2284
"syntype",621
"cotype",540
"paralectotype; syntype",330
"lectotype; syntype",153
"paralectotype",142
"lectotype",99
"syntype; paralectotype",79
"paratype; paratype",56
"neotype",53
"ms",30
"syntype; lectotype",30
"ms paratype",23
"allotype",10
"paralectotype; paralectotype",9
"paralectotype; type",9
"holotype; holotype",7
"holotype; paratype",7
"unconfirmed paratype",7
"lectotype; type",6
"paralectotype; cotype",6
"unconfirmed type",6
"syntype; syntype",5
"unconfirmed holotype",5
"ms paratype; paratype",4
"neotype; paratype",4
"paratopotype",4
"paratype; cotype",4
"type; holotype",4
"type; type",4
"ms paralectotype",3
"paralectotype; paralectotype; syntype",3
"cotype; cotype",2
"cotype; paratype",2
"lectotype; lectotype",2
"lectotype; lectotype; syntype",2
"ms holotype",2
"ms holotype; paratype",2
"ms lectotype",2
"ms paralectotype; syntype",2
"neotype; type",2
"paralectotype; syntype; holotype",2
"paralectotype; syntype; paratype",2
"paralectotype; syntype; syntype",2
"paratype; holotype",2
"paratype; ms",2
"holotype; cotype",1
"holotype; neotype",1
"holotype; paralectotype",1
"holotype; paralectotype; syntype",1
"holotype; type",1
"holotype; type; holotype",1
"lectotype; paralectotype; syntype",1
"lectotype; syntype; paralectotype",1
"ms holotype; holotype",1
"ms lectotype; syntype",1
"ms paratype; syntype",1
"ms; paratype",1
"neotype; neotype",1
"neotype; syntype",1
"paratype; paralectotype",1
"paratype; paratype; paratype; paratype",1
"paratype; syntype",1
"paratype; type",1
"syntype; lectotype; neotype",1
"syntype; ms lectotype",1
"syntype; syntype; ms lectotype",1
"syntype; type",1
"type; lectotype",1
"type; paratype",1
