"Continent","Count"
NA,31377
"AFG",14
"DZA",33
"ASM",1261
"ASM",107
"AGO",225
"AIA",100
"ATA",722
"ATG",216
"ARG",612
"ARM",2
"ABW",41
NA,237
"AUS",6706
"AUT",2
"AZE",2
NA,208
"BHS",2687
"BHR",452
NA,46
"BGD",69
"BRB",253
"BEL",15
"BLZ",4604
"BEN",32
"BMU",15431
"BOL",975
NA,177
"BIH",5
"BWA",76
"BVT",4
"BRA",11451
"IOT",1195
"BRN",784
"BGR",13
"BFA",3
"CPV",286
"KHM",16
"CMR",934
"CAN",2219
NA,57
NA,9
"CYM",47
"CAF",49
"TCD",1
"CHL",1097
"CHN",2988
"CXR",13
NA,110
"CCK",27
"COL",3793
"COM",259
"COG",73
"COD",285
"COK",150
"CRI",902
"CIV",118
"HRV",10
"CUB",3016
"CUW",1918
"CYP",1
NA,11
"DNK",43
"DJI",47
"DMA",1219
"DOM",283
NA,1
"TLS",2
NA,234
"ECU",1011
"EGY",2802
"SLV",1559
NA,2
"GNQ",3
"ERI",863
"EST",1
"ETH",9
"FLK",51
"FRO",3
"FJI",5011
"FRA",141
NA,1
"GUF",866
"PYF",9243
"ATF",14
"GAB",241
NA,1113
"GMB",32
"DEU",56
"GHA",1019
"GIB",2
"GRC",61
"GRL",152
"GRD",51
"GLP",62
"GUM",1490
"GTM",1169
"GIN",262
"GNB",68
"GUY",2060
"HTI",631
NA,4
"HND",393
"HKG",81
NA,185
"ISL",11
"IND",1931
NA,2
"IDN",12354
NA,3
NA,79
"IRN",210
"IRQ",3
"IRL",9
"ISR",455
"ITA",649
"JAM",627
"JPN",6786
NA,153
NA,48
NA,302
"JOR",3
"KAZ",9
"KEN",571
NA,11
NA,30
NA,6
"KIR",2428
"KOR",43
"KWT",141
"KGZ",1
"LAO",62
"LBN",1107
"LBR",859
"LBY",4
"MDG",1194
NA,46
"MWI",850
"MYS",2402
NA,12
"MDV",311
"MLI",68
NA,14
NA,196
"MHL",5535
"MTQ",29
"MRT",29
"MUS",3765
"MYT",179
"MEX",5986
NA,2445
"PLW",6
NA,60
"MCO",1
"MNG",64
"MNE",29
"MSR",4
"MAR",206
"MOZ",398
"MMR",1829
"NAM",23
"NRU",1
NA,787
"NPL",36
"NLD",3
NA,802
"NCL",1959
"NZL",671
"NIC",911
"NER",51
"NGA",636
"NIU",13
"NFK",34
"PRK",1
"VNM",1
"MNP",378
"NOR",266
"OMN",474
"PAK",413
"PLW",1858
NA,75
"PAN",10135
"PNG",7531
"PRY",1012
"PER",5531
NA,10
"PHL",45561
NA,1
"PCN",105
"POL",1
"PRT",68
"PRI",1
"REU",101
"ROU",299
"RUS",1021
"SHN",94
"KNA",33
"LCA",154
NA,15
"VCT",69
NA,1
"WSM",939
NA,2
"STP",6
"SAU",764
"SAU",1
"SEN",111
"SYC",2558
"SLE",336
"SGP",244
NA,270
"SLB",5843
NA,117
"SOM",1002
"ZAF",837
"SGS",384
"KOR",247
NA,42
NA,16
"VNM",10
"ESP",61
"LKA",2688
"SDN",418
"SUR",2309
"SJM",2
"SWE",61
"CHE",72
"SYR",12
"TWN",3651
"TJK",2
"TZA",320
"THA",2545
"TGO",501
"TKL",253
"TON",4595
"TTO",2086
NA,20
"TUN",335
"TUR",95
NA,1
"TCA",739
"TUV",29
"UGA",11
"UKR",29
"ARE",25
"GBR",201
"USA",110604
"URY",210
"VUT",4318
"VEN",5505
"VNM",182
"VNM",1
NA,87
"VIR",261
"VGB",149
NA,33
"WLF",1144
"ESH",4
"YEM",90
NA,82
"ZMB",97
"ZWE",3
