"dwc.scientificName","freq"
"Phenacobius mirabilis",19
"Pimephales vigilax",17
"Gambusia affinis",15
"Lepomis cyanellus",15
"Cyprinella lutrensis",14
"Notropis volucellus",12
"Dorosoma cepedianum",11
"Micropterus salmoides",11
"Notropis maculatus",10
"Notropis atherinoides",9
"Percina caprodes",9
"Etheostoma nigrum",8
"Lepomis megalotis",8
"Fundulus notatus",7
"Ictalurus punctatus",7
"Labidesthes sicculus",7
"Notropis cornutus",5
"Notropis lutrensis",5
"Lepomis macrochirus",4
"Noturus exilis",4
"Cyprinus carpio",3
"Hybopsis amblops",3
"Moxostoma erythrurum",3
"Notropis rubellus",3
"Actinopterygii",2
"Carpiodes carpio",2
"Cyprinella venusta",2
"Noturus flavus",2
"Noturus miurus",2
"Pimephales notatus",2
"Ameiurus melas",1
"Campostoma anomalum",1
"Cichlasoma cyanoguttatum",1
"Clinostomus funduloides",1
"Etheostoma spectabile",1
"Etheostoma zonale",1
"Fundulus kansae",1
"Fundulus sciadicus",1
"Fundulus zebrinus",1
"Hybopsis aestivalis",1
"Hybopsis dissimilis",1
"Lepisosteus osseus",1
"Lepomis humilis",1
"Morone chrysops",1
"Moxostoma congestum",1
"Notropis boops",1
"Notropis emiliae",1
"Notropis umbratilis",1
"Percina phoxocephala",1
"Phenacobius uranops",1
"Pomoxis annularis",1
