"Family","Count"
"cyprinidae",5540
"centrarchidae",1906
"percidae",1816
"sciaenidae",1372
"catostomidae",1256
"clupeidae",649
"ictaluridae",638
"cottidae",437
"macrouridae",406
"myctophidae",395
"stomiidae",392
"",387
"fundulidae",375
"engraulidae",374
"ophidiidae",372
"gobiidae",367
"zoarcidae",367
"moronidae",346
"paralichthyidae",343
"syngnathidae",332
"gonostomatidae",320
"atherinopsidae",289
"ipnopidae",276
"carangidae",273
"merlucciidae",260
"stichaeidae",245
"synaphobranchidae",245
"sternoptychidae",225
"anguillidae",211
"esocidae",208
"aphredoderidae",172
"serranidae",168
"rajidae",165
"blenniidae",161
"cynoglossidae",161
"batrachoididae",160
"halosauridae",147
"melamphaidae",145
"phycidae",140
"salmonidae",138
"acipenseridae",134
"liparidae",134
"petromyzontidae",134
"alepocephalidae",125
"triglidae",122
"belonidae",115
"sparidae",112
"trichiuridae",110
"echeneidae",108
"moridae",108
"poeciliidae",102
"carcharhinidae",97
"nemichthyidae",95
"derichthyidae",91
"haemulidae",90
"serrivomeridae",85
"phosichthyidae",83
"gymnuridae",79
"synodontidae",78
"monacanthidae",77
"etmopteridae",76
"hemiramphidae",75
"gobiesocidae",74
"peristediidae",73
"umbridae",73
"scombridae",72
"stromateidae",72
"labridae",70
"pholidae",70
"tetraodontidae",69
"ophichthidae",68
"mugilidae",66
"chlorophthalmidae",65
"pleuronectidae",65
"ogcocephalidae",64
"centrophoridae",62
"amiidae",61
"lepisosteidae",61
"achiridae",60
"callionymidae",56
"notacanthidae",54
"sebastidae",52
"acropomatidae",51
"cyprinodontidae",51
"exocoetidae",51
"lotidae",50
"lutjanidae",50
"bathysauridae",49
"gasterosteidae",49
"scyliorhinidae",45
"bathylagidae",44
"congridae",41
"diodontidae",41
"gadidae",41
"uranoscopidae",41
"gerreidae",38
"gempylidae",37
"istiophoridae",37
"eurypharyngidae",36
"paralepididae",36
"chiasmodontidae",34
"lophiidae",34
"pomatomidae",34
"trachichthyidae",34
"epigonidae",33
"ammodytidae",32
"ephippidae",32
"sphyraenidae",32
"psychrolutidae",29
"platytroctidae",28
"agonidae",27
"priacanthidae",27
"chimaeridae",26
"hemitripteridae",26
"scorpaenidae",26
"somniosidae",26
"chaetodontidae",24
"lamnidae",24
"nototheniidae",24
"polymixiidae",24
"carapidae",23
"dasyatidae",23
"balistidae",22
"bothidae",22
"myliobatidae",22
"nettastomatidae",22
"melanocetidae",21
"ostraciidae",21
"sphyrnidae",21
"anarhichadidae",20
"myxinidae",20
"pomacentridae",20
"antennariidae",19
"centriscidae",19
"zaproridae",19
"elopidae",18
"mullidae",18
"oneirodidae",18
"scophthalmidae",18
"stephanoberycidae",18
"alepisauridae",17
"scaridae",17
"argentinidae",16
"chaunacidae",16
"dussumieriidae",16
"squalidae",16
"anoplogastridae",15
"cichlidae",15
"rachycentridae",15
"squatinidae",15
"ariommatidae",14
"caproidae",14
"ceratiidae",14
"fistulariidae",14
"pomacanthidae",14
"zeidae",14
"acanthuridae",13
"characidae",13
"coryphaenidae",13
"cryptacanthodidae",13
"cyclopteridae",13
"ariidae",12
"bregmacerotidae",12
"hexagrammidae",12
"rhinochimaeridae",12
"aphyonidae",11
"bathymasteridae",11
"holocentridae",11
"muraenidae",11
"apogonidae",10
"evermannellidae",10
"hiodontidae",10
"triakidae",10
"arhynchobatidae",9
"bythitidae",9
"dactylopteridae",9
"malacanthidae",9
"nomeidae",9
"polynemidae",9
"howellidae",8
"nemipteridae",8
"neoscopelidae",8
"scopelarchidae",8
"atherinidae",7
"callichthyidae",7
"channichthyidae",7
"cobitidae",7
"hexanchidae",7
"megalopidae",7
"molidae",7
"odontaspididae",7
"polypteridae",7
"regalecidae",7
"tripterygiidae",7
"alopiidae",6
"chaenopsidae",6
"elassomatidae",6
"eleotridae",6
"grammicolepididae",6
"heptapteridae",6
"lobotidae",6
"omosudidae",6
"osmeridae",6
"torpedinidae",6
"centrolophidae",5
"channidae",5
"embiotocidae",5
"giganturidae",5
"leiognathidae",5
"melanonidae",5
"nemacheilidae",5
"polyodontidae",5
"ptilichthyidae",5
"scomberesocidae",5
"setarchidae",5
"albulidae",4
"amblyopsidae",4
"bramidae",4
"cetomimidae",4
"doradidae",4
"labrisomidae",4
"loricariidae",4
"parazenidae",4
"percophidae",4
"rondeletiidae",4
"thaumatichthyidae",4
"zenionidae",4
"aulorhynchidae",3
"chlopsidae",3
"dactyloscopidae",3
"diceratiidae",3
"diretmidae",3
"gymnarchidae",3
"kyphosidae",3
"linophrynidae",3
"microstomatidae",3
"notosudidae",3
"opisthoproctidae",3
"platycephalidae",3
"serrasalmidae",3
"soleidae",3
"terapontidae",3
"anostomidae",2
"anotopteridae",2
"arapaimidae",2
"aspredinidae",2
"ateleopodidae",2
"aulopidae",2
"chanidae",2
"dalatiidae",2
"gasteropelecidae",2
"gigantactinidae",2
"gymnotidae",2
"lateolabracidae",2
"latimeriidae",2
"melanotaeniidae",2
"mochokidae",2
"narcinidae",2
"notopteridae",2
"opistognathidae",2
"osphronemidae",2
"osteoglossidae",2
"parabrotulidae",2
"pholidichthyidae",2
"plecoglossidae",2
"polyprionidae",2
"pristigasteridae",2
"protopteridae",2
"pseudocarchariidae",2
"rhamphocottidae",2
"rhinobatidae",2
"saccopharyngidae",2
"sillaginidae",2
"siluridae",2
"synbranchidae",2
"triacanthodidae",2
"xiphiidae",2
