"dwc.scientificName","freq"
"Nocomis leptocephalus",528
"Lepomis auritus",406
"Micropogonias undulatus",376
"Etheostoma flabellare",366
"Campostoma anomalum",354
"Noturus insignis",340
"Anchoa mitchilli",334
"Luxilus cornutus",334
"Lepomis macrochirus",314
"Clinostomus funduloides",298
"Hypentelium nigricans",289
"Cyprinella analostana",270
"Catostomus commersonii",264
"Thoburnia rhothoeca",260
"Rhinichthys cataractae",252
"Brevoortia tyrannus",247
"Leiostomus xanthurus",246
"Etheostoma olmstedi",244
"Rhinichthys atratulus",239
"Notropis procne",233
"Etheostoma nigrum",232
"Lythrurus ardens",228
"Semotilus corporalis",225
"Gobiosoma bosc",213
"Anguilla rostrata",211
"Chrosomus oreas",209
"Morone saxatilis",203
"Lepomis gibbosus",191
"Ambloplites rupestris",187
"",181
"Micropterus dolomieu",178
"Aphredoderus sayanus",172
"Exoglossum maxillingua",167
"Semotilus atromaculatus",166
"Notemigonus crysoleucas",158
"Nocomis micropogon",155
"Notropis rubellus",153
"Merluccius bilinearis",149
"Notropis hudsonius",146
"Cyclothone",144
"Micropterus salmoides",144
"Menidia menidia",140
"Erimyzon oblongus",139
"Esox niger",136
"Luxilus albeolus",135
"Bairdiella chrysoura",132
"Percina notogramma",130
"Morone americana",129
"Luxilus cerasinus",126
"Cynoscion regalis",120
"Symphurus plagiusa",117
"Sciaenops ocellatus",116
"Pimephales notatus",113
"Microgobius thalassinus",112
"Cottus bairdii",111
"Etheostoma blennioides",109
"Percina roanoka",109
"Syngnathus",106
"Menidia beryllina",104
"Bathypterois viridensis",100
"Trichiurus lepturus",96
"Alosa pseudoharengus",95
"Notropis amoenus",95
"Syngnathus fuscus",95
"Moxostoma cervinum",94
"Opsanus tau",94
"Etheostoma vitreum",92
"Paralichthys dentatus",90
"Alosa sapidissima",89
"Fundulus majalis",89
"Strongylura marina",87
"Enneacanthus gloriosus",86
"Nemichthys scolopaceus",84
"Fundulus diaphanus",81
"Xiphister mucosus",81
"Cynoscion nebulosus",80
"Cottus caeruleomentum",78
"Cottus carolinae",77
"Gymnura micrura",76
"Ameiurus natalis",74
"Fundulus heteroclitus",74
"Perca flavescens",73
"Ameiurus nebulosus",72
"Chasmodes bosquianus",72
"Coryphaenoides carapinus",72
"Etheostoma podostemone",70
"Serrivomer beanii",70
"Synaphobranchus kaupii",70
"Umbra pygmaea",70
"Hypsoblennius hentz",69
"Notropis telescopus",69
"Actinopterygii",68
"Sigmops elongatus",68
"Chauliodus sloani",67
"Alosa aestivalis",66
"Nocomis raneyi",66
"Stomiiformes",66
