"Continent","Count"
NA,6596
"ATA",4
"ARG",6
"ARG",1
NA,2440
"AUS",7
"BHS",281
"BGD",1
"BLZ",40
"BMU",27
"VEN",1
"BRA",28
"MMR",5
"CAN",45
"CHL",1
"CHN",8
"COL",9
"COG",1
"CRI",5
"CUB",3
"CUW",10
"DNK",5
"DMA",1
"ECU",1
"FRA",21
"GAB",1
"GAB",1
"DEU",12
"GRL",23
NA,36
"ISL",5
"IND",4
NA,13
"JPN",15
"KEN",7
"MDG",4
"MEX",31
"MOZ",11
"MMR",2
"NLD",2
"NCL",4
"NZL",3
"NIC",1
"NGA",2
NA,1
"PAK",1
"PAN",29
"PHL",2
"PRT",3
NA,14
"SUR",24
"ROU",4
NA,3
"ZAF",6
"ESP",51
"LKA",1
"TWN",18
"TZA",1
"THA",23
"COM",2
"GBR",9
"USA",18344
"USA",150
"VEN",8
