"Family","Count"
"cyprinidae",3427
"percidae",3356
"centrarchidae",1355
"cichlidae",1178
"fundulidae",900
"myctophidae",838
"",836
"labridae",711
"nototheniidae",647
"sciaenidae",621
"blenniidae",575
"carangidae",559
"clupeidae",546
"stomiidae",467
"catostomidae",451
"atherinopsidae",432
"poeciliidae",425
"cottidae",422
"gasterosteidae",418
"gobiidae",383
"gonostomatidae",378
"serranidae",369
"syngnathidae",346
"tetraodontidae",312
"pomacentridae",301
"channichthyidae",287
"exocoetidae",284
"pleuronectidae",273
"holocentridae",266
"ictaluridae",262
"sternoptychidae",250
"melamphaidae",234
"monacanthidae",223
"paralichthyidae",223
"cyprinodontidae",204
"triglidae",204
"haemulidae",203
"engraulidae",186
"mugilidae",182
"sparidae",179
"salmonidae",174
"amiidae",172
"gerreidae",172
"bathydraconidae",153
"lutjanidae",151
"phycidae",150
"apogonidae",147
"synodontidae",146
"congridae",141
"gadidae",141
"muraenidae",133
"characidae",132
"antennariidae",131
"scaridae",126
"acanthuridae",124
"chaetodontidae",124
"atherinidae",123
"belonidae",121
"artedidraconidae",119
"scorpaenidae",119
"esocidae",118
"hemiramphidae",114
"macrouridae",111
"balistidae",110
"mullidae",107
"anguillidae",101
"labrisomidae",100
"rajidae",100
"ophichthidae",92
"petromyzontidae",92
"scombridae",89
"lepisosteidae",87
"stromateidae",80
"ammodytidae",74
"scophthalmidae",73
"achiridae",72
"zoarcidae",72
"batrachoididae",68
"moronidae",68
"paralepididae",68
"bothidae",67
"ophidiidae",67
"pomacanthidae",65
"platytroctidae",64
"echeneidae",63
"coryphaenidae",62
"pomatomidae",62
"nomeidae",61
"diodontidae",60
"lebiasinidae",56
"gempylidae",55
"bathylagidae",53
"ostraciidae",53
"cynoglossidae",51
"phosichthyidae",50
"anoplogastridae",48
"kyphosidae",47
"polynemidae",47
"merlucciidae",46
"trichiuridae",46
"chiasmodontidae",44
"arhynchobatidae",43
"fistulariidae",43
"liparidae",42
"acipenseridae",41
"cyclopteridae",41
"ogcocephalidae",41
"ariidae",39
"pholidae",39
"serrivomeridae",39
"mochokidae",38
"priacanthidae",38
"aphredoderidae",37
"alepocephalidae",36
"eurypharyngidae",36
"nemichthyidae",36
"sphyraenidae",36
"synaphobranchidae",36
"alestidae",35
"howellidae",35
"osphronemidae",35
"gobiesocidae",33
"lophiidae",33
"moridae",33
"oneirodidae",33
"polypteridae",32
"sebastidae",32
"muraenolepididae",31
"gasteropelecidae",30
"tripterygiidae",30
"carcharhinidae",29
"chaenopsidae",29
"melanocetidae",29
"pristidae",29
"bregmacerotidae",28
"chlorophthalmidae",28
"derichthyidae",28
"umbridae",28
"callichthyidae",27
"eleotridae",27
"amblyopsidae",26
"ceratiidae",25
"mormyridae",25
"osmeridae",25
"agonidae",24
"dactylopteridae",24
"trachichthyidae",24
"loricariidae",23
"acropomatidae",22
"ariommatidae",22
"opisthoproctidae",22
"peristediidae",22
"scyliorhinidae",22
"stichaeidae",22
"ephippidae",21
"halosauridae",21
"lotidae",21
"bagridae",20
"dussumieriidae",20
"cetomimidae",19
"osteoglossidae",19
"callionymidae",18
"caproidae",18
"centrolophidae",18
"clariidae",18
"evermannellidae",18
"notosudidae",18
"centropomidae",17
"channidae",17
"cirrhitidae",17
"linophrynidae",17
"protopteridae",17
"rondeletiidae",17
"triakidae",17
"albulidae",16
"bythitidae",16
"cobitidae",16
"erythrinidae",16
"argentinidae",15
"dasyatidae",15
"grammatidae",15
"hemitripteridae",15
"ipnopidae",15
"lepidosirenidae",15
"lethrinidae",15
"malacanthidae",15
"moringuidae",15
"polymixiidae",15
"scopelarchidae",15
"serrasalmidae",15
"alepisauridae",14
"bovichtidae",14
"bramidae",14
"chimaeridae",14
"kuhliidae",14
"mastacembelidae",14
"omosudidae",14
"anotopteridae",13
"aulostomidae",13
"clinidae",13
"diretmidae",13
"elassomatidae",13
"latidae",13
"myxinidae",13
"rhinobatidae",13
"urolophidae",13
"anarhichadidae",12
"etmopteridae",12
"myliobatidae",12
"narcinidae",12
"pempheridae",12
"percophidae",12
"percopsidae",12
"plesiopidae",12
"siganidae",12
"squalidae",12
"cryptacanthodidae",11
"eleginopsidae",11
"elopidae",11
"grammicolepididae",11
"soleidae",11
"sphyrnidae",11
"uranoscopidae",11
"chaunacidae",10
"heptapteridae",10
"melanonidae",10
"pimelodidae",10
"pinguipedidae",10
"schilbeidae",10
"tetragonuridae",10
"apteronotidae",9
"embiotocidae",9
"harpagiferidae",9
"heterodontidae",9
"megalopidae",9
"odontaspididae",9
"opistognathidae",9
"scomberesocidae",9
"ambassidae",8
"centriscidae",8
"claroteidae",8
"leiognathidae",8
"leptochilichthyidae",8
"nettastomatidae",8
"setarchidae",8
"aplocheilidae",7
"carapidae",7
