"dwc.scientificName","freq"
"Actinopterygii",512
"Tautogolabrus adspersus",336
"Lepomis macrochirus",247
"Gasterosteus aculeatus",246
"Pimephales notatus",233
"Etheostoma caeruleum",229
"Semotilus atromaculatus",229
"Campostoma anomalum",228
"Luxilus chrysocephalus",224
"Etheostoma flabellare",200
"Pseudopleuronectes americanus",188
"Fundulus heteroclitus",179
"undetermined",170
"Cottus carolinae",167
"Lepomis megalotis",166
"Amia calva",162
"Etheostoma blennioides",160
"Gambusia affinis",154
"Myctophidae",149
"Etheostoma olmstedi",143
"Lepomis cyanellus",141
"Etheostoma nigrum",137
"Campostoma oligolepis",136
"Micropterus salmoides",136
"Hypentelium nigricans",124
"Fundulus olivaceus",119
"Fundulus majalis",118
"Menidia menidia",117
"Fundulus catenatus",111
"Cyprinodon variegatus",110
"Salaria pavo",109
"Notropis telescopus",108
"Catostomus commersonii",107
"Leiostomus xanthurus",104
"Lythrurus fasciolaris",100
"Brevoortia tyrannus",99
"Lipophrys canevae",99
"Lepomis gibbosus",98
"Sternoptyx diaphana",97
"Anguilla rostrata",93
"Histrio histrio",93
"Rhinichthys atratulus",90
"Etheostoma stigmaeum",85
"Percina nigrofasciata",85
"Clinostomus funduloides",84
"Leptocephalus",83
"Anchoa mitchilli",82
"Nothonotus rufilineatus",82
"Poecilia latipinna",81
"Syngnathus fuscus",81
"Ambloplites rupestris",80
"Lepomis auritus",80
"Siluriformes",77
"Menidia beryllina",76
"Etheostoma zonale",75
"Stephanolepis hispidus",75
"Gambusia holbrooki",74
"Alosa pseudoharengus",71
"Cyprinella galactura",71
"Rhinichthys obtusus",71
"Cyclothone microdon",70
"Cyclothone pallida",69
"Scophthalmus aquosus",69
"Cynoscion regalis",68
"Fundulus diaphanus",68
"Micropterus dolomieu",68
"Labidesthes sicculus",67
"Sphoeroides maculatus",67
"Lagodon rhomboides",66
"Clupeidae",65
"Prionotus evolans",65
"Cyclothone braueri",64
"Alosa",63
"Chaenocephalus aceratus",63
"Perca flavescens",63
"Etheostoma crossopterum",62
"Pomatomus saltatrix",62
"Centropristis striata",61
"Etheostoma nigripinne",61
"Notemigonus crysoleucas",61
"Notropis boops",61
"Percina caprodes",61
"Cichlidae",60
"Syngnathidae",60
"Chrosomus erythrogaster",59
"Eucinostomus",59
"Notropis hudsonius",58
"Synodus foetens",58
"Apeltes quadracus",57
"Caranx melampygus",57
"Micropogonias undulatus",57
"Etheostoma simoterum",56
"Luxilus cornutus",56
"Cynoscion jamaicensis",55
"Esox americanus",55
"Lepidonotothen larseni",55
"Lepidonotothen nudifrons",55
"Micropterus punctulatus",55
"Parachaenichthys charcoti",55
"Cyprinella spiloptera",54
"Tautoga onitis",54
"Cottus bairdii",53
"Urophycis regia",53
"Atherinidae",52
"Etheostoma flavum",52
"Trinectes maculatus",52
"Etheostoma duryi",51
"Hybopsis amblops",51
"Argyropelecus hemigymnus",50
"Caranx ignobilis",50
"Cyclothone",49
"Fundulus",49
"Gasterosteus wheatlandi",49
"Lepidonotothen squamifrons",49
"Myoxocephalus aenaeus",49
"Rhinichthys cataractae",49
"Cheilopogon heterurus",48
"Etheostoma basilare",48
"Gobionotothen gibberifrons",48
"Anoplogaster cornuta",47
"Chauliodus sloani",47
"Menticirrhus saxatilis",47
"Urophycis",47
"Champsocephalus gunnari",46
"Cyprinella venusta",46
"Etheostoma spectabile",46
"Notropis volucellus",46
"Prionotus carolinus",46
"Hypentelium etowanum",44
"Menidia",44
"Sciaenidae",44
"Sphoeroides",44
"Etheostoma etnieri",43
"Lepisosteus osseus",43
"Notothenia coriiceps",43
"Peprilus triacanthus",43
"Trematomus eulepidotus",43
"Trematomus hansoni",43
"Ammodytes americanus",42
"Etheostoma kennicotti",42
"Notropis",41
"Notropis leuciodus",41
"Dissostichus mawsoni",40
"Etheostoma lawrencei",40
"Lythrurus ardens",40
"Monacanthus",40
"Parexocoetus hillianus",40
"Alosa aestivalis",39
"Blenniidae",39
"Floridichthys carpio",39
"Lucania parva",39
"Menidia menidia notata",39
"Mugil cephalus",39
"Nocomis leptocephalus",39
"Nothonotus camurus",39
"Percina burtoni",39
"Photostomias guernei",39
"Cyclopterus lumpus",38
"Esox niger",38
"Lepomis gulosus",38
"Nocomis micropogon",38
"Stenotomus chrysops",38
"Aphredoderus sayanus",37
"Parablennius incognitus",37
"Pungitius pungitius",37
"Ameiurus natalis",36
"Chionodraco rastrospinosus",36
"Eurypharynx pelecanoides",36
"Gonostoma elongatum",36
"Hyporhamphus unifasciatus",36
"Morone americana",36
"Mugilidae",36
"Notropis micropteryx",36
"Pholis gunnellus",36
"Bairdiella chrysoura",35
"Etheostoma obeyense",35
"Percina sciera",35
"Pleuragramma antarcticum",35
"Sargocentron vexillarium",35
"Searsia koefoedi",35
"Cyprinella callistia",34
"Parablennius sanguinolentus",34
"Percina evides",34
"Etheostoma fusiforme",33
"Exocoetus obtusirostris",33
"Lepomis microlophus",33
"Percina nasuta",33
"Trematomus newnesi",33
"Acipenser oxyrhinchus",32
"Malacosteus niger",32
"Menidia peninsulae",32
"Moxostoma erythrurum",32
"Notropis stilbius",32
"Paralipophrys trigloides",32
"Pseudupeneus maculatus",32
"Etropus crossotus",31
"Hemitremia flammea",31
"Merluccius bilinearis",31
"Notropis buccatus",31
"Prionotus",31
"Agonostomus monticola",30
"Anchoa",30
"Diaphus dumerilii",30
"Etropus",30
"Gobiidae",30
"Gonostoma bathyphilum",30
"Lampanyctus",30
"Leucoraja erinacea",30
"Moxostoma duquesnii",30
"Mugil curema",30
"Nomeus gronovii",30
"Trichiurus lepturus",30
"Dolloidraco longedorsalis",29
"Fundulus grandis",29
"Gadus morhua",29
"Morone saxatilis",29
"Percina kusha",29
"Percina palmaris",29
"Tetraodontidae",29
"Argyropelecus aculeatus",28
"Cyprinidae",28
"Etheostoma blennius",28
"Etheostoma brevirostrum",28
"Etheostoma oophylax",28
"Lagocephalus",28
"Limanda ferruginea",28
"Loweina interrupta",28
"Pogonophryne scotti",28
"Semotilus corporalis",28
"Syngnathus",28
"Cryodraco antarcticus",27
"Cynoscion",27
"Strongylura marina",27
"Syngnathus scovelli",27
"Ariopsis felis",26
"Canthigaster rostrata",26
"Caranx hippos",26
"Etheostoma bison",26
"Exocoetidae",26
"Hirundichthys rondeletii",26
"Lepomis",26
"Melanogrammus aeglefinus",26
"Myoxocephalus octodecemspinosus",26
"Periophthalmus",26
"Salvelinus fontinalis",26
"Symphurus plagiusa",26
"Trematomus loennbergii",26
"Ameiurus nebulosus",25
"Clupea harengus",25
"Copadichromis",25
"Gerres cinereus",25
"Gymnodraco acuticeps",25
"Myctophum affine",25
"Opsanus tau",25
"Orthopristis chrysoptera",25
"Pseudochaenichthys georgianus",25
"Triglidae",25
"Alosa sapidissima",24
"Caranx ruber",24
"Centropristis philadelphica",24
"Chaenodraco wilsoni",24
"Coryphaena hippurus",24
"Fundulus notatus",24
"Haemulon flavolineatum",24
"Hippocampus",24
"Ictalurus punctatus",24
"Nemichthys scolopaceus",24
"Nothonotus sanguifluus",24
"Paralichthys dentatus",24
"Polynemidae",24
"Sander vitreus",24
"Selene setapinnis",24
"Syngnathus pelagicus",24
"Tropheops",24
"Bathyraja",23
"Caranx crysos",23
"Carassius auratus",23
"Carnegiella marthae",23
"Erimystax dissimilis",23
"Etheostoma atripinne",23
"Etheostoma lepidum",23
"Etheostoma luteovinctum",23
"Etheostoma planasaxatile",23
"Etheostoma zonistium",23
"Eucinostomus californiensis",23
"Fundulus similis",23
"Gadidae",23
"Labrisomidae",23
"Lampanyctus pusillus",23
"Nannostomus trifasciatus",23
"Notothenia rossii",23
"Opsanus beta",23
"Paralichthys albigutta",23
"Pollachius virens",23
"Trichopsetta ventralis",23
"Urophycis chuss",23
"Cantherhines pullus",22
"Carangoides bartholomaei",22
"Ceratoscopelus warmingii",22
"Chilomycterus schoepfi",22
"Echeneis naucrates",22
"Lepomis marginatus",22
"Lepomis punctatus",22
"Lythrurus lirus",22
"Noturus gyrinus",22
"Osmerus mordax",22
"Remora remora",22
"Salaria fluviatilis",22
"Scopelogadus beanii",22
"Stomias boa",22
"Trematomus bernacchii",22
"Aspidophoroides monopterygius",21
"Ceratoscopelus maderensis",21
"Chiasmodon niger",21
"Coryphaenidae",21
"Coryphaenoides rupestris",21
"Cottus cognatus",21
"Cyprinella trichroistia",21
"Exocoetus volitans",21
"Gambusia",21
"Hygophum hygomii",21
"Jenkinsia lamprotaenia",21
"Muraenolepis",21
"Notropis rubellus",21
"Oligoplites saurus",21
"Oncorhynchus mykiss",21
"Salmo salar",21
"Scopeloberyx opisthopterus",21
"Stegastes leucostictus",21
"Ammodytes",20
"Characidae",20
"Copadichromis trimaculatus",20
"Dolicholagus longirostris",20
"Erimyzon oblongus",20
"Fundulus chrysotus",20
"Gobiosoma bosci",20
"Macrourus berglax",20
"Mugil",20
"Percina smithvanizi",20
"Scopeloberyx robustus",20
"Thalassoma bifasciatum",20
"Vomeridens infuscipinnis",20
"Anchoa hepsetus",19
"Apogon maculatus",19
"Cyprinodon",19
"Etheostoma forbesi",19
"Etrumeus teres",19
"Exoglossum maxillingua",19
"Haemulon",19
"Myripristis jacobus",19
"Notropis petersoni",19
"Noturus exilis",19
"Percina apina",19
"Platybelone argala",19
"Scopeloberyx",19
"Scopelogadus mizolepis",19
