"Continent","Count"
NA,7905
"ARG",14
"AUS",73
"BHS",1112
"BRB",6
"BLZ",124
"BMU",244
"BRA",138
"VGB",10
NA,181
"BRN",2
"BRN",2
"MMR",2
"CMR",24
"CAN",150
"CYM",12
NA,68
"CHL",21
"CHN",6
"COL",1
"COM",104
"CUB",162
"CUW",352
"DNK",2
"DMA",5
"DOM",43
NA,2
"ECU",26
"EGY",9
"SLV",11
"GNQ",1
"FRA",3
"DEU",22
"GHA",2
"GRC",4
"GRL",3
"GTM",1
"GNB",1
"GUY",55
"HTI",8
"HND",14
"HKG",1
"IDN",2
"IRL",1
"ISR",1
"ITA",20
"JAM",124
"JPN",75
"KEN",60
"LBN",25
"MDG",16
"MWI",687
"MYS",50
"MDV",388
"MNP",329
"MUS",10
"MEX",563
"MOZ",1
"NPL",20
"PNG",3
"NZL",30
"NIC",63
"NOR",58
NA,5
"PAN",326
"PNG",1
"PER",241
NA,7
"PHL",198
"PRT",718
"PRI",2
"SYC",151
"SYC",151
"SGP",5
NA,24
"ZAF",16
"KOR",3
"ESP",5
"LKA",271
"SUR",68
"SWE",1
"CHE",2
"TZA",6
"THA",1
"TCA",2
"UGA",14
"GBR",37
"USA",17108
"VEN",4
NA,7
"VIR",5
NA,9
"ZWE",2
